j#,name,pos,g,a,p,pim,ts,+/-,sog,ga,svs,game_id,team,matchup,year,gwg,FP,minutes,OGS,DGS,GGS,GS,fantasyplayer,game_start,draft_type
7,JUNGAKER Mira,D,0.0,0.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.0,8,swe,swe-ita,2026,0.0,0.0,24.816666666666663,0.2249999999999999,-0.2249999999999999,0.0,0.0,,,
8,SVENSSON Hilda,F,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,8,swe,swe-ita,2026,0.0,1.0,14.616666666666667,0.85,0.2249999999999999,0.0,1.075,,,
12,NYLEN PERSSON Maja,D,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8,swe,swe-ita,2026,0.0,0.0,20.816666666666663,0.15,0.0,0.0,0.15,,,
23,JOHANSSON Thea,F,2.0,1.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,8,swe,swe-ita,2026,0.0,4.0,17.3,2.425,0.3374999999999999,0.0,2.7625,,,
26,OLSSON Hanna,F,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,8,swe,swe-ita,2026,0.0,2.5,18.15,1.525,0.2249999999999999,0.0,1.75,,,
15,JOHANSSON Lisa,F,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,8,swe,swe-ita,2026,0.0,0.0,17.666666666666668,0.3,0.2249999999999999,0.0,0.5249999999999999,,,
19,HJALMARSSON Sara,F,1.0,1.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,8,swe,swe-ita,2026,0.0,2.5,17.516666666666666,1.75,0.2249999999999999,0.0,1.975,,,
22,THUVIK Hanna,F,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,8,swe,swe-ita,2026,0.0,1.0,15.233333333333333,0.775,0.2249999999999999,0.0,1.0,,,
55,RAUNIO Jenna,D,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,8,swe,swe-ita,2026,0.0,1.0,17.933333333333334,0.925,0.2249999999999999,0.0,1.15,,,
71,KJELLBIN Anna,D,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,8,swe,swe-ita,2026,0.0,1.0,19.866666666666667,0.7,0.4499999999999999,0.0,1.15,,,
9,ADOLFSSON Jessica,D,1.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,8,swe,swe-ita,2026,0.0,1.5,15.766666666666667,0.9,0.6749999999999999,0.0,1.575,,,
11,BOUVENG Josefin,F,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,8,swe,swe-ita,2026,0.0,0.0,15.966666666666669,0.15,0.1124999999999999,0.0,0.2624999999999999,,,
14,KARLSSON Ida,D,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,8,swe,swe-ita,2026,0.0,1.0,13.25,0.625,0.4499999999999999,0.0,1.075,,,
17,LUNDIN Sofie,F,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,8,swe,swe-ita,2026,1.0,1.5,14.866666666666667,1.125,0.0,0.0,1.125,,,
34,HALLIN Mira,F,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,8,swe,swe-ita,2026,0.0,0.0,13.166666666666666,0.15,-0.1124999999999999,0.0,0.0375,,,
4,ANDERSSON Linnea,D,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,8,swe,swe-ita,2026,0.0,1.0,5.783333333333333,0.7,0.6749999999999999,0.0,1.375,,,
25,LJUNGBLOM Lina,F,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,8,swe,swe-ita,2026,0.0,1.0,12.55,0.7,0.1124999999999999,0.0,0.8125,,,
29,WIKNER ZIENKIEWICZ Felizia,F,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,8,swe,swe-ita,2026,0.0,0.0,7.866666666666667,0.0,-0.1124999999999999,0.0,-0.1124999999999999,,,
