j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
17,NEMEC Simon,D,0.0,1.0,1.0,0.0,4.0,0.0,24:56,29.0,0.0,0.0,0.0,1,svk,svk-fin,2026,0.0,RD,1
20,SLAFKOVSKY Juraj,F,2.0,1.0,3.0,0.0,4.0,2.0,20:07,26.0,0.0,0.0,0.0,1,svk,svk-fin,2026,0.0,LW,1
21,RUZICKA Adam,F,1.0,0.0,1.0,0.0,1.0,2.0,19:11,26.0,0.0,0.0,0.0,1,svk,svk-fin,2026,0.0,C,1
42,FEHERVARY Martin,D,0.0,0.0,0.0,0.0,2.0,-1.0,22:03,31.0,0.0,0.0,0.0,1,svk,svk-fin,2026,0.0,LD,1
90,TATAR Tomas,F,0.0,1.0,1.0,2.0,1.0,2.0,16:33,27.0,0.0,0.0,0.0,1,svk,svk-fin,2026,0.0,RW,1
11,KELEMEN Milos,F,0.0,0.0,0.0,0.0,1.0,0.0,15:44,24.0,0.0,0.0,0.0,1,svk,svk-fin,2026,0.0,LW,2
28,GERNAT Martin,D,0.0,1.0,1.0,0.0,0.0,2.0,16:07,27.0,0.0,0.0,0.0,1,svk,svk-fin,2026,0.0,LD,2
76,POSPISIL Martin,F,0.0,0.0,0.0,0.0,3.0,0.0,14:52,25.0,0.0,0.0,0.0,1,svk,svk-fin,2026,0.0,C,2
81,CERNAK Erik,D,0.0,0.0,0.0,0.0,0.0,1.0,18:38,30.0,0.0,0.0,0.0,1,svk,svk-fin,2026,0.0,RD,2
84,REGENDA Pavol,F,0.0,0.0,0.0,0.0,2.0,0.0,15:28,25.0,0.0,0.0,0.0,1,svk,svk-fin,2026,0.0,RW,2
14,CERESNAK Peter,D,0.0,0.0,0.0,0.0,1.0,1.0,16:42,25.0,0.0,0.0,0.0,1,svk,svk-fin,2026,0.0,RD,3
15,DVORSKY Dalibor,F,1.0,1.0,2.0,0.0,2.0,1.0,11:14,18.0,0.0,0.0,0.0,1,svk,svk-fin,2026,1.0,C,3
23,LISKA Adam,F,0.0,1.0,1.0,0.0,1.0,0.0,13:59,21.0,0.0,0.0,0.0,1,svk,svk-fin,2026,0.0,LW,3
52,MARINCIN Martin,D,0.0,0.0,0.0,0.0,1.0,0.0,16:21,26.0,0.0,0.0,0.0,1,svk,svk-fin,2026,0.0,LD,3
79,HUDACEK Libor,F,0.0,0.0,0.0,0.0,0.0,1.0,10:42,16.0,0.0,0.0,0.0,1,svk,svk-fin,2026,0.0,RW,3
8,OKULIAR Oliver,F,0.0,0.0,0.0,0.0,0.0,0.0,13:00,18.0,0.0,0.0,0.0,1,svk,svk-fin,2026,0.0,RW,4
29,IVAN Michal,D,0.0,0.0,0.0,0.0,0.0,1.0,3:26,8.0,0.0,0.0,0.0,1,svk,svk-fin,2026,0.0,LD,4
49,TAKAC Samuel,F,0.0,0.0,0.0,0.0,0.0,0.0,5:56,16.0,0.0,0.0,0.0,1,svk,svk-fin,2026,0.0,LW,4
91,SUKEL Matus,F,0.0,0.0,0.0,2.0,2.0,-1.0,12:39,21.0,0.0,0.0,0.0,1,svk,svk-fin,2026,0.0,C,4
6,CINGEL Lukas,F,0.0,0.0,0.0,0.0,0.0,-1.0,8:06,15.0,0.0,0.0,0.0,1,svk,svk-fin,2026,0.0,LW,5
31,HLAVAJ Samuel,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,svk,svk-fin,2026,0.0,GK,1
33,SKORVANEK Stanislav,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,svk,svk-fin,2026,0.0,GK,2
31,HLAVAJ Samuel,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,40.0,1.0,39.0,1,svk,svk-fin,2026,0.0,GK,1
33,SKORVANEK Stanislav,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,svk,svk-fin,2026,0.0,GK,2
23,LINDELL Esa,D,0.0,0.0,0.0,0.0,1.0,-1.0,23:10,31.0,0.0,0.0,0.0,1,fin,svk-fin,2026,0.0,RD,1
24,HINTZ Roope,F,0.0,0.0,0.0,0.0,3.0,-2.0,15:44,23.0,0.0,0.0,0.0,1,fin,svk-fin,2026,0.0,C,1
41,HEISKANEN Miro,D,0.0,0.0,0.0,2.0,4.0,-2.0,27:11,31.0,0.0,0.0,0.0,1,fin,svk-fin,2026,0.0,LD,1
64,GRANLUND Mikael,F,0.0,0.0,0.0,0.0,2.0,-2.0,17:45,23.0,0.0,0.0,0.0,1,fin,svk-fin,2026,0.0,LW,1
