j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
7,JUNGAKER Mira,D,1.0,0.0,1.0,0.0,3.0,0.0,22:11,32.0,0.0,0.0,0.0,1,swe,swe-ger,2026,0.0,LD,1
8,SVENSSON Hilda,F,0.0,1.0,1.0,0.0,6.0,1.0,18:20,27.0,0.0,0.0,0.0,1,swe,swe-ger,2026,0.0,LW,1
12,NYLEN PERSSON Maja,D,0.0,0.0,0.0,0.0,0.0,0.0,23:00,33.0,0.0,0.0,0.0,1,swe,swe-ger,2026,0.0,RD,1
23,JOHANSSON Thea,F,1.0,0.0,1.0,0.0,2.0,1.0,17:28,27.0,0.0,0.0,0.0,1,swe,swe-ger,2026,0.0,RW,1
26,OLSSON Hanna,F,0.0,1.0,1.0,0.0,2.0,1.0,17:58,25.0,0.0,0.0,0.0,1,swe,swe-ger,2026,0.0,C,1
15,JOHANSSON Lisa,F,0.0,2.0,2.0,0.0,5.0,0.0,19:57,25.0,0.0,0.0,0.0,1,swe,swe-ger,2026,0.0,LW,2
19,HJALMARSSON Sara,F,0.0,0.0,0.0,2.0,4.0,0.0,18:56,24.0,0.0,0.0,0.0,1,swe,swe-ger,2026,0.0,C,2
22,THUVIK Hanna,F,0.0,0.0,0.0,0.0,0.0,0.0,15:06,23.0,0.0,0.0,0.0,1,swe,swe-ger,2026,0.0,RW,2
55,RAUNIO Jenna,D,0.0,2.0,2.0,0.0,3.0,2.0,18:41,25.0,0.0,0.0,0.0,1,swe,swe-ger,2026,0.0,LD,2
71,KJELLBIN Anna,D,0.0,0.0,0.0,0.0,1.0,2.0,19:11,29.0,0.0,0.0,0.0,1,swe,swe-ger,2026,0.0,RD,2
9,ADOLFSSON Jessica,D,0.0,0.0,0.0,0.0,1.0,0.0,18:57,27.0,0.0,0.0,0.0,1,swe,swe-ger,2026,0.0,LD,3
11,BOUVENG Josefin,F,0.0,0.0,0.0,0.0,1.0,0.0,14:28,20.0,0.0,0.0,0.0,1,swe,swe-ger,2026,0.0,RW,3
14,KARLSSON Ida,D,0.0,0.0,0.0,0.0,0.0,0.0,14:44,25.0,0.0,0.0,0.0,1,swe,swe-ger,2026,0.0,RD,3
17,LUNDIN Sofie,F,0.0,1.0,1.0,0.0,1.0,0.0,15:55,21.0,0.0,0.0,0.0,1,swe,swe-ger,2026,0.0,C,3
34,HALLIN Mira,F,0.0,0.0,0.0,0.0,2.0,0.0,11:18,17.0,0.0,0.0,0.0,1,swe,swe-ger,2026,0.0,LW,3
4,ANDERSSON Linnea,D,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,1,swe,swe-ger,2026,0.0,LD,4
25,LJUNGBLOM Lina,F,2.0,0.0,2.0,0.0,3.0,1.0,13:46,21.0,0.0,0.0,0.0,1,swe,swe-ger,2026,1.0,C,4
29,WIKNER ZIENKIEWICZ Felizia,F,0.0,1.0,1.0,0.0,0.0,1.0,9:44,17.0,0.0,0.0,0.0,1,swe,swe-ger,2026,0.0,LW,4
89,HALL Nicole,F,0.0,0.0,0.0,0.0,3.0,1.0,9:57,18.0,0.0,0.0,0.0,1,swe,swe-ger,2026,0.0,RW,4
