j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
7,TOEWS Devon,D,0.0,0.0,0.0,0.0,1.0,2.0,17:56,26.0,0.0,0.0,0.0,10,can,can-sui,2026,0.0,LD,1
8,MAKAR Cale,D,0.0,2.0,2.0,0.0,4.0,2.0,21:55,30.0,0.0,0.0,0.0,10,can,can-sui,2026,0.0,RD,1
17,CELEBRINI Macklin,F,1.0,1.0,2.0,2.0,4.0,3.0,15:20,25.0,0.0,0.0,0.0,10,can,can-sui,2026,0.0,LW,1
43,WILSON Tom,F,0.0,1.0,1.0,0.0,1.0,1.0,9:43,17.0,0.0,0.0,0.0,10,can,can-sui,2026,0.0,RW,1
97,McDAVID Connor,F,1.0,2.0,3.0,0.0,3.0,3.0,14:22,22.0,0.0,0.0,0.0,10,can,can-sui,2026,0.0,C,1
10,SUZUKI Nick,F,0.0,0.0,0.0,0.0,3.0,0.0,13:35,19.0,0.0,0.0,0.0,10,can,can-sui,2026,0.0,RW,2
27,THEODORE Shea,D,0.0,0.0,0.0,2.0,0.0,0.0,17:00,26.0,0.0,0.0,0.0,10,can,can-sui,2026,0.0,LD,2
29,MacKINNON Nathan,F,1.0,2.0,3.0,0.0,4.0,2.0,16:28,24.0,0.0,0.0,0.0,10,can,can-sui,2026,0.0,C,2
38,HAGEL Brandon,F,0.0,0.0,0.0,0.0,0.0,0.0,16:24,22.0,0.0,0.0,0.0,10,can,can-sui,2026,0.0,LW,2
55,PARAYKO Colton,D,0.0,0.0,0.0,0.0,1.0,1.0,16:58,28.0,0.0,0.0,0.0,10,can,can-sui,2026,0.0,RD,2
20,HARLEY Thomas,D,1.0,0.0,1.0,0.0,3.0,1.0,18:13,26.0,0.0,0.0,0.0,10,can,can-sui,2026,1.0,LD,3
61,STONE Mark,F,0.0,0.0,0.0,0.0,2.0,1.0,16:58,21.0,0.0,0.0,0.0,10,can,can-sui,2026,0.0,RW,3
87,CROSBY Sidney,F,1.0,0.0,1.0,0.0,3.0,1.0,15:51,19.0,0.0,0.0,0.0,10,can,can-sui,2026,0.0,C,3
89,DOUGHTY Drew,D,0.0,0.0,0.0,0.0,1.0,0.0,13:50,22.0,0.0,0.0,0.0,10,can,can-sui,2026,0.0,RD,3
93,MARNER Mitch,F,0.0,1.0,1.0,0.0,3.0,1.0,16:43,22.0,0.0,0.0,0.0,10,can,can-sui,2026,0.0,LW,3
6,SANHEIM Travis,D,0.0,0.0,0.0,0.0,0.0,2.0,10:17,19.0,0.0,0.0,0.0,10,can,can-sui,2026,0.0,LD,4
13,REINHART Sam,F,0.0,0.0,0.0,0.0,1.0,0.0,13:21,16.0,0.0,0.0,0.0,10,can,can-sui,2026,0.0,RW,4
14,HORVAT Bo,F,0.0,0.0,0.0,2.0,0.0,0.0,9:26,13.0,0.0,0.0,0.0,10,can,can-sui,2026,0.0,C,4
24,JARVIS Seth,F,0.0,0.0,0.0,0.0,2.0,0.0,9:19,13.0,0.0,0.0,0.0,10,can,can-sui,2026,0.0,LW,4
9,BENNETT Sam,F,0.0,0.0,0.0,0.0,3.0,0.0,10:33,16.0,0.0,0.0,0.0,10,can,can-sui,2026,0.0,LW,5
35,KUEMPER Darcy,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,can,can-sui,2026,0.0,GK,2
48,THOMPSON Logan,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,can,can-sui,2026,0.0,GK,1
35,KUEMPER Darcy,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,can,can-sui,2026,0.0,GK,2
48,THOMPSON Logan,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,25.0,1.0,24.0,10,can,can-sui,2026,0.0,GK,1
13,HISCHIER Nico,F,0.0,0.0,0.0,0.0,1.0,-1.0,21:28,24.0,0.0,0.0,0.0,10,sui,can-sui,2026,0.0,C,1
21,FIALA Kevin,F,0.0,0.0,0.0,0.0,1.0,0.0,20:04,25.0,0.0,0.0,0.0,10,sui,can-sui,2026,0.0,LW,1
28,MEIER Timo,F,0.0,0.0,0.0,0.0,5.0,0.0,19:21,23.0,0.0,0.0,0.0,10,sui,can-sui,2026,0.0,RW,1
43,GLAUSER Andrea,D,0.0,0.0,0.0,0.0,0.0,0.0,5:31,8.0,0.0,0.0,0.0,10,sui,can-sui,2026,0.0,RD,1
90,JOSI Roman,D,0.0,0.0,0.0,0.0,3.0,-1.0,26:44,30.0,0.0,0.0,0.0,10,sui,can-sui,2026,0.0,LD,1
14,KUKAN Dean,D,0.0,1.0,1.0,2.0,0.0,-1.0,18:02,26.0,0.0,0.0,0.0,10,sui,can-sui,2026,0.0,RD,2
22,NIEDERREITER Nino,F,0.0,0.0,0.0,2.0,1.0,-2.0,18:03,26.0,0.0,0.0,0.0,10,sui,can-sui,2026,0.0,RW,2
62,MALGIN Denis,F,0.0,0.0,0.0,0.0,0.0,0.0,2:28,5.0,0.0,0.0,0.0,10,sui,can-sui,2026,0.0,C,2
71,SIEGENTHALER Jonas,D,0.0,0.0,0.0,0.0,1.0,-1.0,22:10,29.0,0.0,0.0,0.0,10,sui,can-sui,2026,0.0,LD,2
85,ANDRIGHETTO Sven,F,0.0,1.0,1.0,0.0,3.0,-1.0,14:57,23.0,0.0,0.0,0.0,10,sui,can-sui,2026,0.0,LW,2
23,KURASHEV Philipp,F,0.0,0.0,0.0,0.0,2.0,-1.0,15:09,24.0,0.0,0.0,0.0,10,sui,can-sui,2026,0.0,LW,3
44,SUTER Pius,F,1.0,0.0,1.0,0.0,3.0,0.0,18:57,25.0,0.0,0.0,0.0,10,sui,can-sui,2026,0.0,C,3
54,MARTI Christian,D,0.0,0.0,0.0,0.0,0.0,-2.0,10:03,15.0,0.0,0.0,0.0,10,sui,can-sui,2026,0.0,LD,3
79,THURKAUF Calvin,F,0.0,0.0,0.0,0.0,0.0,-1.0,13:39,24.0,0.0,0.0,0.0,10,sui,can-sui,2026,0.0,RW,3
