j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
7,STALDER Lara,F,0.0,0.0,0.0,2.0,0.0,0.0,19:26,25.0,0.0,0.0,0.0,10,sui,sui-can,2026,0.0,RW,1
17,CHRISTEN Lara,D,0.0,0.0,0.0,0.0,0.0,0.0,25:48,26.0,0.0,0.0,0.0,10,sui,sui-can,2026,0.0,RD,1
21,ENZLER Rahel,F,0.0,0.0,0.0,0.0,1.0,0.0,13:53,20.0,0.0,0.0,0.0,10,sui,sui-can,2026,0.0,LW,1
25,MULLER Alina,F,0.0,0.0,0.0,2.0,3.0,0.0,17:56,26.0,0.0,0.0,0.0,10,sui,sui-can,2026,0.0,C,1
82,BAECHLER Alessia,D,0.0,0.0,0.0,0.0,0.0,0.0,21:46,27.0,0.0,0.0,0.0,10,sui,sui-can,2026,0.0,LD,1
11,ZIMMERMANN Laura,F,0.0,0.0,0.0,0.0,0.0,0.0,15:24,24.0,0.0,0.0,0.0,10,sui,sui-can,2026,0.0,RW,2
13,WEY Ivana,F,0.0,0.0,0.0,4.0,0.0,0.0,15:17,27.0,0.0,0.0,0.0,10,sui,sui-can,2026,0.0,C,2
15,MERIGUET Laure,D,0.0,0.0,0.0,0.0,0.0,0.0,9:53,16.0,0.0,0.0,0.0,10,sui,sui-can,2026,0.0,RD,2
16,VALLARIO Nicole,D,0.0,0.0,0.0,2.0,0.0,-1.0,22:58,31.0,0.0,0.0,0.0,10,sui,sui-can,2026,0.0,LD,2
28,MARTI Alina,F,0.0,0.0,0.0,2.0,1.0,0.0,17:32,21.0,0.0,0.0,0.0,10,sui,sui-can,2026,0.0,LW,2
9,SIGRIST Shannon,D,0.0,0.0,0.0,0.0,0.0,0.0,14:37,20.0,0.0,0.0,0.0,10,sui,sui-can,2026,0.0,RD,3
18,WETLI Stefanie,D,0.0,0.0,0.0,0.0,0.0,0.0,16:15,20.0,0.0,0.0,0.0,10,sui,sui-can,2026,0.0,LD,3
22,LEEMANN Sinja,F,0.0,0.0,0.0,0.0,1.0,0.0,14:29,20.0,0.0,0.0,0.0,10,sui,sui-can,2026,0.0,C,3
53,SCHAEFER Vanessa,F,0.0,0.0,0.0,0.0,0.0,-1.0,9:44,12.0,0.0,0.0,0.0,10,sui,sui-can,2026,0.0,LW,3
71,LUTZ Lena Marie,F,0.0,0.0,0.0,0.0,0.0,0.0,15:53,18.0,0.0,0.0,0.0,10,sui,sui-can,2026,0.0,RW,3
2,BUCHI Annic,D,0.0,0.0,0.0,0.0,0.0,-1.0,10:31,17.0,0.0,0.0,0.0,10,sui,sui-can,2026,0.0,LD,4
