j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
6,HUOT-MARCHAND Margot,F,0.0,0.0,0.0,4.0,2.0,0.0,20:37,24.0,0.0,0.0,0.0,11,fra,fra-swe,2026,0.0,LW,1
10,LECLERC Sophie,D,0.0,0.0,0.0,0.0,0.0,-3.0,18:17,26.0,0.0,0.0,0.0,11,fra,fra-swe,2026,0.0,RD,1
11,VILLIOT Lea,D,0.0,0.0,0.0,0.0,0.0,-2.0,14:20,22.0,0.0,0.0,0.0,11,fra,fra-swe,2026,0.0,LD,1
12,DUVIN Estelle,F,0.0,0.0,0.0,0.0,0.0,-1.0,22:23,25.0,0.0,0.0,0.0,11,fra,fra-swe,2026,0.0,C,1
16,ROZIER Clara,F,0.0,0.0,0.0,2.0,2.0,-1.0,24:16,28.0,0.0,0.0,0.0,11,fra,fra-swe,2026,0.0,RW,1
7,QUARTO Lucie,D,0.0,0.0,0.0,0.0,1.0,0.0,19:28,23.0,0.0,0.0,0.0,11,fra,fra-swe,2026,0.0,RD,2
8,BARBIRATI Jade,F,0.0,0.0,0.0,0.0,2.0,0.0,16:34,21.0,0.0,0.0,0.0,11,fra,fra-swe,2026,0.0,C,2
17,AURARD-BUSHEE Chloe,F,0.0,0.0,0.0,2.0,1.0,0.0,18:44,27.0,0.0,0.0,0.0,11,fra,fra-swe,2026,0.0,RW,2
22,le SCODAN Manon,F,0.0,0.0,0.0,0.0,1.0,0.0,18:07,19.0,0.0,0.0,0.0,11,fra,fra-swe,2026,0.0,LW,2
91,ZILLIOX Elina,D,0.0,0.0,0.0,0.0,1.0,0.0,17:46,22.0,0.0,0.0,0.0,11,fra,fra-swe,2026,0.0,LD,2
5,de SERRES Gabrielle,D,0.0,0.0,0.0,0.0,0.0,-1.0,24:19,27.0,0.0,0.0,0.0,11,fra,fra-swe,2026,0.0,LD,3
13,PELISSOU Marie-Pierre,D,0.0,0.0,0.0,0.0,1.0,0.0,20:54,26.0,0.0,0.0,0.0,11,fra,fra-swe,2026,0.0,RD,3
