j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
3,EKMAN-LARSSON Oliver,D,0.0,0.0,0.0,0.0,0.0,0.0,13:41,22.0,0.0,0.0,0.0,11,swe,swe-svk,2026,0.0,RD,1
14,ERIKSSON EK Joel,F,1.0,0.0,1.0,0.0,6.0,1.0,21:13,25.0,0.0,0.0,0.0,11,swe,swe-svk,2026,0.0,C,1
19,KEMPE Adrian,F,1.0,1.0,2.0,2.0,4.0,1.0,21:15,24.0,0.0,0.0,0.0,11,swe,swe-svk,2026,0.0,LW,1
77,HEDMAN Victor,D,0.0,1.0,1.0,0.0,2.0,1.0,19:22,26.0,0.0,0.0,0.0,11,swe,swe-svk,2026,0.0,LD,1
88,NYLANDER William,F,0.0,0.0,0.0,4.0,6.0,-1.0,18:18,20.0,0.0,0.0,0.0,11,swe,swe-svk,2026,0.0,RW,1
23,RAYMOND Lucas,F,1.0,2.0,3.0,4.0,6.0,2.0,18:52,26.0,0.0,0.0,0.0,11,swe,swe-svk,2026,0.0,RW,2
26,DAHLIN Rasmus,D,0.0,1.0,1.0,2.0,3.0,1.0,24:27,28.0,0.0,0.0,0.0,11,swe,swe-svk,2026,0.0,RD,2
42,FORSLING Gustav,D,0.0,0.0,0.0,0.0,1.0,0.0,20:23,24.0,0.0,0.0,0.0,11,swe,swe-svk,2026,0.0,LD,2
92,LANDESKOG Gabriel,F,0.0,0.0,0.0,0.0,4.0,2.0,17:23,24.0,0.0,0.0,0.0,11,swe,swe-svk,2026,0.0,LW,2
93,ZIBANEJAD Mika,F,0.0,1.0,1.0,0.0,4.0,0.0,19:07,27.0,0.0,0.0,0.0,11,swe,swe-svk,2026,0.0,C,2
6,BROBERG Philip,D,0.0,0.0,0.0,0.0,2.0,0.0,14:21,22.0,0.0,0.0,0.0,11,swe,swe-svk,2026,0.0,LD,3
9,FORSBERG Filip,F,0.0,1.0,1.0,0.0,4.0,1.0,11:45,14.0,0.0,0.0,0.0,11,swe,swe-svk,2026,0.0,RW,3
40,PETTERSSON Elias,F,2.0,0.0,2.0,0.0,2.0,1.0,11:15,15.0,0.0,0.0,0.0,11,swe,swe-svk,2026,1.0,C,3
65,KARLSSON Erik,D,0.0,2.0,2.0,0.0,4.0,2.0,18:20,25.0,0.0,0.0,0.0,11,swe,swe-svk,2026,0.0,RD,3
90,JOHANSSON Marcus,F,0.0,0.0,0.0,0.0,1.0,0.0,13:05,18.0,0.0,0.0,0.0,11,swe,swe-svk,2026,0.0,LW,3
10,WENNBERG Alexander,F,0.0,0.0,0.0,0.0,1.0,-1.0,10:41,18.0,0.0,0.0,0.0,11,swe,swe-svk,2026,0.0,C,4
27,LINDHOLM Hampus,D,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,11,swe,swe-svk,2026,0.0,LD,4
29,HOLMBERG Pontus,F,0.0,0.0,0.0,0.0,0.0,0.0,7:00,10.0,0.0,0.0,0.0,11,swe,swe-svk,2026,0.0,LW,4
