j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
2,TEJRALOVA Aneta,D,0.0,0.0,0.0,0.0,0.0,1.0,23:27,28.0,0.0,0.0,0.0,12,cze,cze-fin,2026,0.0,LD,1
16,MRAZOVA Katerina,F,0.0,0.0,0.0,0.0,0.0,1.0,17:53,23.0,0.0,0.0,0.0,12,cze,cze-fin,2026,0.0,C,1
19,MLYNKOVA Natalie,F,1.0,0.0,1.0,0.0,6.0,1.0,18:35,25.0,0.0,0.0,0.0,12,cze,cze-fin,2026,0.0,RW,1
21,VANISOVA Tereza,F,0.0,0.0,0.0,2.0,0.0,1.0,17:35,22.0,0.0,0.0,0.0,12,cze,cze-fin,2026,0.0,LW,1
24,CAJANOVA Sara,D,0.0,0.0,0.0,0.0,1.0,0.0,23:31,27.0,0.0,0.0,0.0,12,cze,cze-fin,2026,0.0,RD,1
4,PEJSOVA Daniela,D,0.0,0.0,0.0,0.0,1.0,1.0,18:34,23.0,0.0,0.0,0.0,12,cze,cze-fin,2026,0.0,LD,2
10,KRIZOVA Denisa,F,0.0,0.0,0.0,0.0,1.0,0.0,15:30,20.0,0.0,0.0,0.0,12,cze,cze-fin,2026,0.0,LW,2
18,PEJZLOVA Michaela,F,0.0,0.0,0.0,0.0,0.0,0.0,10:01,17.0,0.0,0.0,0.0,12,cze,cze-fin,2026,0.0,C,2
22,PLOSOVA Tereza,F,0.0,0.0,0.0,0.0,1.0,0.0,12:46,18.0,0.0,0.0,0.0,12,cze,cze-fin,2026,0.0,RW,2
28,NEUBAUEROVA Noemi,D,0.0,0.0,0.0,0.0,1.0,1.0,15:11,22.0,0.0,0.0,0.0,12,cze,cze-fin,2026,0.0,RD,2
3,SAPOVALIVOVA Adela,F,0.0,0.0,0.0,0.0,4.0,0.0,15:33,18.0,0.0,0.0,0.0,12,cze,cze-fin,2026,0.0,LW,3
7,SEROISZKOVA Klara,D,0.0,0.0,0.0,0.0,2.0,0.0,10:22,14.0,0.0,0.0,0.0,12,cze,cze-fin,2026,0.0,LD,3
