j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
29,DRAISAITL Leon,F,0.0,1.0,1.0,0.0,10.0,2.0,28:30,21.0,0.0,0.0,0.0,12,ger,ger-lat,2026,0.0,C,1
38,WAGNER Fabio,D,0.0,0.0,0.0,0.0,1.0,0.0,17:48,28.0,0.0,0.0,0.0,12,ger,ger-lat,2026,0.0,LD,1
44,SAMANSKI Joshua,F,0.0,0.0,0.0,0.0,1.0,0.0,20:25,20.0,0.0,0.0,0.0,12,ger,ger-lat,2026,0.0,LW,1
53,SEIDER Moritz,D,0.0,0.0,0.0,0.0,3.0,1.0,27:41,28.0,0.0,0.0,0.0,12,ger,ger-lat,2026,0.0,RD,1
95,TIFFELS Frederik,F,0.0,1.0,1.0,0.0,0.0,0.0,11:13,15.0,0.0,0.0,0.0,12,ger,ger-lat,2026,0.0,RW,1
6,WISSMANN Kai,D,0.0,0.0,0.0,0.0,0.0,-1.0,21:49,27.0,0.0,0.0,0.0,12,ger,ger-lat,2026,0.0,RD,2
18,STUTZLE Tim,F,1.0,0.0,1.0,0.0,5.0,1.0,26:14,21.0,0.0,0.0,0.0,12,ger,ger-lat,2026,0.0,C,2
19,STACHOWIAK Wojciech,F,0.0,0.0,0.0,2.0,0.0,1.0,4:48,7.0,0.0,0.0,0.0,12,ger,ger-lat,2026,0.0,RW,2
41,MULLER Jonas,D,0.0,0.0,0.0,4.0,0.0,-1.0,18:49,22.0,0.0,0.0,0.0,12,ger,ger-lat,2026,0.0,LD,2
77,PETERKA John,F,0.0,1.0,1.0,0.0,2.0,1.0,26:25,21.0,0.0,0.0,0.0,12,ger,ger-lat,2026,0.0,LW,2
9,GAWANKE Leon,D,0.0,0.0,0.0,0.0,0.0,1.0,10:16,17.0,0.0,0.0,0.0,12,ger,ger-lat,2026,0.0,RD,3
49,KALBLE Lukas,D,1.0,1.0,2.0,0.0,2.0,1.0,11:34,21.0,0.0,0.0,0.0,12,ger,ger-lat,2026,0.0,LD,3
65,MICHAELIS Marc,F,0.0,0.0,0.0,0.0,0.0,1.0,12:35,14.0,0.0,0.0,0.0,12,ger,ger-lat,2026,0.0,C,3
72,KAHUN Dominik,F,0.0,1.0,1.0,0.0,1.0,0.0,14:28,16.0,0.0,0.0,0.0,12,ger,ger-lat,2026,0.0,RW,3
73,REICHEL Lukas,F,1.0,0.0,1.0,0.0,2.0,1.0,16:52,17.0,0.0,0.0,0.0,12,ger,ger-lat,2026,0.0,LW,3
8,RIEDER Tobias,F,0.0,0.0,0.0,2.0,2.0,-1.0,7:49,15.0,0.0,0.0,0.0,12,ger,ger-lat,2026,0.0,LW,4
40,EHL Alexander,F,0.0,0.0,0.0,0.0,0.0,0.0,7:58,12.0,0.0,0.0,0.0,12,ger,ger-lat,2026,0.0,RW,4
78,STURM Nico,F,0.0,0.0,0.0,0.0,0.0,-1.0,9:22,13.0,0.0,0.0,0.0,12,ger,ger-lat,2026,0.0,C,4
91,MULLER Moritz,D,0.0,0.0,0.0,0.0,0.0,0.0,2:04,4.0,0.0,0.0,0.0,12,ger,ger-lat,2026,0.0,LD,4
30,GRUBAUER Philipp,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12,ger,ger-lat,2026,0.0,GK,1
37,FRANZREB Maximilian,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12,ger,ger-lat,2026,0.0,GK,2
30,GRUBAUER Philipp,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,22.0,4.0,18.0,12,ger,ger-lat,2026,0.0,GK,1
37,FRANZREB Maximilian,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12,ger,ger-lat,2026,0.0,GK,2
22,VILMANIS Sandis,F,0.0,0.0,0.0,0.0,2.0,0.0,18:10,26.0,0.0,0.0,0.0,12,lat,ger-lat,2026,0.0,LW,1
26,BALINSKIS Uvis Janis,D,0.0,1.0,1.0,0.0,1.0,0.0,24:09,27.0,0.0,0.0,0.0,12,lat,ger-lat,2026,0.0,RD,1
28,GIRGENSONS Zemgus,F,0.0,2.0,2.0,0.0,0.0,0.0,23:21,25.0,0.0,0.0,0.0,12,lat,ger-lat,2026,0.0,C,1
34,TRALMAKS Eduards,F,1.0,0.0,1.0,0.0,2.0,1.0,18:56,24.0,0.0,0.0,0.0,12,lat,ger-lat,2026,0.0,RW,1
94,RUBINS Kristians,D,0.0,0.0,0.0,2.0,3.0,1.0,20:57,29.0,0.0,0.0,0.0,12,lat,ger-lat,2026,0.0,LD,1
9,KRASTENBERGS Renars,F,1.0,1.0,2.0,0.0,1.0,0.0,16:45,23.0,0.0,0.0,0.0,12,lat,ger-lat,2026,1.0,LW,2
16,DAUGAVINS Kaspars,F,0.0,1.0,1.0,0.0,0.0,-1.0,14:50,20.0,0.0,0.0,0.0,12,lat,ger-lat,2026,0.0,RW,2
23,BLUGERS Teodors,F,0.0,0.0,0.0,0.0,0.0,0.0,16:58,25.0,0.0,0.0,0.0,12,lat,ger-lat,2026,0.0,C,2
72,JAKS Janis,D,0.0,1.0,1.0,0.0,2.0,0.0,18:07,22.0,0.0,0.0,0.0,12,lat,ger-lat,2026,0.0,LD,2
77,ZILE Kristaps Roberts,D,0.0,0.0,0.0,2.0,0.0,-2.0,17:28,24.0,0.0,0.0,0.0,12,lat,ger-lat,2026,0.0,RD,2
3,SMITS Alberts,D,0.0,1.0,1.0,0.0,3.0,-1.0,15:48,23.0,0.0,0.0,0.0,12,lat,ger-lat,2026,0.0,LD,3
11,LOCMELIS Dans,F,2.0,0.0,2.0,0.0,2.0,-1.0,14:57,21.0,0.0,0.0,0.0,12,lat,ger-lat,2026,0.0,C,3
13,BUKARTS Rihards,F,0.0,0.0,0.0,0.0,1.0,0.0,4:16,12.0,0.0,0.0,0.0,12,lat,ger-lat,2026,0.0,LW,3
21,BALCERS Rudolfs,F,0.0,1.0,1.0,0.0,2.0,-1.0,15:34,18.0,0.0,0.0,0.0,12,lat,ger-lat,2026,0.0,RW,3
55,MAMCICS Roberts,D,0.0,0.0,0.0,2.0,0.0,0.0,10:54,19.0,0.0,0.0,0.0,12,lat,ger-lat,2026,0.0,RD,3
17,DZIERKALS Martins,F,0.0,0.0,0.0,0.0,1.0,0.0,13:19,21.0,0.0,0.0,0.0,12,lat,ger-lat,2026,0.0,RW,4
27,CIBULSKIS Oskars,D,0.0,0.0,0.0,0.0,0.0,0.0,10:46,18.0,0.0,0.0,0.0,12,lat,ger-lat,2026,0.0,LD,4
43,RAVINSKIS Anri,F,0.0,0.0,0.0,0.0,1.0,0.0,3:56,5.0,0.0,0.0,0.0,12,lat,ger-lat,2026,0.0,LW,4
95,BATNA Oskars,F,0.0,0.0,0.0,2.0,1.0,0.0,10:48,14.0,0.0,0.0,0.0,12,lat,ger-lat,2026,0.0,C,4
71,BUKARTS Roberts,F,0.0,0.0,0.0,0.0,0.0,-1.0,1:56,3.0,0.0,0.0,0.0,12,lat,ger-lat,2026,0.0,LW,5
30,MERZLIKINS Elvis,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12,lat,ger-lat,2026,0.0,GK,2
31,SILOVS Arturs,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12,lat,ger-lat,2026,0.0,GK,1
30,MERZLIKINS Elvis,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12,lat,ger-lat,2026,0.0,GK,2
31,SILOVS Arturs,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,29.0,3.0,26.0,12,lat,ger-lat,2026,0.0,GK,1
