j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
23,LINDELL Esa,D,0.0,0.0,0.0,0.0,2.0,3.0,19:44,26.0,0.0,0.0,0.0,13,fin,fin-ita,2026,0.0,RD,1
24,HINTZ Roope,F,0.0,0.0,0.0,0.0,6.0,1.0,19:25,24.0,0.0,0.0,0.0,13,fin,fin-ita,2026,0.0,C,1
28,TOLVANEN Eeli,F,0.0,0.0,0.0,0.0,1.0,1.0,16:20,19.0,0.0,0.0,0.0,13,fin,fin-ita,2026,0.0,LW,1
41,HEISKANEN Miro,D,1.0,1.0,2.0,0.0,4.0,2.0,21:04,24.0,0.0,0.0,0.0,13,fin,fin-ita,2026,0.0,LD,1
96,RANTANEN Mikko,F,0.0,3.0,3.0,0.0,2.0,1.0,19:18,21.0,0.0,0.0,0.0,13,fin,fin-ita,2026,0.0,RW,1
20,AHO Sebastian,F,2.0,1.0,3.0,0.0,8.0,3.0,20:01,22.0,0.0,0.0,0.0,13,fin,fin-ita,2026,1.0,C,2
55,RISTOLAINEN Rasmus,D,0.0,2.0,2.0,0.0,3.0,5.0,18:22,25.0,0.0,0.0,0.0,13,fin,fin-ita,2026,0.0,RD,2
62,LEHKONEN Artturi,F,1.0,2.0,3.0,0.0,6.0,3.0,15:47,20.0,0.0,0.0,0.0,13,fin,fin-ita,2026,0.0,LW,2
77,MIKKOLA Niko,D,0.0,2.0,2.0,0.0,4.0,5.0,20:36,25.0,0.0,0.0,0.0,13,fin,fin-ita,2026,0.0,LD,2
86,TERAVAINEN Teuvo,F,0.0,1.0,1.0,0.0,1.0,2.0,15:55,19.0,0.0,0.0,0.0,13,fin,fin-ita,2026,0.0,RW,2
3,MAATTA Olli,D,0.0,0.0,0.0,0.0,0.0,1.0,18:11,22.0,0.0,0.0,0.0,13,fin,fin-ita,2026,0.0,LD,3
27,LUOSTARINEN Eetu,F,0.0,2.0,2.0,0.0,1.0,3.0,13:23,18.0,0.0,0.0,0.0,13,fin,fin-ita,2026,0.0,LW,3
