j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
3,SHIGA Aoi,D,0.0,1.0,1.0,0.0,1.0,1.0,26:49,30.0,0.0,0.0,0.0,13,jpn,jpn-ita,2026,0.0,LD,1
6,SATO Kohane,D,0.0,1.0,1.0,2.0,2.0,2.0,22:29,27.0,0.0,0.0,0.0,13,jpn,jpn-ita,2026,0.0,RD,1
11,SHIGA Akane,F,1.0,0.0,1.0,0.0,8.0,1.0,26:36,28.0,0.0,0.0,0.0,13,jpn,jpn-ita,2026,0.0,LW,1
15,UKITA Rui,F,1.0,0.0,1.0,0.0,4.0,1.0,26:42,27.0,0.0,0.0,0.0,13,jpn,jpn-ita,2026,0.0,RW,1
40,NORO Rio,F,0.0,1.0,1.0,0.0,0.0,1.0,9:50,14.0,0.0,0.0,0.0,13,jpn,jpn-ita,2026,0.0,C,1
2,KOIKE Shiori,D,0.0,0.0,0.0,0.0,2.0,-1.0,17:39,24.0,0.0,0.0,0.0,13,jpn,jpn-ita,2026,0.0,RD,2
8,HOSOYAMADA Akane,D,0.0,0.0,0.0,0.0,1.0,-1.0,21:10,27.0,0.0,0.0,0.0,13,jpn,jpn-ita,2026,0.0,LD,2
13,WAJIMA Yumeka,F,0.0,0.0,0.0,0.0,3.0,-1.0,22:22,25.0,0.0,0.0,0.0,13,jpn,jpn-ita,2026,0.0,LW,2
18,MAEDA Suzuka,F,0.0,0.0,0.0,0.0,0.0,-1.0,18:59,23.0,0.0,0.0,0.0,13,jpn,jpn-ita,2026,0.0,C,2
41,NORO Riri,F,0.0,0.0,0.0,0.0,1.0,-1.0,12:16,18.0,0.0,0.0,0.0,13,jpn,jpn-ita,2026,0.0,RW,2
4,HITOSATO Ayaka,D,0.0,0.0,0.0,0.0,1.0,-1.0,16:16,23.0,0.0,0.0,0.0,13,jpn,jpn-ita,2026,0.0,LD,3
7,SEKI Kanami,D,0.0,0.0,0.0,0.0,0.0,0.0,12:38,16.0,0.0,0.0,0.0,13,jpn,jpn-ita,2026,0.0,RD,3
14,TOKO Haruka,F,0.0,0.0,0.0,0.0,4.0,0.0,23:13,25.0,0.0,0.0,0.0,13,jpn,jpn-ita,2026,0.0,RW,3
19,ITO Makoto,F,0.0,0.0,0.0,2.0,1.0,0.0,9:15,16.0,0.0,0.0,0.0,13,jpn,jpn-ita,2026,0.0,C,3
24,MIURA Mei,F,0.0,0.0,0.0,0.0,1.0,0.0,22:26,25.0,0.0,0.0,0.0,13,jpn,jpn-ita,2026,0.0,LW,3
5,YAMASHITA Shiori,D,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,13,jpn,jpn-ita,2026,0.0,RD,4
9,AKIMOTO Nana,D,0.0,0.0,0.0,0.0,0.0,0.0,0:33,1.0,0.0,0.0,0.0,13,jpn,jpn-ita,2026,0.0,LD,4
17,TADA Ai,F,0.0,0.0,0.0,0.0,0.0,0.0,0:44,1.0,0.0,0.0,0.0,13,jpn,jpn-ita,2026,0.0,RW,4
27,KOYAMA Remi,F,0.0,0.0,0.0,0.0,0.0,0.0,9:47,13.0,0.0,0.0,0.0,13,jpn,jpn-ita,2026,0.0,LW,4
91,ODAIRA Umeka,F,0.0,0.0,0.0,0.0,0.0,0.0,0:39,1.0,0.0,0.0,0.0,13,jpn,jpn-ita,2026,0.0,C,4
