j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
7,TKACHUK Brady,F,1.0,0.0,1.0,0.0,3.0,3.0,15:28,23.0,0.0,0.0,0.0,14,usa,usa-den,2026,0.0,LW,1
9,EICHEL Jack,F,1.0,1.0,2.0,0.0,7.0,2.0,16:59,22.0,0.0,0.0,0.0,14,usa,usa-den,2026,0.0,C,1
19,TKACHUK Matthew,F,0.0,1.0,1.0,0.0,2.0,2.0,16:16,21.0,0.0,0.0,0.0,14,usa,usa-den,2026,0.0,RW,1
25,McAVOY Charlie,D,0.0,0.0,0.0,0.0,0.0,1.0,21:35,26.0,0.0,0.0,0.0,14,usa,usa-den,2026,0.0,RD,1
43,HUGHES Quinn,D,0.0,1.0,1.0,0.0,2.0,2.0,23:06,22.0,0.0,0.0,0.0,14,usa,usa-den,2026,0.0,LD,1
12,BOLDY Matt,F,1.0,0.0,1.0,2.0,5.0,0.0,15:03,20.0,0.0,0.0,0.0,14,usa,usa-den,2026,0.0,RW,2
14,FABER Brock,D,0.0,1.0,1.0,0.0,3.0,2.0,14:51,22.0,0.0,0.0,0.0,14,usa,usa-den,2026,0.0,RD,2
34,MATTHEWS Auston,F,0.0,1.0,1.0,2.0,3.0,1.0,17:53,21.0,0.0,0.0,0.0,14,usa,usa-den,2026,0.0,C,2
59,GUENTZEL Jake,F,1.0,0.0,1.0,0.0,2.0,1.0,16:00,21.0,0.0,0.0,0.0,14,usa,usa-den,2026,0.0,LW,2
74,SLAVIN Jaccob,D,0.0,1.0,1.0,0.0,1.0,1.0,13:50,16.0,0.0,0.0,0.0,14,usa,usa-den,2026,0.0,LD,2
8,WERENSKI Zach,D,0.0,0.0,0.0,0.0,4.0,2.0,18:12,21.0,0.0,0.0,0.0,14,usa,usa-den,2026,0.0,LD,3
21,LARKIN Dylan,F,0.0,0.0,0.0,2.0,4.0,0.0,12:31,18.0,0.0,0.0,0.0,14,usa,usa-den,2026,0.0,C,3
72,THOMPSON Tage,F,0.0,0.0,0.0,0.0,1.0,0.0,9:12,11.0,0.0,0.0,0.0,14,usa,usa-den,2026,0.0,RW,3
81,CONNOR Kyle,F,0.0,0.0,0.0,0.0,0.0,-1.0,9:50,14.0,0.0,0.0,0.0,14,usa,usa-den,2026,0.0,LW,3
