j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
13,HISCHIER Nico,F,0.0,1.0,1.0,0.0,5.0,0.0,21:45,30.0,0.0,0.0,0.0,15,sui,sui-cze,2026,0.0,C,1
23,KURASHEV Philipp,F,0.0,0.0,0.0,0.0,1.0,1.0,17:24,24.0,0.0,0.0,0.0,15,sui,sui-cze,2026,0.0,LW,1
28,MEIER Timo,F,1.0,1.0,2.0,0.0,5.0,2.0,20:09,25.0,0.0,0.0,0.0,15,sui,sui-cze,2026,0.0,RW,1
86,MOSER Janis,D,0.0,2.0,2.0,0.0,2.0,0.0,19:00,26.0,0.0,0.0,0.0,15,sui,sui-cze,2026,0.0,RD,1
90,JOSI Roman,D,1.0,1.0,2.0,0.0,3.0,-1.0,22:32,28.0,0.0,0.0,0.0,15,sui,sui-cze,2026,0.0,LD,1
14,KUKAN Dean,D,1.0,0.0,1.0,0.0,2.0,1.0,17:33,25.0,0.0,0.0,0.0,15,sui,sui-cze,2026,1.0,RD,2
22,NIEDERREITER Nino,F,0.0,0.0,0.0,0.0,1.0,-1.0,11:26,16.0,0.0,0.0,0.0,15,sui,sui-cze,2026,0.0,RW,2
44,SUTER Pius,F,1.0,0.0,1.0,0.0,3.0,0.0,16:04,28.0,0.0,0.0,0.0,15,sui,sui-cze,2026,0.0,C,2
71,SIEGENTHALER Jonas,D,0.0,0.0,0.0,4.0,0.0,0.0,18:04,23.0,0.0,0.0,0.0,15,sui,sui-cze,2026,0.0,LD,2
85,ANDRIGHETTO Sven,F,0.0,0.0,0.0,0.0,3.0,0.0,14:43,23.0,0.0,0.0,0.0,15,sui,sui-cze,2026,0.0,LW,2
45,FORA Michael,D,0.0,0.0,0.0,2.0,0.0,0.0,17:46,25.0,0.0,0.0,0.0,15,sui,sui-cze,2026,0.0,RD,3
54,MARTI Christian,D,0.0,0.0,0.0,0.0,0.0,0.0,20:42,28.0,0.0,0.0,0.0,15,sui,sui-cze,2026,0.0,LD,3
73,SCHMID Sandro,F,0.0,0.0,0.0,0.0,0.0,0.0,10:55,18.0,0.0,0.0,0.0,15,sui,sui-cze,2026,0.0,LW,3
79,THURKAUF Calvin,F,0.0,0.0,0.0,0.0,1.0,1.0,15:04,24.0,0.0,0.0,0.0,15,sui,sui-cze,2026,0.0,C,3
88,BERTSCHY Christoph,F,0.0,0.0,0.0,0.0,0.0,0.0,11:52,21.0,0.0,0.0,0.0,15,sui,sui-cze,2026,0.0,RW,3
8,KNAK Simon,F,0.0,0.0,0.0,0.0,2.0,-1.0,12:01,21.0,0.0,0.0,0.0,15,sui,sui-cze,2026,0.0,LW,4
9,RIAT Damien,F,0.0,0.0,0.0,2.0,0.0,-2.0,13:02,23.0,0.0,0.0,0.0,15,sui,sui-cze,2026,0.0,RW,4
17,JAGER Ken,F,0.0,1.0,1.0,0.0,1.0,-1.0,15:28,25.0,0.0,0.0,0.0,15,sui,sui-cze,2026,0.0,C,4
56,BERNI Tim,D,0.0,0.0,0.0,0.0,0.0,-1.0,1:52,3.0,0.0,0.0,0.0,15,sui,sui-cze,2026,0.0,LD,4
40,SCHMID Akira,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,sui,sui-cze,2026,0.0,GK,2
63,GENONI Leonardo,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,sui,sui-cze,2026,0.0,GK,1
40,SCHMID Akira,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,sui,sui-cze,2026,0.0,GK,2
63,GENONI Leonardo,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,32.0,3.0,29.0,15,sui,sui-cze,2026,0.0,GK,1
17,HRONEK Filip,D,0.0,1.0,1.0,0.0,1.0,3.0,26:14,30.0,0.0,0.0,0.0,15,cze,sui-cze,2026,0.0,RD,1
18,PALAT Ondrej,F,0.0,0.0,0.0,0.0,1.0,0.0,20:52,25.0,0.0,0.0,0.0,15,cze,sui-cze,2026,0.0,LW,1
48,HERTL Tomas,F,0.0,0.0,0.0,0.0,1.0,0.0,22:41,24.0,0.0,0.0,0.0,15,cze,sui-cze,2026,0.0,C,1
51,SIMEK Radim,D,1.0,0.0,1.0,0.0,1.0,-1.0,18:11,27.0,0.0,0.0,0.0,15,cze,sui-cze,2026,0.0,LD,1
88,PASTRNAK David,F,0.0,1.0,1.0,0.0,6.0,1.0,23:38,25.0,0.0,0.0,0.0,15,cze,sui-cze,2026,0.0,RW,1
3,GUDAS Radko,D,0.0,0.0,0.0,0.0,1.0,-1.0,16:20,20.0,0.0,0.0,0.0,15,cze,sui-cze,2026,0.0,RD,2
6,KEMPNY Michal,D,0.0,0.0,0.0,2.0,1.0,1.0,20:15,27.0,0.0,0.0,0.0,15,cze,sui-cze,2026,0.0,LD,2
14,CHLAPIK Filip,F,1.0,1.0,2.0,0.0,4.0,1.0,11:37,20.0,0.0,0.0,0.0,15,cze,sui-cze,2026,0.0,LW,2
64,KAMPF David,F,0.0,1.0,1.0,0.0,1.0,3.0,15:02,26.0,0.0,0.0,0.0,15,cze,sui-cze,2026,0.0,C,2
98,NECAS Martin,F,1.0,2.0,3.0,2.0,7.0,2.0,20:54,23.0,0.0,0.0,0.0,15,cze,sui-cze,2026,0.0,RW,2
7,SPACEK David,D,0.0,0.0,0.0,0.0,0.0,-1.0,13:15,19.0,0.0,0.0,0.0,15,cze,sui-cze,2026,0.0,LD,3
10,CERVENKA Roman,F,0.0,0.0,0.0,2.0,3.0,0.0,15:46,22.0,0.0,0.0,0.0,15,cze,sui-cze,2026,0.0,LW,3
23,SEDLAK Lukas,F,0.0,0.0,0.0,0.0,1.0,0.0,13:39,22.0,0.0,0.0,0.0,15,cze,sui-cze,2026,0.0,C,3
73,KASE Ondrej,F,0.0,0.0,0.0,0.0,1.0,-1.0,12:42,19.0,0.0,0.0,0.0,15,cze,sui-cze,2026,0.0,RW,3
84,KUNDRATEK Tomas,D,0.0,0.0,0.0,0.0,1.0,-1.0,10:18,13.0,0.0,0.0,0.0,15,cze,sui-cze,2026,0.0,RD,3
12,FAKSA Radek,F,0.0,0.0,0.0,0.0,0.0,0.0,8:51,13.0,0.0,0.0,0.0,15,cze,sui-cze,2026,0.0,C,4
19,FLEK Jakub,F,0.0,0.0,0.0,0.0,0.0,-1.0,7:59,12.0,0.0,0.0,0.0,15,cze,sui-cze,2026,0.0,LW,4
26,TICHACEK Jiri,D,0.0,0.0,0.0,0.0,1.0,0.0,8:53,11.0,0.0,0.0,0.0,15,cze,sui-cze,2026,0.0,LD,4
93,STRANSKY Matej,F,0.0,0.0,0.0,0.0,1.0,-1.0,13:24,20.0,0.0,0.0,0.0,15,cze,sui-cze,2026,0.0,RW,4
96,TOMASEK David,F,0.0,0.0,0.0,0.0,0.0,-1.0,1:54,3.0,0.0,0.0,0.0,15,cze,sui-cze,2026,0.0,LW,5
1,DOSTAL Lukas,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,cze,sui-cze,2026,0.0,GK,1
80,VLADAR Daniel,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,cze,sui-cze,2026,0.0,GK,2
1,DOSTAL Lukas,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,29.0,4.0,25.0,15,cze,sui-cze,2026,0.0,GK,1
80,VLADAR Daniel,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,cze,sui-cze,2026,0.0,GK,2
