j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
11,ZIMMERMANN Laura,F,0.0,0.0,0.0,0.0,1.0,-2.0,12:01,19.0,0.0,0.0,0.0,15,sui,sui-usa,2026,0.0,RW,1
13,WEY Ivana,F,0.0,0.0,0.0,0.0,3.0,-1.0,15:27,22.0,0.0,0.0,0.0,15,sui,sui-usa,2026,0.0,C,1
15,MERIGUET Laure,D,0.0,0.0,0.0,0.0,0.0,-1.0,11:50,16.0,0.0,0.0,0.0,15,sui,sui-usa,2026,0.0,RD,1
16,VALLARIO Nicole,D,0.0,0.0,0.0,0.0,1.0,-1.0,17:45,30.0,0.0,0.0,0.0,15,sui,sui-usa,2026,0.0,LD,1
28,MARTI Alina,F,0.0,0.0,0.0,0.0,0.0,-1.0,13:21,20.0,0.0,0.0,0.0,15,sui,sui-usa,2026,0.0,LW,1
7,STALDER Lara,F,0.0,0.0,0.0,0.0,5.0,0.0,19:37,25.0,0.0,0.0,0.0,15,sui,sui-usa,2026,0.0,RW,2
17,CHRISTEN Lara,D,0.0,0.0,0.0,0.0,1.0,0.0,23:02,30.0,0.0,0.0,0.0,15,sui,sui-usa,2026,0.0,RD,2
21,ENZLER Rahel,F,0.0,0.0,0.0,0.0,3.0,-1.0,17:34,23.0,0.0,0.0,0.0,15,sui,sui-usa,2026,0.0,LW,2
25,MULLER Alina,F,0.0,0.0,0.0,0.0,2.0,-1.0,20:38,26.0,0.0,0.0,0.0,15,sui,sui-usa,2026,0.0,C,2
82,BAECHLER Alessia,D,0.0,0.0,0.0,0.0,0.0,0.0,25:41,31.0,0.0,0.0,0.0,15,sui,sui-usa,2026,0.0,LD,2
9,SIGRIST Shannon,D,0.0,0.0,0.0,0.0,1.0,-4.0,14:15,27.0,0.0,0.0,0.0,15,sui,sui-usa,2026,0.0,RD,3
18,WETLI Stefanie,D,0.0,0.0,0.0,0.0,0.0,-4.0,16:42,30.0,0.0,0.0,0.0,15,sui,sui-usa,2026,0.0,LD,3
22,LEEMANN Sinja,F,0.0,0.0,0.0,0.0,2.0,0.0,15:13,19.0,0.0,0.0,0.0,15,sui,sui-usa,2026,0.0,C,3
53,SCHAEFER Vanessa,F,0.0,0.0,0.0,0.0,0.0,-2.0,7:29,9.0,0.0,0.0,0.0,15,sui,sui-usa,2026,0.0,LW,3
71,LUTZ Lena Marie,F,0.0,0.0,0.0,2.0,0.0,-2.0,15:42,22.0,0.0,0.0,0.0,15,sui,sui-usa,2026,0.0,RW,3
2,BUCHI Annic,D,0.0,0.0,0.0,0.0,0.0,0.0,8:33,14.0,0.0,0.0,0.0,15,sui,sui-usa,2026,0.0,LD,4
8,QUENNEC Kaleigh,F,0.0,0.0,0.0,0.0,1.0,-1.0,8:03,11.0,0.0,0.0,0.0,15,sui,sui-usa,2026,0.0,RW,4
26,HERZIG Naemi,F,0.0,0.0,0.0,0.0,0.0,-2.0,12:57,20.0,0.0,0.0,0.0,15,sui,sui-usa,2026,0.0,C,4
68,BALZER Leoni,F,0.0,0.0,0.0,0.0,1.0,-1.0,10:41,14.0,0.0,0.0,0.0,15,sui,sui-usa,2026,0.0,LW,4
12,RUEDI Lisa,F,0.0,0.0,0.0,0.0,0.0,-1.0,11:28,17.0,0.0,0.0,0.0,15,sui,sui-usa,2026,0.0,LW,5
20,BRAENDLI Andrea,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,sui,sui-usa,2026,0.0,GK,1
29,MAURER Saskia,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,sui,sui-usa,2026,0.0,GK,2
20,BRAENDLI Andrea,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,50.0,5.0,45.0,15,sui,sui-usa,2026,0.0,GK,1
29,MAURER Saskia,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,sui,sui-usa,2026,0.0,GK,2
5,KELLER Megan,D,0.0,0.0,0.0,0.0,2.0,0.0,20:33,25.0,0.0,0.0,0.0,15,usa,sui-usa,2026,0.0,LD,1
10,EDWARDS Laila,D,0.0,0.0,0.0,0.0,3.0,0.0,22:42,25.0,0.0,0.0,0.0,15,usa,sui-usa,2026,0.0,RD,1
21,KNIGHT Hilary,F,0.0,2.0,2.0,0.0,3.0,2.0,15:13,20.0,0.0,0.0,0.0,15,usa,sui-usa,2026,0.0,RW,1
23,BILKA Hannah,F,1.0,0.0,1.0,0.0,3.0,2.0,14:50,20.0,0.0,0.0,0.0,15,usa,sui-usa,2026,0.0,LW,1
25,CARPENTER Alex,F,1.0,1.0,2.0,0.0,4.0,3.0,14:45,19.0,0.0,0.0,0.0,15,usa,sui-usa,2026,0.0,C,1
4,HARVEY Caroline,D,1.0,2.0,3.0,0.0,5.0,4.0,22:00,24.0,0.0,0.0,0.0,15,usa,sui-usa,2026,0.0,LD,2
8,WINN Haley,D,1.0,0.0,1.0,0.0,2.0,2.0,21:00,22.0,0.0,0.0,0.0,15,usa,sui-usa,2026,1.0,RD,2
17,CURL Britta,F,0.0,0.0,0.0,0.0,4.0,0.0,14:45,20.0,0.0,0.0,0.0,15,usa,sui-usa,2026,0.0,LW,2
27,HEISE Taylor,F,0.0,1.0,1.0,0.0,3.0,1.0,15:42,22.0,0.0,0.0,0.0,15,usa,sui-usa,2026,0.0,C,2
37,MURPHY Abbey,F,0.0,0.0,0.0,2.0,1.0,2.0,15:06,19.0,0.0,0.0,0.0,15,usa,sui-usa,2026,0.0,RW,2
2,STECKLEIN Lee,D,0.0,0.0,0.0,0.0,1.0,1.0,11:52,18.0,0.0,0.0,0.0,15,usa,sui-usa,2026,0.0,LD,3
3,BARNES Cayla,D,0.0,0.0,0.0,0.0,2.0,2.0,15:53,23.0,0.0,0.0,0.0,15,usa,sui-usa,2026,0.0,RD,3
12,PANNEK Kelly,F,0.0,0.0,0.0,0.0,2.0,0.0,14:30,21.0,0.0,0.0,0.0,15,usa,sui-usa,2026,0.0,C,3
13,ZUMWINKLE Grace,F,0.0,0.0,0.0,0.0,3.0,0.0,12:01,18.0,0.0,0.0,0.0,15,usa,sui-usa,2026,0.0,RW,3
26,COYNE Kendall,F,0.0,0.0,0.0,0.0,2.0,0.0,14:03,20.0,0.0,0.0,0.0,15,usa,sui-usa,2026,0.0,LW,3
6,GUILDAY Rory,D,0.0,0.0,0.0,2.0,0.0,1.0,5:10,11.0,0.0,0.0,0.0,15,usa,sui-usa,2026,0.0,LD,4
9,SIMMS Kirsten,F,0.0,0.0,0.0,0.0,1.0,1.0,11:21,15.0,0.0,0.0,0.0,15,usa,sui-usa,2026,0.0,RW,4
22,JANECKE Tessa,F,0.0,0.0,0.0,0.0,3.0,1.0,12:07,16.0,0.0,0.0,0.0,15,usa,sui-usa,2026,0.0,C,4
24,DUNNE Joy,F,1.0,2.0,3.0,0.0,3.0,3.0,12:34,21.0,0.0,0.0,0.0,15,usa,sui-usa,2026,0.0,LW,4
16,SCAMURRA Hayley,F,0.0,0.0,0.0,0.0,3.0,0.0,9:38,17.0,0.0,0.0,0.0,15,usa,sui-usa,2026,0.0,LW,5
30,McNAUGHTON Ava,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,usa,sui-usa,2026,0.0,GK,2
33,PHILIPS Gwyneth,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,usa,sui-usa,2026,0.0,GK,1
30,McNAUGHTON Ava,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,15,usa,sui-usa,2026,0.0,GK,2
33,PHILIPS Gwyneth,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,20.0,0.0,20.0,15,usa,sui-usa,2026,0.0,GK,1
