j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
3,LAROCQUE Jocelyne,D,0.0,0.0,0.0,0.0,0.0,0.0,17:17,24.0,0.0,0.0,0.0,16,can,can-cze,2026,0.0,LD,1
7,STACEY Laura,F,1.0,0.0,1.0,2.0,2.0,1.0,15:49,19.0,0.0,0.0,0.0,16,can,can-cze,2026,0.0,RW,1
14,FAST Renata,D,0.0,1.0,1.0,2.0,4.0,1.0,19:12,28.0,0.0,0.0,0.0,16,can,can-cze,2026,0.0,RD,1
27,MALTAIS Emma,F,0.0,1.0,1.0,0.0,2.0,1.0,14:53,22.0,0.0,0.0,0.0,16,can,can-cze,2026,0.0,LW,1
29,POULIN Marie-Philip,F,0.0,0.0,0.0,0.0,1.0,1.0,4:01,7.0,0.0,0.0,0.0,16,can,can-cze,2026,0.0,C,1
10,FILLIER Sarah,F,1.0,0.0,1.0,0.0,2.0,1.0,16:31,18.0,0.0,0.0,0.0,16,can,can-cze,2026,1.0,RW,2
17,SHELTON Ella,D,0.0,1.0,1.0,0.0,2.0,2.0,15:46,28.0,0.0,0.0,0.0,16,can,can-cze,2026,0.0,LD,2
20,NURSE Sarah,F,0.0,1.0,1.0,2.0,3.0,1.0,12:09,17.0,0.0,0.0,0.0,16,can,can-cze,2026,0.0,C,2
23,AMBROSE Erin,D,0.0,1.0,1.0,0.0,3.0,1.0,13:36,25.0,0.0,0.0,0.0,16,can,can-cze,2026,0.0,RD,2
95,WATTS Daryl,F,0.0,1.0,1.0,0.0,2.0,1.0,16:14,19.0,0.0,0.0,0.0,16,can,can-cze,2026,0.0,LW,2
2,JAQUES Sophie,D,0.0,0.0,0.0,0.0,1.0,1.0,18:21,26.0,0.0,0.0,0.0,16,can,can-cze,2026,0.0,RD,3
19,JENNER Brianne,F,0.0,2.0,2.0,0.0,1.0,0.0,12:55,17.0,0.0,0.0,0.0,16,can,can-cze,2026,0.0,RW,3
26,CLARK Emily,F,0.0,0.0,0.0,0.0,2.0,1.0,14:08,18.0,0.0,0.0,0.0,16,can,can-cze,2026,0.0,LW,3
40,TURNBULL Blayre,F,0.0,0.0,0.0,0.0,2.0,0.0,16:27,19.0,0.0,0.0,0.0,16,can,can-cze,2026,0.0,C,3
42,THOMPSON Claire,D,0.0,1.0,1.0,4.0,1.0,1.0,20:31,28.0,0.0,0.0,0.0,16,can,can-cze,2026,0.0,LD,3
4,TABIN Kati,D,0.0,0.0,0.0,0.0,0.0,0.0,13:42,21.0,0.0,0.0,0.0,16,can,can-cze,2026,0.0,LD,4
43,O'NEILL Kristin,F,1.0,0.0,1.0,0.0,1.0,1.0,13:49,19.0,0.0,0.0,0.0,16,can,can-cze,2026,0.0,C,4
88,GOSLING Julia,F,2.0,0.0,2.0,0.0,3.0,0.0,12:43,18.0,0.0,0.0,0.0,16,can,can-cze,2026,0.0,LW,4
94,GARDINER Jennifer,F,0.0,0.0,0.0,0.0,0.0,0.0,9:27,15.0,0.0,0.0,0.0,16,can,can-cze,2026,0.0,RW,4
24,SPOONER Natalie,F,0.0,0.0,0.0,0.0,2.0,1.0,14:30,17.0,0.0,0.0,0.0,16,can,can-cze,2026,0.0,LW,5
35,DESBIENS Ann-Renee,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16,can,can-cze,2026,0.0,GK,1
38,MASCHMEYER Emerance,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16,can,can-cze,2026,0.0,GK,2
35,DESBIENS Ann-Renee,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.0,1.0,18.0,16,can,can-cze,2026,0.0,GK,1
38,MASCHMEYER Emerance,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16,can,can-cze,2026,0.0,GK,2
2,TEJRALOVA Aneta,D,0.0,0.0,0.0,0.0,1.0,0.0,19:16,29.0,0.0,0.0,0.0,16,cze,can-cze,2026,0.0,LD,1
16,MRAZOVA Katerina,F,0.0,0.0,0.0,2.0,1.0,-1.0,20:16,24.0,0.0,0.0,0.0,16,cze,can-cze,2026,0.0,C,1
19,MLYNKOVA Natalie,F,1.0,0.0,1.0,0.0,3.0,0.0,19:58,25.0,0.0,0.0,0.0,16,cze,can-cze,2026,0.0,RW,1
21,VANISOVA Tereza,F,0.0,1.0,1.0,0.0,4.0,0.0,17:09,21.0,0.0,0.0,0.0,16,cze,can-cze,2026,0.0,LW,1
24,CAJANOVA Sara,D,0.0,0.0,0.0,0.0,0.0,-1.0,9:32,13.0,0.0,0.0,0.0,16,cze,can-cze,2026,0.0,RD,1
4,PEJSOVA Daniela,D,0.0,0.0,0.0,0.0,2.0,-1.0,23:15,26.0,0.0,0.0,0.0,16,cze,can-cze,2026,0.0,LD,2
10,KRIZOVA Denisa,F,0.0,0.0,0.0,0.0,0.0,-1.0,14:42,23.0,0.0,0.0,0.0,16,cze,can-cze,2026,0.0,LW,2
18,PEJZLOVA Michaela,F,0.0,0.0,0.0,0.0,1.0,-1.0,13:24,18.0,0.0,0.0,0.0,16,cze,can-cze,2026,0.0,C,2
22,PLOSOVA Tereza,F,0.0,0.0,0.0,0.0,2.0,-1.0,11:35,18.0,0.0,0.0,0.0,16,cze,can-cze,2026,0.0,RW,2
28,NEUBAUEROVA Noemi,D,0.0,0.0,0.0,0.0,0.0,-1.0,19:23,21.0,0.0,0.0,0.0,16,cze,can-cze,2026,0.0,RD,2
3,SAPOVALIVOVA Adela,F,0.0,0.0,0.0,0.0,0.0,-1.0,14:51,19.0,0.0,0.0,0.0,16,cze,can-cze,2026,0.0,LW,3
7,SEROISZKOVA Klara,D,0.0,0.0,0.0,0.0,0.0,-1.0,13:05,22.0,0.0,0.0,0.0,16,cze,can-cze,2026,0.0,LD,3
12,HYMLAROVA Klara,F,0.0,0.0,0.0,0.0,0.0,-1.0,16:44,20.0,0.0,0.0,0.0,16,cze,can-cze,2026,0.0,RW,3
14,LASKOVA Dominika,D,0.0,0.0,0.0,0.0,0.0,-1.0,14:11,25.0,0.0,0.0,0.0,16,cze,can-cze,2026,0.0,RD,3
98,KALTOUNKOVA Kristyna,F,0.0,1.0,1.0,4.0,4.0,-1.0,16:16,21.0,0.0,0.0,0.0,16,cze,can-cze,2026,0.0,C,3
8,PISTEKOVA Tereza,F,0.0,0.0,0.0,2.0,0.0,0.0,13:59,23.0,0.0,0.0,0.0,16,cze,can-cze,2026,0.0,C,4
15,TRNKOVA Andrea,D,0.0,0.0,0.0,0.0,0.0,-1.0,11:40,19.0,0.0,0.0,0.0,16,cze,can-cze,2026,0.0,LD,4
20,JURICKOVA Barbora,F,0.0,0.0,0.0,2.0,0.0,-1.0,8:41,12.0,0.0,0.0,0.0,16,cze,can-cze,2026,0.0,RW,4
26,PRIBYLOVA Vendula,F,0.0,0.0,0.0,0.0,1.0,-1.0,8:51,15.0,0.0,0.0,0.0,16,cze,can-cze,2026,0.0,LW,4
6,VOCETKOVA Linda,F,0.0,0.0,0.0,0.0,0.0,0.0,6:11,9.0,0.0,0.0,0.0,16,cze,can-cze,2026,0.0,LW,5
1,HESOVA Michaela,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16,cze,can-cze,2026,0.0,GK,2
32,PEJSOVA Julie,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16,cze,can-cze,2026,0.0,GK,1
1,HESOVA Michaela,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,23.0,2.0,21.0,16,cze,can-cze,2026,0.0,GK,2
32,PEJSOVA Julie,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.0,3.0,8.0,16,cze,can-cze,2026,0.0,GK,1
