j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
7,TOEWS Devon,D,1.0,0.0,1.0,0.0,2.0,4.0,16:02,22.0,0.0,0.0,0.0,16,can,can-fra,2026,0.0,LD,1
8,MAKAR Cale,D,1.0,0.0,1.0,2.0,4.0,3.0,17:49,22.0,0.0,0.0,0.0,16,can,can-fra,2026,0.0,RD,1
17,CELEBRINI Macklin,F,2.0,1.0,3.0,0.0,4.0,2.0,15:44,20.0,0.0,0.0,0.0,16,can,can-fra,2026,0.0,LW,1
43,WILSON Tom,F,1.0,1.0,2.0,27.0,2.0,1.0,11:31,15.0,0.0,0.0,0.0,16,can,can-fra,2026,0.0,RW,1
97,McDAVID Connor,F,1.0,2.0,3.0,0.0,4.0,2.0,17:50,18.0,0.0,0.0,0.0,16,can,can-fra,2026,0.0,C,1
10,SUZUKI Nick,F,0.0,0.0,0.0,0.0,3.0,0.0,13:50,17.0,0.0,0.0,0.0,16,can,can-fra,2026,0.0,RW,2
20,HARLEY Thomas,D,0.0,0.0,0.0,0.0,2.0,-2.0,17:14,25.0,0.0,0.0,0.0,16,can,can-fra,2026,0.0,LD,2
29,MacKINNON Nathan,F,0.0,1.0,1.0,2.0,2.0,0.0,16:56,22.0,0.0,0.0,0.0,16,can,can-fra,2026,0.0,C,2
38,HAGEL Brandon,F,1.0,0.0,1.0,0.0,2.0,0.0,15:34,19.0,0.0,0.0,0.0,16,can,can-fra,2026,0.0,LW,2
55,PARAYKO Colton,D,0.0,0.0,0.0,0.0,0.0,-1.0,15:08,23.0,0.0,0.0,0.0,16,can,can-fra,2026,0.0,RD,2
6,SANHEIM Travis,D,0.0,0.0,0.0,2.0,2.0,3.0,18:53,25.0,0.0,0.0,0.0,16,can,can-fra,2026,0.0,LD,3
61,STONE Mark,F,1.0,2.0,3.0,0.0,4.0,2.0,13:20,20.0,0.0,0.0,0.0,16,can,can-fra,2026,1.0,RW,3
87,CROSBY Sidney,F,1.0,2.0,3.0,0.0,2.0,1.0,13:30,18.0,0.0,0.0,0.0,16,can,can-fra,2026,0.0,C,3
89,DOUGHTY Drew,D,0.0,1.0,1.0,0.0,1.0,1.0,15:59,23.0,0.0,0.0,0.0,16,can,can-fra,2026,0.0,RD,3
93,MARNER Mitch,F,0.0,2.0,2.0,0.0,1.0,3.0,13:54,21.0,0.0,0.0,0.0,16,can,can-fra,2026,0.0,LW,3
9,BENNETT Sam,F,0.0,1.0,1.0,0.0,0.0,1.0,9:19,14.0,0.0,0.0,0.0,16,can,can-fra,2026,0.0,C,4
13,REINHART Sam,F,0.0,1.0,1.0,0.0,3.0,1.0,14:28,17.0,0.0,0.0,0.0,16,can,can-fra,2026,0.0,RW,4
24,JARVIS Seth,F,0.0,0.0,0.0,0.0,1.0,0.0,10:35,13.0,0.0,0.0,0.0,16,can,can-fra,2026,0.0,LW,4
