j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
11,TRUE Alexander,F,0.0,0.0,0.0,0.0,0.0,0.0,16:01,19.0,0.0,0.0,0.0,17,den,den-lat,2026,0.0,C,1
22,LAURIDSEN Markus,D,0.0,1.0,1.0,0.0,1.0,1.0,20:52,25.0,0.0,0.0,0.0,17,den,den-lat,2026,0.0,RD,1
24,EHLERS Nikolaj,F,1.0,0.0,1.0,0.0,1.0,1.0,19:55,24.0,0.0,0.0,0.0,17,den,den-lat,2026,1.0,RW,1
27,BJORKSTRAND Oliver,F,0.0,1.0,1.0,0.0,2.0,0.0,22:11,23.0,0.0,0.0,0.0,17,den,den-lat,2026,0.0,LW,1
41,JENSEN AABO Jesper,D,0.0,0.0,0.0,0.0,2.0,1.0,20:22,26.0,0.0,0.0,0.0,17,den,den-lat,2026,0.0,LD,1
3,SETKOV Malte,D,0.0,0.0,0.0,2.0,1.0,-1.0,15:50,25.0,0.0,0.0,0.0,17,den,den-lat,2026,0.0,RD,2
17,JENSEN Nicklas,F,0.0,0.0,0.0,0.0,1.0,0.0,12:49,19.0,0.0,0.0,0.0,17,den,den-lat,2026,0.0,RW,2
20,ELLER Lars,F,0.0,1.0,1.0,2.0,1.0,1.0,17:29,21.0,0.0,0.0,0.0,17,den,den-lat,2026,0.0,C,2
48,JENSEN Nicholas B,D,0.0,0.0,0.0,0.0,2.0,0.0,18:49,29.0,0.0,0.0,0.0,17,den,den-lat,2026,0.0,LD,2
86,BLICHFELD Joachim,F,0.0,0.0,0.0,0.0,1.0,0.0,9:43,15.0,0.0,0.0,0.0,17,den,den-lat,2026,0.0,LW,2
12,MOELGAARD Oscar,F,0.0,0.0,0.0,2.0,0.0,1.0,15:00,19.0,0.0,0.0,0.0,17,den,den-lat,2026,0.0,C,3
25,LAURIDSEN Oliver,D,0.0,1.0,1.0,2.0,2.0,1.0,19:27,29.0,0.0,0.0,0.0,17,den,den-lat,2026,0.0,LD,3
29,AAGAARD Mikkel,F,1.0,1.0,2.0,0.0,1.0,1.0,11:51,17.0,0.0,0.0,0.0,17,den,den-lat,2026,0.0,RW,3
42,BRUGGISSER Phillip,D,0.0,0.0,0.0,2.0,1.0,0.0,15:51,24.0,0.0,0.0,0.0,17,den,den-lat,2026,0.0,RD,3
95,OLESEN Nick,F,2.0,1.0,3.0,0.0,3.0,1.0,17:15,25.0,0.0,0.0,0.0,17,den,den-lat,2026,0.0,LW,3
9,STORM Frederik,F,0.0,0.0,0.0,0.0,1.0,-1.0,10:02,13.0,0.0,0.0,0.0,17,den,den-lat,2026,0.0,LW,4
