j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
3,SHIGA Aoi,D,0.0,0.0,0.0,2.0,1.0,-2.0,17:49,24.0,0.0,0.0,0.0,17,jpn,jpn-swe,2026,0.0,LD,1
6,SATO Kohane,D,0.0,0.0,0.0,0.0,0.0,-2.0,19:00,22.0,0.0,0.0,0.0,17,jpn,jpn-swe,2026,0.0,RD,1
11,SHIGA Akane,F,0.0,0.0,0.0,2.0,3.0,-2.0,19:39,18.0,0.0,0.0,0.0,17,jpn,jpn-swe,2026,0.0,LW,1
14,TOKO Haruka,F,0.0,0.0,0.0,0.0,1.0,-2.0,17:35,18.0,0.0,0.0,0.0,17,jpn,jpn-swe,2026,0.0,C,1
15,UKITA Rui,F,0.0,0.0,0.0,2.0,2.0,-2.0,22:37,21.0,0.0,0.0,0.0,17,jpn,jpn-swe,2026,0.0,RW,1
2,KOIKE Shiori,D,0.0,0.0,0.0,0.0,2.0,0.0,18:49,22.0,0.0,0.0,0.0,17,jpn,jpn-swe,2026,0.0,LD,2
8,HOSOYAMADA Akane,D,0.0,0.0,0.0,0.0,1.0,0.0,19:01,23.0,0.0,0.0,0.0,17,jpn,jpn-swe,2026,0.0,RD,2
13,WAJIMA Yumeka,F,0.0,0.0,0.0,0.0,4.0,0.0,15:12,20.0,0.0,0.0,0.0,17,jpn,jpn-swe,2026,0.0,LW,2
18,MAEDA Suzuka,F,0.0,0.0,0.0,0.0,0.0,0.0,17:32,21.0,0.0,0.0,0.0,17,jpn,jpn-swe,2026,0.0,C,2
24,MIURA Mei,F,0.0,0.0,0.0,0.0,2.0,-1.0,18:27,20.0,0.0,0.0,0.0,17,jpn,jpn-swe,2026,0.0,RW,2
4,HITOSATO Ayaka,D,0.0,0.0,0.0,0.0,1.0,-1.0,15:27,23.0,0.0,0.0,0.0,17,jpn,jpn-swe,2026,0.0,RD,3
7,SEKI Kanami,D,0.0,0.0,0.0,2.0,1.0,-1.0,17:06,24.0,0.0,0.0,0.0,17,jpn,jpn-swe,2026,0.0,LD,3
19,ITO Makoto,F,0.0,0.0,0.0,0.0,0.0,-1.0,14:17,18.0,0.0,0.0,0.0,17,jpn,jpn-swe,2026,0.0,LW,3
40,NORO Rio,F,0.0,0.0,0.0,0.0,0.0,-1.0,12:45,16.0,0.0,0.0,0.0,17,jpn,jpn-swe,2026,0.0,C,3
41,NORO Riri,F,0.0,0.0,0.0,0.0,0.0,0.0,13:23,17.0,0.0,0.0,0.0,17,jpn,jpn-swe,2026,0.0,RW,3
5,YAMASHITA Shiori,D,0.0,0.0,0.0,0.0,0.0,0.0,7:18,9.0,0.0,0.0,0.0,17,jpn,jpn-swe,2026,0.0,LD,4
9,AKIMOTO Nana,D,0.0,0.0,0.0,0.0,0.0,0.0,6:08,7.0,0.0,0.0,0.0,17,jpn,jpn-swe,2026,0.0,RD,4
17,TADA Ai,F,0.0,0.0,0.0,0.0,1.0,0.0,8:04,8.0,0.0,0.0,0.0,17,jpn,jpn-swe,2026,0.0,LW,4
27,KOYAMA Remi,F,0.0,0.0,0.0,0.0,0.0,0.0,9:04,9.0,0.0,0.0,0.0,17,jpn,jpn-swe,2026,0.0,RW,4
91,ODAIRA Umeka,F,0.0,0.0,0.0,0.0,1.0,0.0,6:03,7.0,0.0,0.0,0.0,17,jpn,jpn-swe,2026,0.0,C,4
30,HALLORAN Rei,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,17,jpn,jpn-swe,2026,0.0,GK,2
31,KAWAGUCHI Riko,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,17,jpn,jpn-swe,2026,0.0,GK,1
30,HALLORAN Rei,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,0.0,5.0,17,jpn,jpn-swe,2026,0.0,GK,2
31,KAWAGUCHI Riko,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,26.0,4.0,22.0,17,jpn,jpn-swe,2026,0.0,GK,1
7,JUNGAKER Mira,D,0.0,0.0,0.0,4.0,0.0,1.0,18:34,26.0,0.0,0.0,0.0,17,swe,jpn-swe,2026,0.0,LD,1
8,SVENSSON Hilda,F,0.0,0.0,0.0,0.0,0.0,0.0,1:32,2.0,0.0,0.0,0.0,17,swe,jpn-swe,2026,0.0,LW,1
12,NYLEN PERSSON Maja,D,0.0,2.0,2.0,0.0,3.0,1.0,22:32,27.0,0.0,0.0,0.0,17,swe,jpn-swe,2026,0.0,RD,1
23,JOHANSSON Thea,F,0.0,1.0,1.0,0.0,3.0,0.0,17:43,20.0,0.0,0.0,0.0,17,swe,jpn-swe,2026,0.0,RW,1
26,OLSSON Hanna,F,1.0,0.0,1.0,0.0,1.0,0.0,15:27,17.0,0.0,0.0,0.0,17,swe,jpn-swe,2026,0.0,C,1
15,JOHANSSON Lisa,F,0.0,0.0,0.0,0.0,3.0,1.0,11:47,13.0,0.0,0.0,0.0,17,swe,jpn-swe,2026,0.0,LW,2
19,HJALMARSSON Sara,F,0.0,1.0,1.0,0.0,2.0,1.0,18:38,21.0,0.0,0.0,0.0,17,swe,jpn-swe,2026,0.0,C,2
22,THUVIK Hanna,F,1.0,0.0,1.0,0.0,1.0,1.0,15:14,19.0,0.0,0.0,0.0,17,swe,jpn-swe,2026,1.0,RW,2
55,RAUNIO Jenna,D,0.0,1.0,1.0,0.0,1.0,1.0,17:34,19.0,0.0,0.0,0.0,17,swe,jpn-swe,2026,0.0,LD,2
71,KJELLBIN Anna,D,0.0,0.0,0.0,0.0,2.0,1.0,19:57,25.0,0.0,0.0,0.0,17,swe,jpn-swe,2026,0.0,RD,2
9,ADOLFSSON Jessica,D,0.0,0.0,0.0,0.0,0.0,1.0,18:06,22.0,0.0,0.0,0.0,17,swe,jpn-swe,2026,0.0,LD,3
11,BOUVENG Josefin,F,1.0,1.0,2.0,0.0,6.0,2.0,15:07,19.0,0.0,0.0,0.0,17,swe,jpn-swe,2026,0.0,RW,3
14,KARLSSON Ida,D,0.0,0.0,0.0,2.0,0.0,1.0,17:19,21.0,0.0,0.0,0.0,17,swe,jpn-swe,2026,0.0,RD,3
17,LUNDIN Sofie,F,0.0,0.0,0.0,0.0,3.0,2.0,14:18,16.0,0.0,0.0,0.0,17,swe,jpn-swe,2026,0.0,C,3
34,HALLIN Mira,F,1.0,0.0,1.0,0.0,3.0,2.0,14:44,17.0,0.0,0.0,0.0,17,swe,jpn-swe,2026,0.0,LW,3
4,ANDERSSON Linnea,D,0.0,0.0,0.0,0.0,0.0,0.0,4:42,6.0,0.0,0.0,0.0,17,swe,jpn-swe,2026,0.0,LD,4
24,HEDQVIST Ebba,F,0.0,0.0,0.0,0.0,1.0,0.0,13:00,16.0,0.0,0.0,0.0,17,swe,jpn-swe,2026,0.0,LW,4
25,LJUNGBLOM Lina,F,0.0,0.0,0.0,0.0,1.0,0.0,13:56,17.0,0.0,0.0,0.0,17,swe,jpn-swe,2026,0.0,C,4
