j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
8,CAUMO Anna,F,0.0,1.0,1.0,2.0,3.0,0.0,25:25,25.0,0.0,0.0,0.0,18,ita,ita-ger,2026,0.0,LW,1
11,REYES Justine,F,1.0,0.0,1.0,0.0,3.0,-1.0,25:36,24.0,0.0,0.0,0.0,18,ita,ita-ger,2026,0.0,RW,1
18,STOCKER Franziska,D,0.0,0.0,0.0,0.0,0.0,0.0,24:57,30.0,0.0,0.0,0.0,18,ita,ita-ger,2026,0.0,RD,1
19,DELLA ROVERE Kristin,F,0.0,1.0,1.0,0.0,3.0,-1.0,29:30,29.0,0.0,0.0,0.0,18,ita,ita-ger,2026,0.0,C,1
93,MATTIVI Nadia,D,0.0,0.0,0.0,2.0,1.0,0.0,29:34,32.0,0.0,0.0,0.0,18,ita,ita-ger,2026,0.0,LD,1
10,ABATANGELO Aurora,F,0.0,0.0,0.0,0.0,1.0,0.0,18:08,25.0,0.0,0.0,0.0,18,ita,ita-ger,2026,0.0,LW,2
13,LOBIS Laura,D,0.0,0.0,0.0,0.0,0.0,0.0,12:10,20.0,0.0,0.0,0.0,18,ita,ita-ger,2026,0.0,LD,2
17,FANTIN Matilde,F,0.0,0.0,0.0,4.0,5.0,0.0,21:14,25.0,0.0,0.0,0.0,18,ita,ita-ger,2026,0.0,C,2
77,FORTINO Laura,D,0.0,0.0,0.0,0.0,4.0,-1.0,29:59,31.0,0.0,0.0,0.0,18,ita,ita-ger,2026,0.0,RD,2
82,TUTINO Kayla,F,0.0,0.0,0.0,0.0,0.0,0.0,18:10,26.0,0.0,0.0,0.0,18,ita,ita-ger,2026,0.0,RW,2
2,VARANO Amie,D,0.0,0.0,0.0,0.0,0.0,-1.0,6:37,6.0,0.0,0.0,0.0,18,ita,ita-ger,2026,0.0,RD,3
3,HEIDENBERGER Manuela,F,0.0,0.0,0.0,0.0,1.0,0.0,6:57,11.0,0.0,0.0,0.0,18,ita,ita-ger,2026,0.0,RW,3
12,ROCCELLA Rebecca,F,0.0,0.0,0.0,0.0,1.0,-1.0,6:41,14.0,0.0,0.0,0.0,18,ita,ita-ger,2026,0.0,LW,3
15,NICCOLAI Greta,F,0.0,0.0,0.0,0.0,0.0,0.0,7:23,12.0,0.0,0.0,0.0,18,ita,ita-ger,2026,0.0,C,3
27,GUERRIERO Kristen,D,0.0,0.0,0.0,0.0,1.0,0.0,9:13,9.0,0.0,0.0,0.0,18,ita,ita-ger,2026,0.0,LD,3
4,SALETTA Carola,F,0.0,0.0,0.0,0.0,0.0,0.0,2:45,5.0,0.0,0.0,0.0,18,ita,ita-ger,2026,0.0,C,4
21,MAZZOCCHI Marta,F,0.0,0.0,0.0,0.0,0.0,0.0,2:49,5.0,0.0,0.0,0.0,18,ita,ita-ger,2026,0.0,RW,4
22,KANEPPELE Sara,F,0.0,0.0,0.0,2.0,1.0,0.0,4:06,7.0,0.0,0.0,0.0,18,ita,ita-ger,2026,0.0,LW,4
55,PIERRI Jacquie,D,0.0,0.0,0.0,0.0,0.0,0.0,9:08,8.0,0.0,0.0,0.0,18,ita,ita-ger,2026,0.0,LD,4
14,BONAFINI Eleonora,F,0.0,0.0,0.0,0.0,0.0,0.0,0:54,2.0,0.0,0.0,0.0,18,ita,ita-ger,2026,0.0,LW,5
1,DURANTE Gabriella,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18,ita,ita-ger,2026,0.0,GK,1
25,FEDEL Martina,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18,ita,ita-ger,2026,0.0,GK,2
1,DURANTE Gabriella,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,2.0,22.0,18,ita,ita-ger,2026,0.0,GK,1
25,FEDEL Martina,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18,ita,ita-ger,2026,0.0,GK,2
8,HARK Ronja,D,0.0,0.0,0.0,0.0,0.0,2.0,21:08,31.0,0.0,0.0,0.0,18,ger,ita-ger,2026,0.0,RD,1
11,HADRASCHEK Nicola,F,0.0,0.0,0.0,0.0,1.0,1.0,22:27,30.0,0.0,0.0,0.0,18,ger,ita-ger,2026,0.0,LW,1
17,NIX Emily,F,1.0,0.0,1.0,0.0,3.0,1.0,18:35,28.0,0.0,0.0,0.0,18,ger,ita-ger,2026,0.0,RW,1
20,GLEISSNER Daria,D,0.0,1.0,1.0,0.0,5.0,1.0,22:01,31.0,0.0,0.0,0.0,18,ger,ita-ger,2026,0.0,LD,1
25,KLUGE Laura,F,1.0,1.0,2.0,0.0,1.0,2.0,21:55,28.0,0.0,0.0,0.0,18,ger,ita-ger,2026,1.0,C,1
9,VOIGT Svenja,F,0.0,0.0,0.0,0.0,1.0,-1.0,17:54,25.0,0.0,0.0,0.0,18,ger,ita-ger,2026,0.0,LW,2
13,WELCKE Luisa,F,0.0,0.0,0.0,2.0,1.0,-1.0,16:22,23.0,0.0,0.0,0.0,18,ger,ita-ger,2026,0.0,RW,2
14,STROBEL Carina,D,0.0,0.0,0.0,0.0,0.0,-1.0,25:19,32.0,0.0,0.0,0.0,18,ger,ita-ger,2026,0.0,LD,2
23,WELCKE Lilli,F,0.0,0.0,0.0,0.0,1.0,-1.0,18:25,27.0,0.0,0.0,0.0,18,ger,ita-ger,2026,0.0,C,2
28,JOBST-SMITH Katarina,D,0.0,1.0,1.0,2.0,8.0,0.0,27:09,32.0,0.0,0.0,0.0,18,ger,ita-ger,2026,0.0,RD,2
5,SCHAFFRATH Charlott,D,0.0,0.0,0.0,2.0,0.0,0.0,11:15,19.0,0.0,0.0,0.0,18,ger,ita-ger,2026,0.0,LD,3
7,FELDMEIER Franziska,F,0.0,0.0,0.0,0.0,2.0,1.0,15:51,20.0,0.0,0.0,0.0,18,ger,ita-ger,2026,0.0,C,3
16,SCHIEFER Jule,F,0.0,0.0,0.0,0.0,0.0,1.0,13:43,19.0,0.0,0.0,0.0,18,ger,ita-ger,2026,0.0,LW,3
34,HAIDER Celina,F,0.0,0.0,0.0,0.0,0.0,0.0,13:40,18.0,0.0,0.0,0.0,18,ger,ita-ger,2026,0.0,RW,3
44,HOPPE Hanna,D,0.0,0.0,0.0,0.0,1.0,0.0,8:30,15.0,0.0,0.0,0.0,18,ger,ita-ger,2026,0.0,RD,3
10,HACKELSMILLER Katharina,F,0.0,0.0,0.0,0.0,0.0,0.0,0:05,1.0,0.0,0.0,0.0,18,ger,ita-ger,2026,0.0,LW,4
