j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
7,TKACHUK Brady,F,0.0,1.0,1.0,0.0,2.0,1.0,14:12,19.0,0.0,0.0,0.0,18,usa,usa-ger,2026,0.0,LW,1
9,EICHEL Jack,F,0.0,0.0,0.0,2.0,2.0,1.0,16:18,21.0,0.0,0.0,0.0,18,usa,usa-ger,2026,0.0,C,1
19,TKACHUK Matthew,F,0.0,2.0,2.0,2.0,3.0,1.0,14:57,21.0,0.0,0.0,0.0,18,usa,usa-ger,2026,0.0,RW,1
25,McAVOY Charlie,D,0.0,0.0,0.0,0.0,0.0,0.0,18:09,24.0,0.0,0.0,0.0,18,usa,usa-ger,2026,0.0,RD,1
43,HUGHES Quinn,D,0.0,1.0,1.0,0.0,2.0,1.0,21:59,22.0,0.0,0.0,0.0,18,usa,usa-ger,2026,0.0,LD,1
12,BOLDY Matt,F,0.0,0.0,0.0,0.0,8.0,1.0,17:16,21.0,0.0,0.0,0.0,18,usa,usa-ger,2026,0.0,RW,2
14,FABER Brock,D,1.0,0.0,1.0,0.0,1.0,1.0,19:20,23.0,0.0,0.0,0.0,18,usa,usa-ger,2026,0.0,RD,2
34,MATTHEWS Auston,F,2.0,1.0,3.0,0.0,3.0,1.0,15:17,19.0,0.0,0.0,0.0,18,usa,usa-ger,2026,1.0,C,2
59,GUENTZEL Jake,F,0.0,0.0,0.0,0.0,2.0,1.0,17:07,20.0,0.0,0.0,0.0,18,usa,usa-ger,2026,0.0,LW,2
74,SLAVIN Jaccob,D,0.0,0.0,0.0,0.0,0.0,1.0,15:29,20.0,0.0,0.0,0.0,18,usa,usa-ger,2026,0.0,LD,2
8,WERENSKI Zach,D,1.0,0.0,1.0,2.0,2.0,1.0,19:30,21.0,0.0,0.0,0.0,18,usa,usa-ger,2026,0.0,LD,3
21,LARKIN Dylan,F,0.0,1.0,1.0,0.0,2.0,1.0,15:57,21.0,0.0,0.0,0.0,18,usa,usa-ger,2026,0.0,C,3
72,THOMPSON Tage,F,1.0,0.0,1.0,0.0,3.0,1.0,9:23,13.0,0.0,0.0,0.0,18,usa,usa-ger,2026,0.0,RW,3
85,SANDERSON Jake,D,0.0,2.0,2.0,0.0,1.0,2.0,10:40,16.0,0.0,0.0,0.0,18,usa,usa-ger,2026,0.0,RD,3
91,KELLER Clayton,F,0.0,0.0,0.0,0.0,0.0,1.0,9:51,13.0,0.0,0.0,0.0,18,usa,usa-ger,2026,0.0,LW,3
10,MILLER JT,F,0.0,0.0,0.0,0.0,1.0,0.0,12:37,21.0,0.0,0.0,0.0,18,usa,usa-ger,2026,0.0,LW,4
15,HANIFIN Noah,D,0.0,1.0,1.0,0.0,0.0,0.0,12:28,15.0,0.0,0.0,0.0,18,usa,usa-ger,2026,0.0,LD,4
29,NELSON Brock,F,0.0,0.0,0.0,0.0,1.0,0.0,12:57,20.0,0.0,0.0,0.0,18,usa,usa-ger,2026,0.0,C,4
86,HUGHES Jack,F,0.0,0.0,0.0,0.0,3.0,0.0,11:19,16.0,0.0,0.0,0.0,18,usa,usa-ger,2026,0.0,RW,4
16,TROCHECK Vincent,F,0.0,0.0,0.0,0.0,1.0,0.0,9:12,18.0,0.0,0.0,0.0,18,usa,usa-ger,2026,0.0,LW,5
30,OETTINGER Jake,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18,usa,usa-ger,2026,0.0,GK,2
37,HELLEBUYCK Connor,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18,usa,usa-ger,2026,0.0,GK,1
30,OETTINGER Jake,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18,usa,usa-ger,2026,0.0,GK,2
37,HELLEBUYCK Connor,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,1.0,23.0,18,usa,usa-ger,2026,0.0,GK,1
29,DRAISAITL Leon,F,0.0,0.0,0.0,0.0,0.0,-1.0,19:54,22.0,0.0,0.0,0.0,18,ger,usa-ger,2026,0.0,C,1
38,WAGNER Fabio,D,0.0,0.0,0.0,0.0,1.0,-1.0,16:28,23.0,0.0,0.0,0.0,18,ger,usa-ger,2026,0.0,LD,1
44,SAMANSKI Joshua,F,0.0,0.0,0.0,0.0,0.0,0.0,17:52,21.0,0.0,0.0,0.0,18,ger,usa-ger,2026,0.0,LW,1
53,SEIDER Moritz,D,0.0,0.0,0.0,0.0,7.0,-1.0,26:20,28.0,0.0,0.0,0.0,18,ger,usa-ger,2026,0.0,RD,1
95,TIFFELS Frederik,F,0.0,0.0,0.0,0.0,1.0,-1.0,15:37,19.0,0.0,0.0,0.0,18,ger,usa-ger,2026,0.0,RW,1
6,WISSMANN Kai,D,0.0,0.0,0.0,2.0,3.0,-2.0,21:36,25.0,0.0,0.0,0.0,18,ger,usa-ger,2026,0.0,RD,2
18,STUTZLE Tim,F,1.0,0.0,1.0,0.0,3.0,-1.0,21:02,19.0,0.0,0.0,0.0,18,ger,usa-ger,2026,0.0,C,2
41,MULLER Jonas,D,0.0,0.0,0.0,0.0,1.0,-2.0,18:30,21.0,0.0,0.0,0.0,18,ger,usa-ger,2026,0.0,LD,2
73,REICHEL Lukas,F,0.0,0.0,0.0,0.0,1.0,-1.0,14:31,22.0,0.0,0.0,0.0,18,ger,usa-ger,2026,0.0,RW,2
77,PETERKA John,F,0.0,1.0,1.0,0.0,2.0,-1.0,19:11,19.0,0.0,0.0,0.0,18,ger,usa-ger,2026,0.0,LW,2
9,GAWANKE Leon,D,0.0,0.0,0.0,0.0,1.0,-1.0,11:29,16.0,0.0,0.0,0.0,18,ger,usa-ger,2026,0.0,RD,3
49,KALBLE Lukas,D,0.0,0.0,0.0,2.0,2.0,0.0,9:46,16.0,0.0,0.0,0.0,18,ger,usa-ger,2026,0.0,LD,3
62,TUOMIE Parker,F,0.0,0.0,0.0,0.0,0.0,0.0,13:11,16.0,0.0,0.0,0.0,18,ger,usa-ger,2026,0.0,LW,3
65,MICHAELIS Marc,F,0.0,0.0,0.0,0.0,0.0,0.0,13:28,17.0,0.0,0.0,0.0,18,ger,usa-ger,2026,0.0,C,3
72,KAHUN Dominik,F,0.0,0.0,0.0,0.0,0.0,-1.0,17:14,19.0,0.0,0.0,0.0,18,ger,usa-ger,2026,0.0,RW,3
8,RIEDER Tobias,F,0.0,0.0,0.0,0.0,0.0,-1.0,11:04,16.0,0.0,0.0,0.0,18,ger,usa-ger,2026,0.0,LW,4
40,EHL Alexander,F,0.0,0.0,0.0,0.0,1.0,-1.0,9:17,16.0,0.0,0.0,0.0,18,ger,usa-ger,2026,0.0,RW,4
78,STURM Nico,F,0.0,0.0,0.0,0.0,0.0,-1.0,9:52,17.0,0.0,0.0,0.0,18,ger,usa-ger,2026,0.0,C,4
91,MULLER Moritz,D,0.0,0.0,0.0,0.0,1.0,1.0,11:13,15.0,0.0,0.0,0.0,18,ger,usa-ger,2026,0.0,LD,4
