j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
3,LAROCQUE Jocelyne,D,0.0,0.0,0.0,2.0,0.0,-2.0,21:53,30.0,0.0,0.0,0.0,19,can,can-usa,2026,0.0,LD,1
14,FAST Renata,D,0.0,0.0,0.0,0.0,1.0,-1.0,24:26,29.0,0.0,0.0,0.0,19,can,can-usa,2026,0.0,RD,1
19,JENNER Brianne,F,0.0,0.0,0.0,0.0,2.0,-1.0,15:40,19.0,0.0,0.0,0.0,19,can,can-usa,2026,0.0,C,1
24,SPOONER Natalie,F,0.0,0.0,0.0,0.0,1.0,-1.0,15:53,19.0,0.0,0.0,0.0,19,can,can-usa,2026,0.0,RW,1
27,MALTAIS Emma,F,0.0,0.0,0.0,0.0,0.0,-1.0,14:32,22.0,0.0,0.0,0.0,19,can,can-usa,2026,0.0,LW,1
10,FILLIER Sarah,F,0.0,0.0,0.0,2.0,2.0,-2.0,14:30,19.0,0.0,0.0,0.0,19,can,can-usa,2026,0.0,RW,2
17,SHELTON Ella,D,0.0,0.0,0.0,0.0,0.0,-1.0,17:09,25.0,0.0,0.0,0.0,19,can,can-usa,2026,0.0,LD,2
20,NURSE Sarah,F,0.0,0.0,0.0,0.0,0.0,-2.0,16:40,21.0,0.0,0.0,0.0,19,can,can-usa,2026,0.0,C,2
23,AMBROSE Erin,D,0.0,0.0,0.0,0.0,1.0,-2.0,16:11,26.0,0.0,0.0,0.0,19,can,can-usa,2026,0.0,RD,2
95,WATTS Daryl,F,0.0,0.0,0.0,0.0,2.0,-3.0,15:41,19.0,0.0,0.0,0.0,19,can,can-usa,2026,0.0,LW,2
2,JAQUES Sophie,D,0.0,0.0,0.0,0.0,0.0,-1.0,17:56,21.0,0.0,0.0,0.0,19,can,can-usa,2026,0.0,RD,3
7,STACEY Laura,F,0.0,0.0,0.0,0.0,4.0,-1.0,15:51,21.0,0.0,0.0,0.0,19,can,can-usa,2026,0.0,RW,3
26,CLARK Emily,F,0.0,0.0,0.0,0.0,0.0,0.0,15:29,21.0,0.0,0.0,0.0,19,can,can-usa,2026,0.0,LW,3
40,TURNBULL Blayre,F,0.0,0.0,0.0,2.0,2.0,-1.0,17:13,22.0,0.0,0.0,0.0,19,can,can-usa,2026,0.0,C,3
42,THOMPSON Claire,D,0.0,0.0,0.0,0.0,1.0,-1.0,14:32,18.0,0.0,0.0,0.0,19,can,can-usa,2026,0.0,LD,3
4,TABIN Kati,D,0.0,0.0,0.0,0.0,1.0,0.0,8:17,14.0,0.0,0.0,0.0,19,can,can-usa,2026,0.0,LD,4
43,O'NEILL Kristin,F,0.0,0.0,0.0,2.0,2.0,0.0,10:41,18.0,0.0,0.0,0.0,19,can,can-usa,2026,0.0,C,4
88,GOSLING Julia,F,0.0,0.0,0.0,0.0,1.0,0.0,10:52,14.0,0.0,0.0,0.0,19,can,can-usa,2026,0.0,LW,4
94,GARDINER Jennifer,F,0.0,0.0,0.0,0.0,0.0,0.0,6:18,8.0,0.0,0.0,0.0,19,can,can-usa,2026,0.0,RW,4
35,DESBIENS Ann-Renee,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19,can,can-usa,2026,0.0,GK,1
38,MASCHMEYER Emerance,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19,can,can-usa,2026,0.0,GK,2
