j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
29,DRAISAITL Leon,F,1.0,2.0,3.0,0.0,4.0,2.0,24:07,24.0,0.0,0.0,0.0,19,ger,ger-fra,2026,0.0,C,1
38,WAGNER Fabio,D,0.0,0.0,0.0,0.0,3.0,1.0,19:19,26.0,0.0,0.0,0.0,19,ger,ger-fra,2026,0.0,LD,1
53,SEIDER Moritz,D,0.0,1.0,1.0,0.0,2.0,1.0,23:15,28.0,0.0,0.0,0.0,19,ger,ger-fra,2026,0.0,RD,1
73,REICHEL Lukas,F,0.0,0.0,0.0,0.0,3.0,0.0,15:17,20.0,0.0,0.0,0.0,19,ger,ger-fra,2026,0.0,LW,1
95,TIFFELS Frederik,F,1.0,0.0,1.0,0.0,3.0,0.0,15:45,19.0,0.0,0.0,0.0,19,ger,ger-fra,2026,1.0,RW,1
6,WISSMANN Kai,D,0.0,0.0,0.0,0.0,2.0,0.0,19:44,24.0,0.0,0.0,0.0,19,ger,ger-fra,2026,0.0,RD,2
18,STUTZLE Tim,F,0.0,2.0,2.0,0.0,3.0,1.0,23:03,20.0,0.0,0.0,0.0,19,ger,ger-fra,2026,0.0,C,2
41,MULLER Jonas,D,0.0,0.0,0.0,0.0,0.0,0.0,18:32,23.0,0.0,0.0,0.0,19,ger,ger-fra,2026,0.0,LD,2
44,SAMANSKI Joshua,F,1.0,1.0,2.0,0.0,2.0,0.0,14:02,14.0,0.0,0.0,0.0,19,ger,ger-fra,2026,0.0,LW,2
77,PETERKA John,F,1.0,0.0,1.0,2.0,4.0,1.0,21:09,20.0,0.0,0.0,0.0,19,ger,ger-fra,2026,0.0,RW,2
9,GAWANKE Leon,D,0.0,0.0,0.0,0.0,1.0,0.0,10:17,15.0,0.0,0.0,0.0,19,ger,ger-fra,2026,0.0,RD,3
49,KALBLE Lukas,D,0.0,0.0,0.0,0.0,1.0,1.0,12:21,19.0,0.0,0.0,0.0,19,ger,ger-fra,2026,0.0,LD,3
62,TUOMIE Parker,F,0.0,0.0,0.0,0.0,1.0,0.0,12:11,17.0,0.0,0.0,0.0,19,ger,ger-fra,2026,0.0,LW,3
65,MICHAELIS Marc,F,0.0,0.0,0.0,2.0,1.0,0.0,12:49,19.0,0.0,0.0,0.0,19,ger,ger-fra,2026,0.0,RW,3
72,KAHUN Dominik,F,0.0,0.0,0.0,0.0,1.0,0.0,13:05,17.0,0.0,0.0,0.0,19,ger,ger-fra,2026,0.0,C,3
8,RIEDER Tobias,F,0.0,1.0,1.0,0.0,1.0,1.0,10:26,16.0,0.0,0.0,0.0,19,ger,ger-fra,2026,0.0,LW,4
40,EHL Alexander,F,0.0,0.0,0.0,0.0,1.0,0.0,8:09,14.0,0.0,0.0,0.0,19,ger,ger-fra,2026,0.0,RW,4
78,STURM Nico,F,1.0,0.0,1.0,0.0,2.0,1.0,9:11,15.0,0.0,0.0,0.0,19,ger,ger-fra,2026,0.0,C,4
91,MULLER Moritz,D,0.0,0.0,0.0,0.0,1.0,1.0,13:37,20.0,0.0,0.0,0.0,19,ger,ger-fra,2026,0.0,LD,4
74,SCHUTZ Justin,F,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,19,ger,ger-fra,2026,0.0,LW,5
30,GRUBAUER Philipp,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19,ger,ger-fra,2026,0.0,GK,1
37,FRANZREB Maximilian,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19,ger,ger-fra,2026,0.0,GK,2
30,GRUBAUER Philipp,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,31.0,1.0,30.0,19,ger,ger-fra,2026,0.0,GK,1
37,FRANZREB Maximilian,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19,ger,ger-fra,2026,0.0,GK,2
5,GUEBEY Enzo,D,0.0,0.0,0.0,0.0,2.0,0.0,17:49,23.0,0.0,0.0,0.0,19,fra,ger-fra,2026,0.0,RD,1
14,da COSTA Stephane,F,0.0,0.0,0.0,0.0,2.0,-1.0,19:56,25.0,0.0,0.0,0.0,19,fra,ger-fra,2026,0.0,LW,1
18,AUVITU Yohann,D,0.0,0.0,0.0,0.0,4.0,-1.0,22:12,28.0,0.0,0.0,0.0,19,fra,ger-fra,2026,0.0,LD,1
41,BELLEMARE Pierre-Edouard,F,1.0,0.0,1.0,0.0,3.0,-1.0,20:41,25.0,0.0,0.0,0.0,19,fra,ger-fra,2026,0.0,C,1
72,PERRET Jordann,F,0.0,1.0,1.0,0.0,1.0,-1.0,19:42,28.0,0.0,0.0,0.0,19,fra,ger-fra,2026,0.0,RW,1
8,GALLET Hugo,D,0.0,0.0,0.0,2.0,0.0,0.0,20:42,26.0,0.0,0.0,0.0,19,fra,ger-fra,2026,0.0,RD,2
27,BOSCQ Jules,D,0.0,0.0,0.0,0.0,2.0,0.0,21:32,25.0,0.0,0.0,0.0,19,fra,ger-fra,2026,0.0,LD,2
29,BOUDON Louis,F,0.0,0.0,0.0,0.0,1.0,-1.0,17:30,22.0,0.0,0.0,0.0,19,fra,ger-fra,2026,0.0,C,2
78,FABRE Dylan,F,0.0,0.0,0.0,0.0,3.0,-1.0,16:50,22.0,0.0,0.0,0.0,19,fra,ger-fra,2026,0.0,RW,2
85,TEXIER Alexandre,F,0.0,0.0,0.0,0.0,4.0,-2.0,20:09,25.0,0.0,0.0,0.0,19,fra,ger-fra,2026,0.0,LW,2
19,CANTAGALLO Enzo,D,0.0,0.0,0.0,0.0,0.0,-1.0,4:03,6.0,0.0,0.0,0.0,19,fra,ger-fra,2026,0.0,RD,3
24,ADDAMO Justin,F,0.0,0.0,0.0,0.0,3.0,0.0,14:32,21.0,0.0,0.0,0.0,19,fra,ger-fra,2026,0.0,C,3
62,CHAKIACHVILI Florian,D,0.0,0.0,0.0,0.0,1.0,-1.0,15:26,21.0,0.0,0.0,0.0,19,fra,ger-fra,2026,0.0,LD,3
77,TREILLE Sacha,F,0.0,0.0,0.0,0.0,2.0,0.0,15:49,20.0,0.0,0.0,0.0,19,fra,ger-fra,2026,0.0,RW,3
91,DOUAY Floran,F,0.0,0.0,0.0,2.0,0.0,0.0,9:23,14.0,0.0,0.0,0.0,19,fra,ger-fra,2026,0.0,LW,3
3,BERTRAND Charles,F,0.0,0.0,0.0,0.0,1.0,-1.0,11:13,17.0,0.0,0.0,0.0,19,fra,ger-fra,2026,0.0,RW,4
25,RITZ Nicolas,F,0.0,0.0,0.0,2.0,1.0,0.0,7:25,12.0,0.0,0.0,0.0,19,fra,ger-fra,2026,0.0,C,4
74,THIRY Thomas,D,0.0,0.0,0.0,0.0,0.0,0.0,13:17,20.0,0.0,0.0,0.0,19,fra,ger-fra,2026,0.0,LD,4
81,RECH Anthony,F,0.0,0.0,0.0,0.0,0.0,0.0,1:29,3.0,0.0,0.0,0.0,19,fra,ger-fra,2026,0.0,LW,4
95,BOZON Kevin,F,0.0,0.0,0.0,0.0,1.0,0.0,8:48,14.0,0.0,0.0,0.0,19,fra,ger-fra,2026,0.0,LW,5
30,KELLER Antoine,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19,fra,ger-fra,2026,0.0,GK,2
33,JUNCA Julian,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19,fra,ger-fra,2026,0.0,GK,1
30,KELLER Antoine,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,22.0,1.0,21.0,19,fra,ger-fra,2026,0.0,GK,2
33,JUNCA Julian,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.0,3.0,10.0,19,fra,ger-fra,2026,0.0,GK,1
