j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
10,ABATANGELO Aurora,F,0.0,0.0,0.0,0.0,1.0,1.0,21:52,28.0,0.0,0.0,0.0,2,ita,ita-fra,2026,0.0,RW,1
11,REYES Justine,F,0.0,0.0,0.0,0.0,6.0,1.0,24:31,28.0,0.0,0.0,0.0,2,ita,ita-fra,2026,0.0,LW,1
17,FANTIN Matilde,F,1.0,0.0,1.0,0.0,4.0,1.0,25:51,30.0,0.0,0.0,0.0,2,ita,ita-fra,2026,0.0,C,1
18,STOCKER Franziska,D,0.0,0.0,0.0,2.0,3.0,1.0,18:51,32.0,0.0,0.0,0.0,2,ita,ita-fra,2026,0.0,RD,1
93,MATTIVI Nadia,D,0.0,1.0,1.0,0.0,4.0,2.0,20:38,30.0,0.0,0.0,0.0,2,ita,ita-fra,2026,0.0,LD,1
8,CAUMO Anna,F,0.0,1.0,1.0,0.0,1.0,2.0,15:08,22.0,0.0,0.0,0.0,2,ita,ita-fra,2026,0.0,RW,2
12,ROCCELLA Rebecca,F,1.0,0.0,1.0,0.0,6.0,1.0,11:05,22.0,0.0,0.0,0.0,2,ita,ita-fra,2026,1.0,LW,2
13,LOBIS Laura,D,0.0,1.0,1.0,0.0,2.0,3.0,18:23,28.0,0.0,0.0,0.0,2,ita,ita-fra,2026,0.0,LD,2
19,DELLA ROVERE Kristin,F,1.0,1.0,2.0,2.0,12.0,2.0,16:53,22.0,0.0,0.0,0.0,2,ita,ita-fra,2026,0.0,C,2
77,FORTINO Laura,D,0.0,0.0,0.0,0.0,1.0,3.0,22:44,30.0,0.0,0.0,0.0,2,ita,ita-fra,2026,0.0,RD,2
2,VARANO Amie,D,0.0,0.0,0.0,0.0,0.0,0.0,16:10,24.0,0.0,0.0,0.0,2,ita,ita-fra,2026,0.0,RD,3
3,HEIDENBERGER Manuela,F,0.0,0.0,0.0,2.0,0.0,1.0,11:39,17.0,0.0,0.0,0.0,2,ita,ita-fra,2026,0.0,LW,3
21,MAZZOCCHI Marta,F,0.0,0.0,0.0,0.0,0.0,0.0,11:39,19.0,0.0,0.0,0.0,2,ita,ita-fra,2026,0.0,RW,3
27,GUERRIERO Kristen,D,0.0,0.0,0.0,0.0,0.0,0.0,7:44,9.0,0.0,0.0,0.0,2,ita,ita-fra,2026,0.0,LD,3
82,TUTINO Kayla,F,1.0,0.0,1.0,0.0,5.0,1.0,14:38,22.0,0.0,0.0,0.0,2,ita,ita-fra,2026,0.0,C,3
14,BONAFINI Eleonora,F,0.0,0.0,0.0,0.0,1.0,0.0,4:06,9.0,0.0,0.0,0.0,2,ita,ita-fra,2026,0.0,RW,4
15,NICCOLAI Greta,F,0.0,0.0,0.0,0.0,0.0,0.0,2:06,4.0,0.0,0.0,0.0,2,ita,ita-fra,2026,0.0,C,4
22,KANEPPELE Sara,F,0.0,0.0,0.0,0.0,0.0,0.0,8:03,11.0,0.0,0.0,0.0,2,ita,ita-fra,2026,0.0,LW,4
55,PIERRI Jacquie,D,0.0,0.0,0.0,0.0,0.0,0.0,9:53,16.0,0.0,0.0,0.0,2,ita,ita-fra,2026,0.0,LD,4
4,SALETTA Carola,F,0.0,0.0,0.0,0.0,0.0,1.0,6:05,9.0,0.0,0.0,0.0,2,ita,ita-fra,2026,0.0,LW,5
1,DURANTE Gabriella,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,ita,ita-fra,2026,0.0,GK,2
25,FEDEL Martina,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,ita,ita-fra,2026,0.0,GK,1
1,DURANTE Gabriella,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,ita,ita-fra,2026,0.0,GK,2
25,FEDEL Martina,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,15.0,1.0,14.0,2,ita,ita-fra,2026,0.0,GK,1
6,HUOT-MARCHAND Margot,F,0.0,0.0,0.0,0.0,1.0,0.0,21:40,27.0,0.0,0.0,0.0,2,fra,ita-fra,2026,0.0,RW,1
10,LECLERC Sophie,D,0.0,0.0,0.0,0.0,2.0,-1.0,15:26,23.0,0.0,0.0,0.0,2,fra,ita-fra,2026,0.0,LD,1
12,DUVIN Estelle,F,0.0,0.0,0.0,0.0,3.0,-2.0,22:26,26.0,0.0,0.0,0.0,2,fra,ita-fra,2026,0.0,C,1
16,ROZIER Clara,F,0.0,1.0,1.0,2.0,0.0,-2.0,20:33,25.0,0.0,0.0,0.0,2,fra,ita-fra,2026,0.0,LW,1
91,ZILLIOX Elina,D,0.0,0.0,0.0,0.0,1.0,-1.0,20:04,25.0,0.0,0.0,0.0,2,fra,ita-fra,2026,0.0,RD,1
7,QUARTO Lucie,D,0.0,0.0,0.0,0.0,0.0,-1.0,17:04,24.0,0.0,0.0,0.0,2,fra,ita-fra,2026,0.0,LD,2
8,BARBIRATI Jade,F,0.0,0.0,0.0,2.0,1.0,0.0,18:57,22.0,0.0,0.0,0.0,2,fra,ita-fra,2026,0.0,C,2
11,VILLIOT Lea,D,0.0,0.0,0.0,0.0,0.0,-1.0,15:49,22.0,0.0,0.0,0.0,2,fra,ita-fra,2026,0.0,RD,2
17,AURARD-BUSHEE Chloe,F,0.0,0.0,0.0,2.0,2.0,-3.0,18:01,27.0,0.0,0.0,0.0,2,fra,ita-fra,2026,0.0,LW,2
22,le SCODAN Manon,F,0.0,0.0,0.0,0.0,1.0,0.0,21:52,26.0,0.0,0.0,0.0,2,fra,ita-fra,2026,0.0,RW,2
5,de SERRES Gabrielle,D,1.0,0.0,1.0,0.0,1.0,-2.0,23:44,26.0,0.0,0.0,0.0,2,fra,ita-fra,2026,0.0,RD,3
13,PELISSOU Marie-Pierre,D,0.0,0.0,0.0,0.0,0.0,-2.0,22:35,24.0,0.0,0.0,0.0,2,fra,ita-fra,2026,0.0,LD,3
19,BAUDRIT Lore,F,0.0,0.0,0.0,0.0,0.0,-2.0,17:33,23.0,0.0,0.0,0.0,2,fra,ita-fra,2026,0.0,C,3
44,PEYNE--DINGIVAL Anais,F,0.0,0.0,0.0,0.0,0.0,-2.0,8:36,13.0,0.0,0.0,0.0,2,fra,ita-fra,2026,0.0,RW,3
85,BOUDIN Clemence,F,0.0,0.0,0.0,0.0,2.0,-1.0,14:16,20.0,0.0,0.0,0.0,2,fra,ita-fra,2026,0.0,LW,3
21,MESPLEDE Julia,F,0.0,0.0,0.0,0.0,1.0,0.0,10:49,18.0,0.0,0.0,0.0,2,fra,ita-fra,2026,0.0,C,4
24,NONNENMACHER Emma,F,0.0,0.0,0.0,0.0,0.0,0.0,1:54,4.0,0.0,0.0,0.0,2,fra,ita-fra,2026,0.0,LW,4
29,BERGER Lea,D,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,2,fra,ita-fra,2026,0.0,LD,4
55,GALBRUN Sehana,F,0.0,0.0,0.0,0.0,0.0,0.0,1:38,4.0,0.0,0.0,0.0,2,fra,ita-fra,2026,0.0,RW,4
18,SIMON Anae,F,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,2,fra,ita-fra,2026,0.0,LW,5
1,MAMERI Margaux,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,fra,ita-fra,2026,0.0,GK,2
32,PHILBERT Alice,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,fra,ita-fra,2026,0.0,GK,1
1,MAMERI Margaux,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,fra,ita-fra,2026,0.0,GK,2
32,PHILBERT Alice,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,46.0,4.0,42.0,2,fra,ita-fra,2026,0.0,GK,1
