j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
6,BROBERG Philip,D,0.0,0.0,0.0,0.0,2.0,0.0,18:02,24.0,0.0,0.0,0.0,2,swe,swe-ita,2026,0.0,LD,1
14,ERIKSSON EK Joel,F,0.0,0.0,0.0,0.0,9.0,0.0,17:00,23.0,0.0,0.0,0.0,2,swe,swe-ita,2026,0.0,C,1
19,KEMPE Adrian,F,0.0,1.0,1.0,0.0,5.0,0.0,16:13,22.0,0.0,0.0,0.0,2,swe,swe-ita,2026,0.0,LW,1
65,KARLSSON Erik,D,0.0,1.0,1.0,0.0,4.0,-1.0,20:56,28.0,0.0,0.0,0.0,2,swe,swe-ita,2026,0.0,RD,1
88,NYLANDER William,F,1.0,0.0,1.0,0.0,5.0,0.0,16:27,21.0,0.0,0.0,0.0,2,swe,swe-ita,2026,1.0,RW,1
23,RAYMOND Lucas,F,0.0,0.0,0.0,0.0,3.0,0.0,15:25,18.0,0.0,0.0,0.0,2,swe,swe-ita,2026,0.0,RW,2
26,DAHLIN Rasmus,D,0.0,3.0,3.0,0.0,5.0,1.0,19:52,24.0,0.0,0.0,0.0,2,swe,swe-ita,2026,0.0,RD,2
28,LINDHOLM Elias,F,0.0,0.0,0.0,0.0,0.0,0.0,15:12,19.0,0.0,0.0,0.0,2,swe,swe-ita,2026,0.0,C,2
42,FORSLING Gustav,D,1.0,1.0,2.0,0.0,5.0,3.0,18:53,24.0,0.0,0.0,0.0,2,swe,swe-ita,2026,0.0,LD,2
63,BRATT Jesper,F,0.0,1.0,1.0,0.0,3.0,0.0,16:36,20.0,0.0,0.0,0.0,2,swe,swe-ita,2026,0.0,LW,2
4,ANDERSSON Rasmus,D,0.0,0.0,0.0,0.0,2.0,0.0,19:05,25.0,0.0,0.0,0.0,2,swe,swe-ita,2026,0.0,RD,3
40,PETTERSSON Elias,F,0.0,0.0,0.0,0.0,1.0,2.0,13:22,18.0,0.0,0.0,0.0,2,swe,swe-ita,2026,0.0,C,3
67,RAKELL Rickard,F,0.0,1.0,1.0,0.0,4.0,2.0,13:17,17.0,0.0,0.0,0.0,2,swe,swe-ita,2026,0.0,LW,3
77,HEDMAN Victor,D,1.0,0.0,1.0,0.0,4.0,1.0,21:12,27.0,0.0,0.0,0.0,2,swe,swe-ita,2026,0.0,LD,3
93,ZIBANEJAD Mika,F,1.0,1.0,2.0,0.0,4.0,2.0,13:43,18.0,0.0,0.0,0.0,2,swe,swe-ita,2026,0.0,RW,3
3,EKMAN-LARSSON Oliver,D,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,2,swe,swe-ita,2026,0.0,LD,4
10,WENNBERG Alexander,F,0.0,0.0,0.0,0.0,0.0,0.0,14:04,18.0,0.0,0.0,0.0,2,swe,swe-ita,2026,0.0,C,4
29,HOLMBERG Pontus,F,0.0,0.0,0.0,2.0,0.0,0.0,14:30,20.0,0.0,0.0,0.0,2,swe,swe-ita,2026,0.0,LW,4
92,LANDESKOG Gabriel,F,1.0,0.0,1.0,0.0,4.0,0.0,13:25,19.0,0.0,0.0,0.0,2,swe,swe-ita,2026,0.0,RW,4
9,FORSBERG Filip,F,0.0,0.0,0.0,0.0,0.0,0.0,1:07,1.0,0.0,0.0,0.0,2,swe,swe-ita,2026,0.0,LW,5
25,MARKSTROM Jacob,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,swe,swe-ita,2026,0.0,GK,2
32,GUSTAVSSON Filip,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,swe,swe-ita,2026,0.0,GK,1
25,MARKSTROM Jacob,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,swe,swe-ita,2026,0.0,GK,2
32,GUSTAVSSON Filip,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,22.0,2.0,20.0,2,swe,swe-ita,2026,0.0,GK,1
10,GAZLEY Dustin,F,0.0,1.0,1.0,2.0,0.0,-1.0,16:19,21.0,0.0,0.0,0.0,2,ita,swe-ita,2026,0.0,RW,1
13,BRADLEY Matt,F,1.0,0.0,1.0,0.0,4.0,-1.0,16:26,21.0,0.0,0.0,0.0,2,ita,swe-ita,2026,0.0,C,1
27,LARKIN Thomas,D,0.0,1.0,1.0,0.0,1.0,0.0,15:42,20.0,0.0,0.0,0.0,2,ita,swe-ita,2026,0.0,RD,1
36,DIGIACINTO Cristiano,F,0.0,0.0,0.0,0.0,1.0,-1.0,16:54,21.0,0.0,0.0,0.0,2,ita,swe-ita,2026,0.0,LW,1
53,TRIVELLATO Alex,D,0.0,0.0,0.0,0.0,1.0,0.0,16:05,21.0,0.0,0.0,0.0,2,ita,swe-ita,2026,0.0,LD,1
7,SEGAFREDO Alessandro,F,0.0,0.0,0.0,0.0,3.0,-1.0,16:35,20.0,0.0,0.0,0.0,2,ita,swe-ita,2026,0.0,LW,2
19,PETAN Alex,F,0.0,0.0,0.0,0.0,1.0,0.0,16:25,20.0,0.0,0.0,0.0,2,ita,swe-ita,2026,0.0,RW,2
37,PIETRONIRO Phil,D,0.0,0.0,0.0,0.0,2.0,-1.0,14:28,19.0,0.0,0.0,0.0,2,ita,swe-ita,2026,0.0,RD,2
55,ZANATTA Luca,D,0.0,0.0,0.0,0.0,1.0,2.0,14:59,20.0,0.0,0.0,0.0,2,ita,swe-ita,2026,0.0,LD,2
67,FRYCKLUND Mats,F,0.0,0.0,0.0,0.0,0.0,0.0,17:50,20.0,0.0,0.0,0.0,2,ita,swe-ita,2026,0.0,C,2
9,MANTENUTO Daniel,F,0.0,0.0,0.0,0.0,1.0,0.0,13:39,18.0,0.0,0.0,0.0,2,ita,swe-ita,2026,0.0,C,3
21,GLIRA Daniel,D,0.0,0.0,0.0,0.0,0.0,0.0,14:29,19.0,0.0,0.0,0.0,2,ita,swe-ita,2026,0.0,LD,3
