j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
7,RANTALA Sanni,D,0.0,0.0,0.0,0.0,2.0,1.0,17:40,25.0,0.0,0.0,0.0,20,fin,fin-sui,2026,0.0,LD,1
9,LAITINEN Nelli,D,0.0,0.0,0.0,0.0,1.0,1.0,19:07,25.0,0.0,0.0,0.0,20,fin,fin-sui,2026,0.0,RD,1
16,NIEMINEN Petra,F,0.0,1.0,1.0,2.0,2.0,-1.0,17:39,23.0,0.0,0.0,0.0,20,fin,fin-sui,2026,0.0,C,1
19,KUOPPALA Ida,F,0.0,0.0,0.0,0.0,1.0,0.0,12:45,19.0,0.0,0.0,0.0,20,fin,fin-sui,2026,0.0,RW,1
33,KARVINEN Michelle,F,0.0,1.0,1.0,0.0,4.0,0.0,17:57,22.0,0.0,0.0,0.0,20,fin,fin-sui,2026,0.0,LW,1
8,SUORANTA Elli,D,0.0,0.0,0.0,0.0,1.0,0.0,15:42,19.0,0.0,0.0,0.0,20,fin,fin-sui,2026,0.0,LD,2
24,VAINIKKA Viivi,F,1.0,0.0,1.0,0.0,6.0,-1.0,16:01,21.0,0.0,0.0,0.0,20,fin,fin-sui,2026,0.0,LW,2
40,TULUS Noora,F,0.0,0.0,0.0,0.0,2.0,-1.0,16:31,21.0,0.0,0.0,0.0,20,fin,fin-sui,2026,0.0,C,2
61,NUUTINEN Emma,F,0.0,0.0,0.0,0.0,0.0,-1.0,14:36,21.0,0.0,0.0,0.0,20,fin,fin-sui,2026,0.0,RW,2
88,SAVOLAINEN Ronja,D,0.0,0.0,0.0,0.0,1.0,0.0,20:43,26.0,0.0,0.0,0.0,20,fin,fin-sui,2026,0.0,RD,2
2,KARJALAINEN Sini,D,0.0,0.0,0.0,0.0,0.0,0.0,13:12,19.0,0.0,0.0,0.0,20,fin,fin-sui,2026,0.0,RD,3
6,HIIRIKOSKI Jenni,D,0.0,0.0,0.0,0.0,1.0,-1.0,19:43,24.0,0.0,0.0,0.0,20,fin,fin-sui,2026,0.0,LD,3
10,HOLOPAINEN Elisa,F,0.0,0.0,0.0,0.0,3.0,0.0,16:58,22.0,0.0,0.0,0.0,20,fin,fin-sui,2026,0.0,RW,3
