j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
13,HISCHIER Nico,F,1.0,2.0,3.0,0.0,7.0,1.0,18:27,22.0,0.0,0.0,0.0,20,sui,sui-ita,2026,0.0,C,1
23,KURASHEV Philipp,F,1.0,0.0,1.0,2.0,3.0,1.0,15:49,17.0,0.0,0.0,0.0,20,sui,sui-ita,2026,1.0,LW,1
28,MEIER Timo,F,0.0,2.0,2.0,0.0,1.0,1.0,17:14,20.0,0.0,0.0,0.0,20,sui,sui-ita,2026,0.0,RW,1
86,MOSER Janis,D,0.0,0.0,0.0,2.0,2.0,1.0,17:38,21.0,0.0,0.0,0.0,20,sui,sui-ita,2026,0.0,RD,1
90,JOSI Roman,D,1.0,0.0,1.0,0.0,7.0,1.0,19:48,21.0,0.0,0.0,0.0,20,sui,sui-ita,2026,0.0,LD,1
14,KUKAN Dean,D,0.0,0.0,0.0,0.0,1.0,0.0,16:51,21.0,0.0,0.0,0.0,20,sui,sui-ita,2026,0.0,RD,2
22,NIEDERREITER Nino,F,0.0,0.0,0.0,0.0,5.0,0.0,17:02,22.0,0.0,0.0,0.0,20,sui,sui-ita,2026,0.0,RW,2
44,SUTER Pius,F,0.0,0.0,0.0,0.0,2.0,0.0,17:48,25.0,0.0,0.0,0.0,20,sui,sui-ita,2026,0.0,C,2
71,SIEGENTHALER Jonas,D,0.0,0.0,0.0,0.0,0.0,0.0,17:28,22.0,0.0,0.0,0.0,20,sui,sui-ita,2026,0.0,LD,2
85,ANDRIGHETTO Sven,F,0.0,1.0,1.0,0.0,3.0,0.0,16:37,20.0,0.0,0.0,0.0,20,sui,sui-ita,2026,0.0,LW,2
45,FORA Michael,D,0.0,0.0,0.0,0.0,2.0,0.0,13:33,18.0,0.0,0.0,0.0,20,sui,sui-ita,2026,0.0,RD,3
54,MARTI Christian,D,0.0,0.0,0.0,0.0,2.0,0.0,15:04,19.0,0.0,0.0,0.0,20,sui,sui-ita,2026,0.0,LD,3
73,SCHMID Sandro,F,0.0,0.0,0.0,0.0,4.0,0.0,13:12,20.0,0.0,0.0,0.0,20,sui,sui-ita,2026,0.0,LW,3
79,THURKAUF Calvin,F,0.0,0.0,0.0,0.0,1.0,0.0,13:42,18.0,0.0,0.0,0.0,20,sui,sui-ita,2026,0.0,C,3
88,BERTSCHY Christoph,F,0.0,0.0,0.0,0.0,2.0,0.0,13:47,18.0,0.0,0.0,0.0,20,sui,sui-ita,2026,0.0,RW,3
8,KNAK Simon,F,0.0,0.0,0.0,2.0,0.0,0.0,10:50,17.0,0.0,0.0,0.0,20,sui,sui-ita,2026,0.0,LW,4
9,RIAT Damien,F,0.0,1.0,1.0,0.0,4.0,0.0,13:25,22.0,0.0,0.0,0.0,20,sui,sui-ita,2026,0.0,RW,4
17,JAGER Ken,F,0.0,0.0,0.0,0.0,3.0,0.0,14:24,22.0,0.0,0.0,0.0,20,sui,sui-ita,2026,0.0,C,4
43,GLAUSER Andrea,D,0.0,0.0,0.0,0.0,2.0,0.0,10:57,16.0,0.0,0.0,0.0,20,sui,sui-ita,2026,0.0,RD,4
56,BERNI Tim,D,0.0,0.0,0.0,0.0,0.0,0.0,2:24,4.0,0.0,0.0,0.0,20,sui,sui-ita,2026,0.0,LD,4
20,BERRA Reto,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,20,sui,sui-ita,2026,0.0,GK,2
63,GENONI Leonardo,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,20,sui,sui-ita,2026,0.0,GK,1
20,BERRA Reto,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,20,sui,sui-ita,2026,0.0,GK,2
63,GENONI Leonardo,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,20.0,0.0,20.0,20,sui,sui-ita,2026,0.0,GK,1
10,GAZLEY Dustin,F,0.0,0.0,0.0,0.0,0.0,0.0,19:46,22.0,0.0,0.0,0.0,20,ita,sui-ita,2026,0.0,RW,1
13,BRADLEY Matt,F,0.0,0.0,0.0,0.0,0.0,0.0,4:35,5.0,0.0,0.0,0.0,20,ita,sui-ita,2026,0.0,C,1
36,DIGIACINTO Cristiano,F,0.0,0.0,0.0,0.0,2.0,0.0,17:09,19.0,0.0,0.0,0.0,20,ita,sui-ita,2026,0.0,LW,1
37,PIETRONIRO Phil,D,0.0,0.0,0.0,0.0,1.0,0.0,14:48,18.0,0.0,0.0,0.0,20,ita,sui-ita,2026,0.0,RD,1
55,ZANATTA Luca,D,0.0,0.0,0.0,0.0,0.0,0.0,19:40,26.0,0.0,0.0,0.0,20,ita,sui-ita,2026,0.0,LD,1
18,SARACINO Nicholas,F,0.0,0.0,0.0,0.0,0.0,-1.0,17:50,21.0,0.0,0.0,0.0,20,ita,sui-ita,2026,0.0,LW,2
27,LARKIN Thomas,D,0.0,0.0,0.0,4.0,1.0,-1.0,18:57,23.0,0.0,0.0,0.0,20,ita,sui-ita,2026,0.0,RD,2
53,TRIVELLATO Alex,D,0.0,0.0,0.0,0.0,2.0,-1.0,17:49,25.0,0.0,0.0,0.0,20,ita,sui-ita,2026,0.0,LD,2
67,FRYCKLUND Mats,F,0.0,0.0,0.0,4.0,2.0,-1.0,18:25,21.0,0.0,0.0,0.0,20,ita,sui-ita,2026,0.0,C,2
88,de LUCA Tommaso,F,0.0,0.0,0.0,0.0,3.0,-1.0,16:05,19.0,0.0,0.0,0.0,20,ita,sui-ita,2026,0.0,RW,2
9,MANTENUTO Daniel,F,0.0,0.0,0.0,2.0,2.0,0.0,12:39,21.0,0.0,0.0,0.0,20,ita,sui-ita,2026,0.0,C,3
19,PETAN Alex,F,0.0,0.0,0.0,0.0,0.0,0.0,13:10,17.0,0.0,0.0,0.0,20,ita,sui-ita,2026,0.0,RW,3
21,GLIRA Daniel,D,0.0,0.0,0.0,0.0,1.0,0.0,13:31,19.0,0.0,0.0,0.0,20,ita,sui-ita,2026,0.0,LD,3
77,di TOMASO Gregory,D,0.0,0.0,0.0,2.0,1.0,0.0,14:27,19.0,0.0,0.0,0.0,20,ita,sui-ita,2026,0.0,RD,3
93,FRIGO Luca,F,0.0,0.0,0.0,0.0,1.0,0.0,12:05,21.0,0.0,0.0,0.0,20,ita,sui-ita,2026,0.0,LW,3
6,SEED Jason,D,0.0,0.0,0.0,0.0,0.0,0.0,15:53,21.0,0.0,0.0,0.0,20,ita,sui-ita,2026,0.0,RD,4
7,SEGAFREDO Alessandro,F,0.0,0.0,0.0,0.0,0.0,0.0,11:37,16.0,0.0,0.0,0.0,20,ita,sui-ita,2026,0.0,LW,4
11,ZANETTI Marco,F,0.0,0.0,0.0,0.0,3.0,0.0,10:27,15.0,0.0,0.0,0.0,20,ita,sui-ita,2026,0.0,RW,4
23,MORINI Giovanni,F,0.0,0.0,0.0,0.0,1.0,0.0,13:24,22.0,0.0,0.0,0.0,20,ita,sui-ita,2026,0.0,C,4
90,di PERNA Dylan,D,0.0,0.0,0.0,0.0,0.0,0.0,11:28,16.0,0.0,0.0,0.0,20,ita,sui-ita,2026,0.0,LD,4
20,CLARA Damian,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,20,ita,sui-ita,2026,0.0,GK,1
35,FADANI Davide,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,20,ita,sui-ita,2026,0.0,GK,2
