j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
14,CHLAPIK Filip,F,0.0,0.0,0.0,0.0,2.0,1.0,10:51,18.0,0.0,0.0,0.0,21,cze,cze-den,2026,0.0,LW,1
17,HRONEK Filip,D,0.0,1.0,1.0,0.0,0.0,0.0,27:53,34.0,0.0,0.0,0.0,21,cze,cze-den,2026,0.0,RD,1
51,SIMEK Radim,D,0.0,0.0,0.0,0.0,2.0,0.0,19:57,30.0,0.0,0.0,0.0,21,cze,cze-den,2026,0.0,LD,1
64,KAMPF David,F,1.0,0.0,1.0,0.0,1.0,1.0,15:08,24.0,0.0,0.0,0.0,21,cze,cze-den,2026,0.0,C,1
98,NECAS Martin,F,1.0,1.0,2.0,0.0,5.0,1.0,15:18,19.0,0.0,0.0,0.0,21,cze,cze-den,2026,0.0,RW,1
3,GUDAS Radko,D,0.0,0.0,0.0,2.0,2.0,0.0,16:16,25.0,0.0,0.0,0.0,21,cze,cze-den,2026,0.0,RD,2
6,KEMPNY Michal,D,0.0,0.0,0.0,0.0,1.0,0.0,22:15,30.0,0.0,0.0,0.0,21,cze,cze-den,2026,0.0,LD,2
10,CERVENKA Roman,F,1.0,1.0,2.0,0.0,2.0,0.0,19:01,20.0,0.0,0.0,0.0,21,cze,cze-den,2026,1.0,LW,2
23,SEDLAK Lukas,F,0.0,0.0,0.0,0.0,0.0,0.0,20:00,24.0,0.0,0.0,0.0,21,cze,cze-den,2026,0.0,C,2
88,PASTRNAK David,F,0.0,1.0,1.0,0.0,4.0,0.0,19:28,20.0,0.0,0.0,0.0,21,cze,cze-den,2026,0.0,RW,2
7,SPACEK David,D,0.0,0.0,0.0,0.0,1.0,1.0,12:41,16.0,0.0,0.0,0.0,21,cze,cze-den,2026,0.0,LD,3
18,PALAT Ondrej,F,0.0,0.0,0.0,0.0,2.0,0.0,16:42,24.0,0.0,0.0,0.0,21,cze,cze-den,2026,0.0,LW,3
