j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
3,EKMAN-LARSSON Oliver,D,0.0,0.0,0.0,0.0,1.0,-1.0,16:30,23.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,RD,1
14,ERIKSSON EK Joel,F,0.0,1.0,1.0,0.0,1.0,1.0,18:06,23.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,C,1
19,KEMPE Adrian,F,1.0,0.0,1.0,0.0,2.0,2.0,18:32,22.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,LW,1
77,HEDMAN Victor,D,0.0,0.0,0.0,2.0,0.0,0.0,19:40,24.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,LD,1
88,NYLANDER William,F,1.0,1.0,2.0,0.0,4.0,2.0,15:33,19.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,RW,1
23,RAYMOND Lucas,F,0.0,3.0,3.0,0.0,0.0,3.0,16:54,21.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,RW,2
26,DAHLIN Rasmus,D,0.0,1.0,1.0,0.0,2.0,2.0,21:37,24.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,RD,2
42,FORSLING Gustav,D,0.0,0.0,0.0,2.0,1.0,2.0,20:03,23.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,LD,2
92,LANDESKOG Gabriel,F,1.0,1.0,2.0,0.0,2.0,2.0,15:56,22.0,0.0,0.0,0.0,22,swe,swe-lat,2026,1.0,LW,2
93,ZIBANEJAD Mika,F,1.0,1.0,2.0,0.0,4.0,2.0,16:29,23.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,C,2
6,BROBERG Philip,D,0.0,1.0,1.0,0.0,4.0,2.0,18:28,24.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,LD,3
9,FORSBERG Filip,F,1.0,0.0,1.0,0.0,2.0,1.0,13:16,16.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,LW,3
40,PETTERSSON Elias,F,0.0,0.0,0.0,0.0,1.0,0.0,10:57,17.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,C,3
65,KARLSSON Erik,D,0.0,1.0,1.0,0.0,2.0,3.0,20:01,24.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,RD,3
67,RAKELL Rickard,F,0.0,0.0,0.0,0.0,1.0,1.0,12:55,16.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,RW,3
10,WENNBERG Alexander,F,0.0,0.0,0.0,0.0,1.0,0.0,15:03,21.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,C,4
27,LINDHOLM Hampus,D,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,LD,4
28,LINDHOLM Elias,F,0.0,0.0,0.0,2.0,0.0,-1.0,12:40,18.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,RW,4
29,HOLMBERG Pontus,F,0.0,0.0,0.0,0.0,0.0,-1.0,11:12,15.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,LW,4
90,JOHANSSON Marcus,F,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,LW,5
25,MARKSTROM Jacob,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,GK,1
30,WALLSTEDT Jesper,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,GK,2
