j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
17,NEMEC Simon,D,0.0,0.0,0.0,0.0,1.0,0.0,21:51,27.0,0.0,0.0,0.0,23,svk,svk-ger,2026,0.0,RD,1
20,SLAFKOVSKY Juraj,F,0.0,1.0,1.0,0.0,5.0,1.0,19:40,22.0,0.0,0.0,0.0,23,svk,svk-ger,2026,0.0,LW,1
21,RUZICKA Adam,F,0.0,1.0,1.0,0.0,0.0,1.0,18:28,25.0,0.0,0.0,0.0,23,svk,svk-ger,2026,0.0,C,1
42,FEHERVARY Martin,D,0.0,1.0,1.0,2.0,0.0,1.0,22:01,29.0,0.0,0.0,0.0,23,svk,svk-ger,2026,0.0,LD,1
90,TATAR Tomas,F,1.0,0.0,1.0,0.0,2.0,1.0,16:02,23.0,0.0,0.0,0.0,23,svk,svk-ger,2026,0.0,RW,1
11,KELEMEN Milos,F,1.0,0.0,1.0,0.0,3.0,3.0,14:34,26.0,0.0,0.0,0.0,23,svk,svk-ger,2026,0.0,LW,2
28,GERNAT Martin,D,0.0,0.0,0.0,2.0,5.0,0.0,17:18,29.0,0.0,0.0,0.0,23,svk,svk-ger,2026,0.0,LD,2
76,POSPISIL Martin,F,0.0,1.0,1.0,0.0,3.0,2.0,11:29,23.0,0.0,0.0,0.0,23,svk,svk-ger,2026,0.0,C,2
81,CERNAK Erik,D,0.0,1.0,1.0,0.0,2.0,1.0,21:55,30.0,0.0,0.0,0.0,23,svk,svk-ger,2026,0.0,RD,2
84,REGENDA Pavol,F,2.0,1.0,3.0,0.0,3.0,2.0,14:27,22.0,0.0,0.0,0.0,23,svk,svk-ger,2026,0.0,RW,2
8,OKULIAR Oliver,F,1.0,1.0,2.0,0.0,1.0,3.0,15:48,22.0,0.0,0.0,0.0,23,svk,svk-ger,2026,1.0,LW,3
14,CERESNAK Peter,D,0.0,0.0,0.0,0.0,0.0,3.0,17:26,26.0,0.0,0.0,0.0,23,svk,svk-ger,2026,0.0,RD,3
15,DVORSKY Dalibor,F,1.0,1.0,2.0,0.0,3.0,1.0,14:03,17.0,0.0,0.0,0.0,23,svk,svk-ger,2026,0.0,C,3
52,MARINCIN Martin,D,0.0,0.0,0.0,0.0,0.0,0.0,3:16,5.0,0.0,0.0,0.0,23,svk,svk-ger,2026,0.0,LD,3
79,HUDACEK Libor,F,0.0,1.0,1.0,0.0,1.0,2.0,13:58,18.0,0.0,0.0,0.0,23,svk,svk-ger,2026,0.0,RW,3
23,LISKA Adam,F,0.0,0.0,0.0,0.0,1.0,0.0,10:20,16.0,0.0,0.0,0.0,23,svk,svk-ger,2026,0.0,LW,4
49,TAKAC Samuel,F,0.0,0.0,0.0,0.0,2.0,0.0,5:34,8.0,0.0,0.0,0.0,23,svk,svk-ger,2026,0.0,RW,4
64,KOCH Patrik,D,0.0,2.0,2.0,0.0,2.0,4.0,15:14,22.0,0.0,0.0,0.0,23,svk,svk-ger,2026,0.0,LD,4
91,SUKEL Matus,F,0.0,0.0,0.0,0.0,0.0,0.0,12:22,19.0,0.0,0.0,0.0,23,svk,svk-ger,2026,0.0,C,4
6,CINGEL Lukas,F,0.0,0.0,0.0,2.0,1.0,0.0,6:15,13.0,0.0,0.0,0.0,23,svk,svk-ger,2026,0.0,LW,5
