j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
7,TKACHUK Brady,F,0.0,0.0,0.0,0.0,2.0,0.0,15:36,24.0,0.0,0.0,0.0,26,usa,usa-swe,2026,0.0,LW,1
9,EICHEL Jack,F,0.0,0.0,0.0,0.0,5.0,0.0,21:24,30.0,0.0,0.0,0.0,26,usa,usa-swe,2026,0.0,C,1
19,TKACHUK Matthew,F,0.0,0.0,0.0,0.0,2.0,0.0,17:25,22.0,0.0,0.0,0.0,26,usa,usa-swe,2026,0.0,RW,1
25,McAVOY Charlie,D,0.0,0.0,0.0,0.0,1.0,0.0,19:22,27.0,0.0,0.0,0.0,26,usa,usa-swe,2026,0.0,RD,1
43,HUGHES Quinn,D,1.0,1.0,2.0,0.0,6.0,1.0,27:31,29.0,0.0,0.0,0.0,26,usa,usa-swe,2026,1.0,LD,1
12,BOLDY Matt,F,0.0,1.0,1.0,0.0,4.0,1.0,18:36,24.0,0.0,0.0,0.0,26,usa,usa-swe,2026,0.0,RW,2
14,FABER Brock,D,0.0,0.0,0.0,0.0,0.0,0.0,19:20,26.0,0.0,0.0,0.0,26,usa,usa-swe,2026,0.0,RD,2
34,MATTHEWS Auston,F,0.0,1.0,1.0,0.0,1.0,1.0,17:59,24.0,0.0,0.0,0.0,26,usa,usa-swe,2026,0.0,C,2
59,GUENTZEL Jake,F,0.0,0.0,0.0,0.0,2.0,0.0,17:10,24.0,0.0,0.0,0.0,26,usa,usa-swe,2026,0.0,LW,2
74,SLAVIN Jaccob,D,0.0,0.0,0.0,0.0,2.0,0.0,18:10,20.0,0.0,0.0,0.0,26,usa,usa-swe,2026,0.0,LD,2
8,WERENSKI Zach,D,0.0,0.0,0.0,0.0,3.0,0.0,17:45,24.0,0.0,0.0,0.0,26,usa,usa-swe,2026,0.0,LD,3
21,LARKIN Dylan,F,1.0,0.0,1.0,0.0,3.0,1.0,14:58,18.0,0.0,0.0,0.0,26,usa,usa-swe,2026,0.0,C,3
72,THOMPSON Tage,F,0.0,0.0,0.0,0.0,4.0,1.0,13:34,19.0,0.0,0.0,0.0,26,usa,usa-swe,2026,0.0,RW,3
85,SANDERSON Jake,D,0.0,0.0,0.0,0.0,1.0,0.0,11:04,19.0,0.0,0.0,0.0,26,usa,usa-swe,2026,0.0,RD,3
91,KELLER Clayton,F,0.0,0.0,0.0,0.0,0.0,0.0,4:44,6.0,0.0,0.0,0.0,26,usa,usa-swe,2026,0.0,LW,3
10,MILLER JT,F,0.0,0.0,0.0,0.0,0.0,-1.0,12:57,18.0,0.0,0.0,0.0,26,usa,usa-swe,2026,0.0,LW,4
15,HANIFIN Noah,D,0.0,0.0,0.0,0.0,1.0,0.0,5:46,12.0,0.0,0.0,0.0,26,usa,usa-swe,2026,0.0,LD,4
29,NELSON Brock,F,0.0,0.0,0.0,0.0,0.0,-1.0,12:32,18.0,0.0,0.0,0.0,26,usa,usa-swe,2026,0.0,C,4
86,HUGHES Jack,F,0.0,1.0,1.0,0.0,3.0,1.0,13:14,18.0,0.0,0.0,0.0,26,usa,usa-swe,2026,0.0,RW,4
16,TROCHECK Vincent,F,0.0,0.0,0.0,2.0,0.0,-1.0,8:33,15.0,0.0,0.0,0.0,26,usa,usa-swe,2026,0.0,LW,5
30,OETTINGER Jake,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,26,usa,usa-swe,2026,0.0,GK,2
37,HELLEBUYCK Connor,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,26,usa,usa-swe,2026,0.0,GK,1
