j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
7,TOEWS Devon,D,0.0,0.0,0.0,0.0,2.0,0.0,22:14,28.0,0.0,0.0,0.0,27,can,can-fin,2026,0.0,LD,1
8,MAKAR Cale,D,0.0,1.0,1.0,0.0,2.0,-1.0,25:14,29.0,0.0,0.0,0.0,27,can,can-fin,2026,0.0,RD,1
17,CELEBRINI Macklin,F,0.0,1.0,1.0,0.0,8.0,-1.0,25:53,28.0,0.0,0.0,0.0,27,can,can-fin,2026,0.0,LW,1
43,WILSON Tom,F,0.0,1.0,1.0,0.0,1.0,1.0,12:47,21.0,0.0,0.0,0.0,27,can,can-fin,2026,0.0,RW,1
97,McDAVID Connor,F,0.0,2.0,2.0,0.0,4.0,-1.0,25:20,30.0,0.0,0.0,0.0,27,can,can-fin,2026,0.0,C,1
14,HORVAT Bo,F,0.0,0.0,0.0,0.0,0.0,0.0,10:00,15.0,0.0,0.0,0.0,27,can,can-fin,2026,0.0,LW,2
20,HARLEY Thomas,D,0.0,0.0,0.0,0.0,3.0,0.0,20:44,29.0,0.0,0.0,0.0,27,can,can-fin,2026,0.0,LD,2
24,JARVIS Seth,F,0.0,0.0,0.0,0.0,1.0,0.0,8:48,11.0,0.0,0.0,0.0,27,can,can-fin,2026,0.0,RW,2
29,MacKINNON Nathan,F,1.0,0.0,1.0,0.0,4.0,-1.0,21:51,27.0,0.0,0.0,0.0,27,can,can-fin,2026,1.0,C,2
55,PARAYKO Colton,D,0.0,0.0,0.0,0.0,0.0,0.0,15:12,28.0,0.0,0.0,0.0,27,can,can-fin,2026,0.0,RD,2
6,SANHEIM Travis,D,0.0,1.0,1.0,0.0,3.0,1.0,12:38,21.0,0.0,0.0,0.0,27,can,can-fin,2026,0.0,LD,3
10,SUZUKI Nick,F,0.0,0.0,0.0,0.0,0.0,0.0,14:36,21.0,0.0,0.0,0.0,27,can,can-fin,2026,0.0,C,3
61,STONE Mark,F,0.0,0.0,0.0,0.0,0.0,0.0,14:12,19.0,0.0,0.0,0.0,27,can,can-fin,2026,0.0,RW,3
89,DOUGHTY Drew,D,0.0,0.0,0.0,0.0,1.0,0.0,7:53,12.0,0.0,0.0,0.0,27,can,can-fin,2026,0.0,RD,3
93,MARNER Mitch,F,0.0,0.0,0.0,0.0,2.0,0.0,13:51,20.0,0.0,0.0,0.0,27,can,can-fin,2026,0.0,LW,3
9,BENNETT Sam,F,0.0,0.0,0.0,2.0,2.0,1.0,10:31,21.0,0.0,0.0,0.0,27,can,can-fin,2026,0.0,C,4
27,THEODORE Shea,D,1.0,0.0,1.0,0.0,2.0,1.0,11:17,15.0,0.0,0.0,0.0,27,can,can-fin,2026,0.0,LD,4
38,HAGEL Brandon,F,0.0,0.0,0.0,0.0,1.0,0.0,7:28,12.0,0.0,0.0,0.0,27,can,can-fin,2026,0.0,LW,4
