j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
7,TKACHUK Brady,F,1.0,1.0,2.0,12.0,4.0,2.0,10:36,18.0,0.0,0.0,0.0,28,usa,usa-svk,2026,0.0,LW,1
9,EICHEL Jack,F,1.0,1.0,2.0,0.0,5.0,2.0,16:31,21.0,0.0,0.0,0.0,28,usa,usa-svk,2026,0.0,C,1
19,TKACHUK Matthew,F,0.0,1.0,1.0,10.0,2.0,0.0,15:41,21.0,0.0,0.0,0.0,28,usa,usa-svk,2026,0.0,RW,1
25,McAVOY Charlie,D,0.0,0.0,0.0,4.0,2.0,-1.0,16:58,22.0,0.0,0.0,0.0,28,usa,usa-svk,2026,0.0,RD,1
43,HUGHES Quinn,D,0.0,1.0,1.0,0.0,2.0,-2.0,21:23,21.0,0.0,0.0,0.0,28,usa,usa-svk,2026,0.0,LD,1
12,BOLDY Matt,F,0.0,1.0,1.0,0.0,0.0,1.0,15:49,20.0,0.0,0.0,0.0,28,usa,usa-svk,2026,0.0,RW,2
14,FABER Brock,D,0.0,0.0,0.0,0.0,2.0,3.0,19:01,21.0,0.0,0.0,0.0,28,usa,usa-svk,2026,0.0,RD,2
34,MATTHEWS Auston,F,0.0,0.0,0.0,2.0,4.0,0.0,19:08,20.0,0.0,0.0,0.0,28,usa,usa-svk,2026,0.0,C,2
59,GUENTZEL Jake,F,0.0,0.0,0.0,0.0,3.0,1.0,14:45,18.0,0.0,0.0,0.0,28,usa,usa-svk,2026,0.0,LW,2
74,SLAVIN Jaccob,D,0.0,0.0,0.0,0.0,0.0,2.0,16:19,18.0,0.0,0.0,0.0,28,usa,usa-svk,2026,0.0,LD,2
8,WERENSKI Zach,D,0.0,3.0,3.0,2.0,0.0,3.0,13:27,16.0,0.0,0.0,0.0,28,usa,usa-svk,2026,0.0,LD,3
21,LARKIN Dylan,F,1.0,0.0,1.0,0.0,4.0,0.0,15:21,22.0,0.0,0.0,0.0,28,usa,usa-svk,2026,0.0,C,3
72,THOMPSON Tage,F,1.0,1.0,2.0,0.0,3.0,1.0,10:05,13.0,0.0,0.0,0.0,28,usa,usa-svk,2026,0.0,RW,3
85,SANDERSON Jake,D,0.0,0.0,0.0,0.0,3.0,-1.0,15:50,19.0,0.0,0.0,0.0,28,usa,usa-svk,2026,0.0,RD,3
86,HUGHES Jack,F,2.0,0.0,2.0,0.0,3.0,2.0,11:07,16.0,0.0,0.0,0.0,28,usa,usa-svk,2026,1.0,LW,3
10,MILLER JT,F,0.0,0.0,0.0,0.0,1.0,1.0,14:41,21.0,0.0,0.0,0.0,28,usa,usa-svk,2026,0.0,LW,4
15,HANIFIN Noah,D,0.0,1.0,1.0,0.0,0.0,1.0,10:53,14.0,0.0,0.0,0.0,28,usa,usa-svk,2026,0.0,LD,4
16,TROCHECK Vincent,F,0.0,1.0,1.0,0.0,0.0,1.0,15:19,23.0,0.0,0.0,0.0,28,usa,usa-svk,2026,0.0,RW,4
29,NELSON Brock,F,0.0,0.0,0.0,0.0,1.0,0.0,13:27,19.0,0.0,0.0,0.0,28,usa,usa-svk,2026,0.0,C,4
91,KELLER Clayton,F,0.0,0.0,0.0,0.0,0.0,-1.0,3:52,6.0,0.0,0.0,0.0,28,usa,usa-svk,2026,0.0,LW,5
30,OETTINGER Jake,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,28,usa,usa-svk,2026,0.0,GK,2
37,HELLEBUYCK Connor,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,28,usa,usa-svk,2026,0.0,GK,1
30,OETTINGER Jake,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,28,usa,usa-svk,2026,0.0,GK,2
37,HELLEBUYCK Connor,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.0,2.0,22.0,28,usa,usa-svk,2026,0.0,GK,1
17,NEMEC Simon,D,0.0,0.0,0.0,0.0,1.0,-1.0,22:28,26.0,0.0,0.0,0.0,28,svk,usa-svk,2026,0.0,RD,1
20,SLAFKOVSKY Juraj,F,1.0,0.0,1.0,0.0,2.0,-1.0,17:01,22.0,0.0,0.0,0.0,28,svk,usa-svk,2026,0.0,LW,1
21,RUZICKA Adam,F,0.0,1.0,1.0,0.0,3.0,0.0,14:03,22.0,0.0,0.0,0.0,28,svk,usa-svk,2026,0.0,C,1
42,FEHERVARY Martin,D,0.0,2.0,2.0,4.0,1.0,0.0,19:56,27.0,0.0,0.0,0.0,28,svk,usa-svk,2026,0.0,LD,1
90,TATAR Tomas,F,0.0,0.0,0.0,0.0,1.0,-1.0,16:54,24.0,0.0,0.0,0.0,28,svk,usa-svk,2026,0.0,RW,1
11,KELEMEN Milos,F,0.0,1.0,1.0,2.0,0.0,1.0,11:04,20.0,0.0,0.0,0.0,28,svk,usa-svk,2026,0.0,LW,2
28,GERNAT Martin,D,0.0,0.0,0.0,0.0,2.0,-1.0,15:28,21.0,0.0,0.0,0.0,28,svk,usa-svk,2026,0.0,LD,2
76,POSPISIL Martin,F,0.0,0.0,0.0,0.0,1.0,0.0,13:38,23.0,0.0,0.0,0.0,28,svk,usa-svk,2026,0.0,C,2
81,CERNAK Erik,D,0.0,0.0,0.0,10.0,0.0,-1.0,17:01,24.0,0.0,0.0,0.0,28,svk,usa-svk,2026,0.0,RD,2
84,REGENDA Pavol,F,1.0,0.0,1.0,0.0,1.0,0.0,15:04,20.0,0.0,0.0,0.0,28,svk,usa-svk,2026,0.0,RW,2
8,OKULIAR Oliver,F,0.0,0.0,0.0,2.0,0.0,-2.0,14:46,18.0,0.0,0.0,0.0,28,svk,usa-svk,2026,0.0,LW,3
14,CERESNAK Peter,D,0.0,0.0,0.0,0.0,1.0,-1.0,18:26,22.0,0.0,0.0,0.0,28,svk,usa-svk,2026,0.0,RD,3
15,DVORSKY Dalibor,F,0.0,0.0,0.0,0.0,2.0,-1.0,16:29,18.0,0.0,0.0,0.0,28,svk,usa-svk,2026,0.0,C,3
52,MARINCIN Martin,D,0.0,0.0,0.0,0.0,1.0,-1.0,8:54,15.0,0.0,0.0,0.0,28,svk,usa-svk,2026,0.0,LD,3
79,HUDACEK Libor,F,0.0,0.0,0.0,0.0,0.0,-1.0,17:16,20.0,0.0,0.0,0.0,28,svk,usa-svk,2026,0.0,RW,3
23,LISKA Adam,F,0.0,0.0,0.0,0.0,3.0,-1.0,11:23,17.0,0.0,0.0,0.0,28,svk,usa-svk,2026,0.0,LW,4
49,TAKAC Samuel,F,0.0,0.0,0.0,0.0,0.0,-1.0,3:35,5.0,0.0,0.0,0.0,28,svk,usa-svk,2026,0.0,RW,4
64,KOCH Patrik,D,0.0,0.0,0.0,2.0,4.0,-1.0,13:46,19.0,0.0,0.0,0.0,28,svk,usa-svk,2026,0.0,LD,4
91,SUKEL Matus,F,0.0,0.0,0.0,0.0,0.0,-2.0,13:08,19.0,0.0,0.0,0.0,28,svk,usa-svk,2026,0.0,C,4
6,CINGEL Lukas,F,0.0,0.0,0.0,0.0,1.0,0.0,11:42,16.0,0.0,0.0,0.0,28,svk,usa-svk,2026,0.0,LW,5
31,HLAVAJ Samuel,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,28,svk,usa-svk,2026,0.0,GK,1
33,SKORVANEK Stanislav,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,28,svk,usa-svk,2026,0.0,GK,2
31,HLAVAJ Samuel,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,23.0,4.0,19.0,28,svk,usa-svk,2026,0.0,GK,1
33,SKORVANEK Stanislav,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,16.0,2.0,14.0,28,svk,usa-svk,2026,0.0,GK,2
