j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
13,HISCHIER Nico,F,0.0,0.0,0.0,0.0,4.0,1.0,17:53,25.0,0.0,0.0,0.0,3,sui,sui-fra,2026,0.0,C,1
21,FIALA Kevin,F,0.0,1.0,1.0,0.0,5.0,2.0,19:16,25.0,0.0,0.0,0.0,3,sui,sui-fra,2026,0.0,LW,1
43,GLAUSER Andrea,D,0.0,0.0,0.0,0.0,0.0,0.0,17:29,22.0,0.0,0.0,0.0,3,sui,sui-fra,2026,0.0,RD,1
79,THURKAUF Calvin,F,0.0,0.0,0.0,0.0,2.0,0.0,15:55,21.0,0.0,0.0,0.0,3,sui,sui-fra,2026,0.0,RW,1
90,JOSI Roman,D,0.0,1.0,1.0,0.0,2.0,1.0,20:43,22.0,0.0,0.0,0.0,3,sui,sui-fra,2026,0.0,LD,1
14,KUKAN Dean,D,0.0,1.0,1.0,0.0,3.0,0.0,18:50,21.0,0.0,0.0,0.0,3,sui,sui-fra,2026,0.0,RD,2
22,NIEDERREITER Nino,F,0.0,0.0,0.0,0.0,2.0,0.0,15:03,21.0,0.0,0.0,0.0,3,sui,sui-fra,2026,0.0,RW,2
62,MALGIN Denis,F,0.0,0.0,0.0,2.0,1.0,1.0,17:52,22.0,0.0,0.0,0.0,3,sui,sui-fra,2026,0.0,C,2
71,SIEGENTHALER Jonas,D,0.0,0.0,0.0,0.0,1.0,0.0,20:37,21.0,0.0,0.0,0.0,3,sui,sui-fra,2026,0.0,LD,2
85,ANDRIGHETTO Sven,F,0.0,1.0,1.0,0.0,7.0,0.0,15:05,21.0,0.0,0.0,0.0,3,sui,sui-fra,2026,0.0,LW,2
23,KURASHEV Philipp,F,0.0,1.0,1.0,0.0,2.0,1.0,15:04,17.0,0.0,0.0,0.0,3,sui,sui-fra,2026,0.0,LW,3
28,MEIER Timo,F,2.0,0.0,2.0,0.0,4.0,3.0,15:06,18.0,0.0,0.0,0.0,3,sui,sui-fra,2026,0.0,RW,3
44,SUTER Pius,F,0.0,0.0,0.0,0.0,1.0,1.0,14:11,20.0,0.0,0.0,0.0,3,sui,sui-fra,2026,0.0,C,3
45,FORA Michael,D,0.0,1.0,1.0,2.0,0.0,2.0,13:35,18.0,0.0,0.0,0.0,3,sui,sui-fra,2026,0.0,RD,3
86,MOSER Janis,D,1.0,1.0,2.0,0.0,3.0,2.0,15:39,20.0,0.0,0.0,0.0,3,sui,sui-fra,2026,0.0,LD,3
9,RIAT Damien,F,1.0,0.0,1.0,0.0,3.0,0.0,8:41,12.0,0.0,0.0,0.0,3,sui,sui-fra,2026,1.0,LW,4
17,JAGER Ken,F,0.0,0.0,0.0,0.0,1.0,0.0,12:29,18.0,0.0,0.0,0.0,3,sui,sui-fra,2026,0.0,C,4
54,MARTI Christian,D,0.0,0.0,0.0,2.0,1.0,1.0,5:31,8.0,0.0,0.0,0.0,3,sui,sui-fra,2026,0.0,LD,4
88,BERTSCHY Christoph,F,0.0,0.0,0.0,2.0,0.0,0.0,9:52,15.0,0.0,0.0,0.0,3,sui,sui-fra,2026,0.0,RW,4
73,SCHMID Sandro,F,0.0,0.0,0.0,0.0,1.0,0.0,2:42,5.0,0.0,0.0,0.0,3,sui,sui-fra,2026,0.0,LW,5
40,SCHMID Akira,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3,sui,sui-fra,2026,0.0,GK,2
63,GENONI Leonardo,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3,sui,sui-fra,2026,0.0,GK,1
40,SCHMID Akira,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3,sui,sui-fra,2026,0.0,GK,2
63,GENONI Leonardo,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,27.0,0.0,27.0,3,sui,sui-fra,2026,0.0,GK,1
8,GALLET Hugo,D,0.0,0.0,0.0,0.0,0.0,-2.0,23:45,30.0,0.0,0.0,0.0,3,fra,sui-fra,2026,0.0,RD,1
24,ADDAMO Justin,F,0.0,0.0,0.0,0.0,1.0,-2.0,14:54,25.0,0.0,0.0,0.0,3,fra,sui-fra,2026,0.0,C,1
27,BOSCQ Jules,D,0.0,0.0,0.0,0.0,0.0,-2.0,21:29,27.0,0.0,0.0,0.0,3,fra,sui-fra,2026,0.0,LD,1
77,TREILLE Sacha,F,0.0,0.0,0.0,0.0,2.0,-2.0,16:02,19.0,0.0,0.0,0.0,3,fra,sui-fra,2026,0.0,LW,1
91,DOUAY Floran,F,0.0,0.0,0.0,0.0,0.0,-2.0,10:01,17.0,0.0,0.0,0.0,3,fra,sui-fra,2026,0.0,RW,1
3,BERTRAND Charles,F,0.0,0.0,0.0,0.0,2.0,-1.0,18:13,23.0,0.0,0.0,0.0,3,fra,sui-fra,2026,0.0,RW,2
14,da COSTA Stephane,F,0.0,0.0,0.0,2.0,2.0,-1.0,20:21,22.0,0.0,0.0,0.0,3,fra,sui-fra,2026,0.0,C,2
19,CANTAGALLO Enzo,D,0.0,0.0,0.0,2.0,1.0,0.0,11:01,21.0,0.0,0.0,0.0,3,fra,sui-fra,2026,0.0,RD,2
62,CHAKIACHVILI Florian,D,0.0,0.0,0.0,0.0,3.0,0.0,15:50,25.0,0.0,0.0,0.0,3,fra,sui-fra,2026,0.0,LD,2
85,TEXIER Alexandre,F,0.0,0.0,0.0,0.0,3.0,-1.0,23:00,23.0,0.0,0.0,0.0,3,fra,sui-fra,2026,0.0,LW,2
5,GUEBEY Enzo,D,0.0,0.0,0.0,0.0,3.0,0.0,15:26,20.0,0.0,0.0,0.0,3,fra,sui-fra,2026,0.0,RD,3
7,CRINON Pierre,D,0.0,0.0,0.0,0.0,1.0,-1.0,14:22,23.0,0.0,0.0,0.0,3,fra,sui-fra,2026,0.0,LD,3
41,BELLEMARE Pierre-Edouard,F,0.0,0.0,0.0,2.0,1.0,0.0,14:59,25.0,0.0,0.0,0.0,3,fra,sui-fra,2026,0.0,C,3
72,PERRET Jordann,F,0.0,0.0,0.0,0.0,2.0,0.0,15:48,25.0,0.0,0.0,0.0,3,fra,sui-fra,2026,0.0,LW,3
78,FABRE Dylan,F,0.0,0.0,0.0,0.0,4.0,0.0,10:46,20.0,0.0,0.0,0.0,3,fra,sui-fra,2026,0.0,RW,3
29,BOUDON Louis,F,0.0,0.0,0.0,0.0,2.0,0.0,12:55,16.0,0.0,0.0,0.0,3,fra,sui-fra,2026,0.0,C,4
74,THIRY Thomas,D,0.0,0.0,0.0,0.0,0.0,-1.0,9:27,16.0,0.0,0.0,0.0,3,fra,sui-fra,2026,0.0,LD,4
81,RECH Anthony,F,0.0,0.0,0.0,2.0,0.0,0.0,11:33,18.0,0.0,0.0,0.0,3,fra,sui-fra,2026,0.0,RW,4
95,BOZON Kevin,F,0.0,0.0,0.0,2.0,0.0,0.0,8:20,14.0,0.0,0.0,0.0,3,fra,sui-fra,2026,0.0,LW,4
90,DAIR Aurelien,F,0.0,0.0,0.0,0.0,0.0,0.0,0:11,1.0,0.0,0.0,0.0,3,fra,sui-fra,2026,0.0,LW,5
30,KELLER Antoine,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3,fra,sui-fra,2026,0.0,GK,1
36,NECKAR Martin,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3,fra,sui-fra,2026,0.0,GK,2
30,KELLER Antoine,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,43.0,4.0,39.0,3,fra,sui-fra,2026,0.0,GK,1
36,NECKAR Martin,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3,fra,sui-fra,2026,0.0,GK,2
