j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
5,KELLER Megan,D,0.0,1.0,1.0,0.0,2.0,1.0,20:33,25.0,0.0,0.0,0.0,3,usa,usa-cze,2026,0.0,LD,1
10,EDWARDS Laila,D,0.0,1.0,1.0,2.0,3.0,1.0,20:46,25.0,0.0,0.0,0.0,3,usa,usa-cze,2026,0.0,RD,1
21,KNIGHT Hilary,F,1.0,0.0,1.0,0.0,3.0,1.0,16:32,21.0,0.0,0.0,0.0,3,usa,usa-cze,2026,0.0,RW,1
23,BILKA Hannah,F,0.0,1.0,1.0,0.0,3.0,1.0,16:09,20.0,0.0,0.0,0.0,3,usa,usa-cze,2026,0.0,LW,1
25,CARPENTER Alex,F,1.0,1.0,2.0,0.0,2.0,1.0,17:43,21.0,0.0,0.0,0.0,3,usa,usa-cze,2026,0.0,C,1
4,HARVEY Caroline,D,0.0,0.0,0.0,0.0,3.0,2.0,22:33,22.0,0.0,0.0,0.0,3,usa,usa-cze,2026,0.0,LD,2
8,WINN Haley,D,0.0,0.0,0.0,0.0,0.0,3.0,19:44,22.0,0.0,0.0,0.0,3,usa,usa-cze,2026,0.0,RD,2
17,CURL Britta,F,0.0,0.0,0.0,0.0,1.0,0.0,15:52,19.0,0.0,0.0,0.0,3,usa,usa-cze,2026,0.0,LW,2
27,HEISE Taylor,F,0.0,0.0,0.0,0.0,1.0,-1.0,15:09,19.0,0.0,0.0,0.0,3,usa,usa-cze,2026,0.0,C,2
37,MURPHY Abbey,F,0.0,0.0,0.0,0.0,3.0,-1.0,15:41,19.0,0.0,0.0,0.0,3,usa,usa-cze,2026,0.0,RW,2
2,STECKLEIN Lee,D,0.0,0.0,0.0,0.0,0.0,0.0,14:54,19.0,0.0,0.0,0.0,3,usa,usa-cze,2026,0.0,LD,3
