j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
17,HRONEK Filip,D,0.0,0.0,0.0,0.0,1.0,-2.0,21:09,29.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,RD,1
48,HERTL Tomas,F,0.0,0.0,0.0,0.0,3.0,0.0,17:39,23.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,C,1
51,SIMEK Radim,D,0.0,0.0,0.0,0.0,4.0,-1.0,20:18,30.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,LD,1
88,PASTRNAK David,F,0.0,0.0,0.0,0.0,1.0,-2.0,18:05,23.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,LW,1
98,NECAS Martin,F,0.0,0.0,0.0,0.0,1.0,-2.0,19:00,23.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,RW,1
3,GUDAS Radko,D,0.0,0.0,0.0,0.0,2.0,0.0,18:06,24.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,RD,2
6,KEMPNY Michal,D,0.0,0.0,0.0,2.0,3.0,-1.0,21:56,29.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,LD,2
18,PALAT Ondrej,F,0.0,0.0,0.0,0.0,2.0,0.0,17:11,23.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,LW,2
64,KAMPF David,F,0.0,0.0,0.0,0.0,1.0,-1.0,17:41,24.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,C,2
73,KASE Ondrej,F,0.0,0.0,0.0,0.0,2.0,-1.0,15:24,24.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,RW,2
7,SPACEK David,D,0.0,0.0,0.0,0.0,2.0,-2.0,20:00,27.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,LD,3
10,CERVENKA Roman,F,0.0,0.0,0.0,0.0,0.0,-1.0,12:18,19.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,LW,3
23,SEDLAK Lukas,F,0.0,0.0,0.0,2.0,0.0,-3.0,11:49,20.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,C,3
44,RUTTA Jan,D,0.0,0.0,0.0,0.0,1.0,-1.0,9:26,13.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,RD,3
96,TOMASEK David,F,0.0,0.0,0.0,0.0,1.0,0.0,13:14,21.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,RW,3
12,FAKSA Radek,F,0.0,0.0,0.0,0.0,1.0,0.0,13:12,19.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,C,4
81,KUBALIK Dominik,F,0.0,0.0,0.0,2.0,1.0,-1.0,12:37,18.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,LW,4
84,KUNDRATEK Tomas,D,0.0,0.0,0.0,0.0,0.0,-1.0,7:05,10.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,LD,4
93,STRANSKY Matej,F,0.0,0.0,0.0,0.0,0.0,-1.0,11:32,18.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,RW,4
19,FLEK Jakub,F,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,LW,5
1,DOSTAL Lukas,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,GK,1
80,VLADAR Daniel,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,GK,2
1,DOSTAL Lukas,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,36.0,5.0,31.0,4,cze,cze-can,2026,0.0,GK,1
80,VLADAR Daniel,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,GK,2
7,TOEWS Devon,D,0.0,0.0,0.0,0.0,0.0,2.0,19:08,30.0,0.0,0.0,0.0,4,can,cze-can,2026,0.0,LD,1
8,MAKAR Cale,D,0.0,1.0,1.0,0.0,3.0,2.0,18:51,33.0,0.0,0.0,0.0,4,can,cze-can,2026,0.0,RD,1
17,CELEBRINI Macklin,F,1.0,0.0,1.0,0.0,2.0,1.0,17:14,22.0,0.0,0.0,0.0,4,can,cze-can,2026,1.0,LW,1
43,WILSON Tom,F,0.0,0.0,0.0,0.0,1.0,1.0,16:06,22.0,0.0,0.0,0.0,4,can,cze-can,2026,0.0,RW,1
97,McDAVID Connor,F,0.0,3.0,3.0,0.0,6.0,2.0,18:04,22.0,0.0,0.0,0.0,4,can,cze-can,2026,0.0,C,1
10,SUZUKI Nick,F,1.0,0.0,1.0,2.0,3.0,1.0,13:33,23.0,0.0,0.0,0.0,4,can,cze-can,2026,0.0,RW,2
29,MacKINNON Nathan,F,1.0,0.0,1.0,0.0,3.0,0.0,14:44,23.0,0.0,0.0,0.0,4,can,cze-can,2026,0.0,C,2
38,HAGEL Brandon,F,0.0,0.0,0.0,0.0,2.0,1.0,14:33,21.0,0.0,0.0,0.0,4,can,cze-can,2026,0.0,LW,2
44,MORRISSEY Josh,D,0.0,0.0,0.0,0.0,0.0,0.0,7:10,13.0,0.0,0.0,0.0,4,can,cze-can,2026,0.0,LD,2
55,PARAYKO Colton,D,0.0,0.0,0.0,0.0,0.0,0.0,17:38,27.0,0.0,0.0,0.0,4,can,cze-can,2026,0.0,RD,2
20,HARLEY Thomas,D,0.0,2.0,2.0,0.0,2.0,2.0,20:35,29.0,0.0,0.0,0.0,4,can,cze-can,2026,0.0,LD,3
61,STONE Mark,F,1.0,0.0,1.0,0.0,2.0,1.0,16:30,24.0,0.0,0.0,0.0,4,can,cze-can,2026,0.0,RW,3
87,CROSBY Sidney,F,0.0,2.0,2.0,0.0,3.0,1.0,16:07,22.0,0.0,0.0,0.0,4,can,cze-can,2026,0.0,C,3
89,DOUGHTY Drew,D,0.0,0.0,0.0,0.0,0.0,2.0,18:59,28.0,0.0,0.0,0.0,4,can,cze-can,2026,0.0,RD,3
93,MARNER Mitch,F,0.0,1.0,1.0,0.0,1.0,1.0,16:40,22.0,0.0,0.0,0.0,4,can,cze-can,2026,0.0,LW,3
13,REINHART Sam,F,0.0,0.0,0.0,0.0,1.0,1.0,10:01,19.0,0.0,0.0,0.0,4,can,cze-can,2026,0.0,RW,4
14,HORVAT Bo,F,1.0,0.0,1.0,0.0,2.0,1.0,9:54,19.0,0.0,0.0,0.0,4,can,cze-can,2026,0.0,C,4
27,THEODORE Shea,D,0.0,0.0,0.0,0.0,2.0,0.0,15:25,23.0,0.0,0.0,0.0,4,can,cze-can,2026,0.0,LD,4
63,MARCHAND Brad,F,0.0,1.0,1.0,0.0,2.0,1.0,9:29,15.0,0.0,0.0,0.0,4,can,cze-can,2026,0.0,LW,4
9,BENNETT Sam,F,0.0,0.0,0.0,0.0,1.0,0.0,7:19,11.0,0.0,0.0,0.0,4,can,cze-can,2026,0.0,LW,5
48,THOMPSON Logan,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,can,cze-can,2026,0.0,GK,2
50,BINNINGTON Jordan,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,can,cze-can,2026,0.0,GK,1
48,THOMPSON Logan,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,can,cze-can,2026,0.0,GK,2
50,BINNINGTON Jordan,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,26.0,0.0,26.0,4,can,cze-can,2026,0.0,GK,1
