j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
6,HUOT-MARCHAND Margot,F,0.0,0.0,0.0,0.0,3.0,-1.0,20:07,28.0,0.0,0.0,0.0,5,fra,fra-jpn,2026,0.0,LW,1
10,LECLERC Sophie,D,0.0,0.0,0.0,0.0,0.0,-1.0,19:50,26.0,0.0,0.0,0.0,5,fra,fra-jpn,2026,0.0,RD,1
11,VILLIOT Lea,D,0.0,0.0,0.0,0.0,1.0,-1.0,17:23,25.0,0.0,0.0,0.0,5,fra,fra-jpn,2026,0.0,LD,1
12,DUVIN Estelle,F,0.0,1.0,1.0,0.0,1.0,-2.0,21:15,28.0,0.0,0.0,0.0,5,fra,fra-jpn,2026,0.0,C,1
16,ROZIER Clara,F,0.0,0.0,0.0,0.0,0.0,-2.0,20:13,25.0,0.0,0.0,0.0,5,fra,fra-jpn,2026,0.0,RW,1
7,QUARTO Lucie,D,0.0,0.0,0.0,0.0,0.0,0.0,14:00,21.0,0.0,0.0,0.0,5,fra,fra-jpn,2026,0.0,RD,2
8,BARBIRATI Jade,F,0.0,0.0,0.0,0.0,3.0,0.0,17:01,20.0,0.0,0.0,0.0,5,fra,fra-jpn,2026,0.0,C,2
17,AURARD-BUSHEE Chloe,F,0.0,1.0,1.0,0.0,2.0,-1.0,22:02,24.0,0.0,0.0,0.0,5,fra,fra-jpn,2026,0.0,RW,2
22,le SCODAN Manon,F,0.0,1.0,1.0,0.0,3.0,0.0,18:43,22.0,0.0,0.0,0.0,5,fra,fra-jpn,2026,0.0,LW,2
91,ZILLIOX Elina,D,0.0,0.0,0.0,2.0,1.0,0.0,11:34,21.0,0.0,0.0,0.0,5,fra,fra-jpn,2026,0.0,LD,2
5,de SERRES Gabrielle,D,1.0,0.0,1.0,0.0,1.0,-2.0,29:35,26.0,0.0,0.0,0.0,5,fra,fra-jpn,2026,0.0,LD,3
13,PELISSOU Marie-Pierre,D,0.0,0.0,0.0,0.0,0.0,0.0,27:34,27.0,0.0,0.0,0.0,5,fra,fra-jpn,2026,0.0,RD,3
19,BAUDRIT Lore,F,1.0,0.0,1.0,0.0,2.0,0.0,17:55,22.0,0.0,0.0,0.0,5,fra,fra-jpn,2026,0.0,C,3
44,PEYNE--DINGIVAL Anais,F,0.0,1.0,1.0,0.0,0.0,0.0,14:19,18.0,0.0,0.0,0.0,5,fra,fra-jpn,2026,0.0,LW,3
85,BOUDIN Clemence,F,0.0,0.0,0.0,0.0,1.0,0.0,8:36,11.0,0.0,0.0,0.0,5,fra,fra-jpn,2026,0.0,RW,3
21,MESPLEDE Julia,F,0.0,0.0,0.0,0.0,4.0,-1.0,10:28,13.0,0.0,0.0,0.0,5,fra,fra-jpn,2026,0.0,C,4
