j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
22,VILMANIS Sandis,F,0.0,0.0,0.0,0.0,1.0,-1.0,15:40,20.0,0.0,0.0,0.0,5,lat,lat-usa,2026,0.0,LW,1
26,BALINSKIS Uvis Janis,D,0.0,0.0,0.0,0.0,2.0,1.0,24:13,26.0,0.0,0.0,0.0,5,lat,lat-usa,2026,0.0,RD,1
28,GIRGENSONS Zemgus,F,0.0,1.0,1.0,0.0,0.0,0.0,19:19,25.0,0.0,0.0,0.0,5,lat,lat-usa,2026,0.0,C,1
34,TRALMAKS Eduards,F,0.0,0.0,0.0,2.0,2.0,0.0,16:36,21.0,0.0,0.0,0.0,5,lat,lat-usa,2026,0.0,RW,1
94,RUBINS Kristians,D,0.0,0.0,0.0,0.0,1.0,-1.0,17:38,27.0,0.0,0.0,0.0,5,lat,lat-usa,2026,0.0,LD,1
13,BUKARTS Rihards,F,0.0,0.0,0.0,0.0,1.0,-1.0,10:53,15.0,0.0,0.0,0.0,5,lat,lat-usa,2026,0.0,LW,2
21,BALCERS Rudolfs,F,0.0,0.0,0.0,0.0,0.0,-1.0,12:41,18.0,0.0,0.0,0.0,5,lat,lat-usa,2026,0.0,RW,2
23,BLUGERS Teodors,F,0.0,0.0,0.0,0.0,0.0,-1.0,15:04,24.0,0.0,0.0,0.0,5,lat,lat-usa,2026,0.0,C,2
72,JAKS Janis,D,0.0,0.0,0.0,0.0,2.0,0.0,18:57,24.0,0.0,0.0,0.0,5,lat,lat-usa,2026,0.0,LD,2
77,ZILE Kristaps Roberts,D,0.0,0.0,0.0,0.0,0.0,-1.0,16:24,25.0,0.0,0.0,0.0,5,lat,lat-usa,2026,0.0,RD,2
3,SMITS Alberts,D,0.0,0.0,0.0,0.0,1.0,-1.0,17:57,22.0,0.0,0.0,0.0,5,lat,lat-usa,2026,0.0,LD,3
9,KRASTENBERGS Renars,F,1.0,0.0,1.0,2.0,3.0,1.0,19:40,20.0,0.0,0.0,0.0,5,lat,lat-usa,2026,0.0,LW,3
11,LOCMELIS Dans,F,0.0,0.0,0.0,0.0,1.0,0.0,14:18,20.0,0.0,0.0,0.0,5,lat,lat-usa,2026,0.0,C,3
16,DAUGAVINS Kaspars,F,0.0,0.0,0.0,2.0,1.0,0.0,12:42,18.0,0.0,0.0,0.0,5,lat,lat-usa,2026,0.0,RW,3
55,MAMCICS Roberts,D,0.0,0.0,0.0,2.0,0.0,-2.0,17:27,24.0,0.0,0.0,0.0,5,lat,lat-usa,2026,0.0,RD,3
17,DZIERKALS Martins,F,0.0,0.0,0.0,0.0,2.0,-1.0,11:39,19.0,0.0,0.0,0.0,5,lat,lat-usa,2026,0.0,RW,4
29,FREIBERGS Ralfs,D,0.0,0.0,0.0,0.0,1.0,0.0,4:23,8.0,0.0,0.0,0.0,5,lat,lat-usa,2026,0.0,LD,4
43,RAVINSKIS Anri,F,0.0,0.0,0.0,0.0,0.0,-1.0,5:40,9.0,0.0,0.0,0.0,5,lat,lat-usa,2026,0.0,LW,4
95,BATNA Oskars,F,0.0,0.0,0.0,0.0,0.0,-1.0,18:02,22.0,0.0,0.0,0.0,5,lat,lat-usa,2026,0.0,C,4
97,EGLE Haralds,F,0.0,0.0,0.0,0.0,0.0,0.0,6:57,5.0,0.0,0.0,0.0,5,lat,lat-usa,2026,0.0,LW,5
30,MERZLIKINS Elvis,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5,lat,lat-usa,2026,0.0,GK,1
31,SILOVS Arturs,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5,lat,lat-usa,2026,0.0,GK,2
30,MERZLIKINS Elvis,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,32.0,4.0,28.0,5,lat,lat-usa,2026,0.0,GK,1
31,SILOVS Arturs,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,1.0,5.0,5,lat,lat-usa,2026,0.0,GK,2
7,TKACHUK Brady,F,1.0,0.0,1.0,0.0,3.0,1.0,15:33,20.0,0.0,0.0,0.0,5,usa,lat-usa,2026,0.0,LW,1
9,EICHEL Jack,F,0.0,2.0,2.0,0.0,3.0,0.0,18:13,21.0,0.0,0.0,0.0,5,usa,lat-usa,2026,0.0,C,1
19,TKACHUK Matthew,F,0.0,2.0,2.0,0.0,4.0,2.0,17:55,22.0,0.0,0.0,0.0,5,usa,lat-usa,2026,0.0,RW,1
25,McAVOY Charlie,D,0.0,0.0,0.0,0.0,3.0,1.0,18:10,26.0,0.0,0.0,0.0,5,usa,lat-usa,2026,0.0,RD,1
43,HUGHES Quinn,D,0.0,2.0,2.0,0.0,1.0,1.0,21:29,28.0,0.0,0.0,0.0,5,usa,lat-usa,2026,0.0,LD,1
12,BOLDY Matt,F,0.0,0.0,0.0,0.0,1.0,-1.0,14:21,20.0,0.0,0.0,0.0,5,usa,lat-usa,2026,0.0,RW,2
14,FABER Brock,D,0.0,0.0,0.0,4.0,2.0,0.0,16:59,28.0,0.0,0.0,0.0,5,usa,lat-usa,2026,0.0,RD,2
34,MATTHEWS Auston,F,1.0,0.0,1.0,0.0,4.0,0.0,15:44,19.0,0.0,0.0,0.0,5,usa,lat-usa,2026,0.0,C,2
59,GUENTZEL Jake,F,0.0,0.0,0.0,2.0,2.0,-1.0,13:20,20.0,0.0,0.0,0.0,5,usa,lat-usa,2026,0.0,LW,2
74,SLAVIN Jaccob,D,0.0,0.0,0.0,0.0,1.0,-1.0,15:03,23.0,0.0,0.0,0.0,5,usa,lat-usa,2026,0.0,LD,2
8,WERENSKI Zach,D,0.0,1.0,1.0,0.0,3.0,1.0,17:15,21.0,0.0,0.0,0.0,5,usa,lat-usa,2026,0.0,LD,3
21,LARKIN Dylan,F,0.0,0.0,0.0,2.0,1.0,0.0,13:52,22.0,0.0,0.0,0.0,5,usa,lat-usa,2026,0.0,C,3
72,THOMPSON Tage,F,1.0,0.0,1.0,0.0,3.0,0.0,11:34,15.0,0.0,0.0,0.0,5,usa,lat-usa,2026,0.0,RW,3
81,CONNOR Kyle,F,0.0,0.0,0.0,0.0,0.0,0.0,11:20,16.0,0.0,0.0,0.0,5,usa,lat-usa,2026,0.0,LW,3
85,SANDERSON Jake,D,0.0,0.0,0.0,0.0,2.0,0.0,16:18,22.0,0.0,0.0,0.0,5,usa,lat-usa,2026,0.0,RD,3
10,MILLER JT,F,0.0,0.0,0.0,0.0,0.0,0.0,12:12,22.0,0.0,0.0,0.0,5,usa,lat-usa,2026,0.0,LW,4
15,HANIFIN Noah,D,0.0,0.0,0.0,0.0,0.0,2.0,11:01,14.0,0.0,0.0,0.0,5,usa,lat-usa,2026,0.0,LD,4
29,NELSON Brock,F,2.0,0.0,2.0,0.0,3.0,2.0,13:25,21.0,0.0,0.0,0.0,5,usa,lat-usa,2026,1.0,C,4
86,HUGHES Jack,F,0.0,2.0,2.0,0.0,1.0,2.0,11:14,16.0,0.0,0.0,0.0,5,usa,lat-usa,2026,0.0,RW,4
16,TROCHECK Vincent,F,0.0,1.0,1.0,0.0,1.0,1.0,9:11,14.0,0.0,0.0,0.0,5,usa,lat-usa,2026,0.0,LW,5
1,SWAYMAN Jeremy,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5,usa,lat-usa,2026,0.0,GK,2
37,HELLEBUYCK Connor,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5,usa,lat-usa,2026,0.0,GK,1
1,SWAYMAN Jeremy,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5,usa,lat-usa,2026,0.0,GK,2
37,HELLEBUYCK Connor,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,18.0,1.0,17.0,5,usa,lat-usa,2026,0.0,GK,1
