j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
4,PEJSOVA Daniela,D,0.0,0.0,0.0,0.0,1.0,1.0,19:57,29.0,0.0,0.0,0.0,6,cze,cze-sui,2026,0.0,LD,1
16,MRAZOVA Katerina,F,0.0,1.0,1.0,0.0,2.0,0.0,19:07,27.0,0.0,0.0,0.0,6,cze,cze-sui,2026,0.0,C,1
19,MLYNKOVA Natalie,F,1.0,0.0,1.0,0.0,4.0,0.0,18:53,26.0,0.0,0.0,0.0,6,cze,cze-sui,2026,0.0,RW,1
21,VANISOVA Tereza,F,0.0,0.0,0.0,0.0,3.0,0.0,19:08,25.0,0.0,0.0,0.0,6,cze,cze-sui,2026,0.0,LW,1
28,NEUBAUEROVA Noemi,D,0.0,0.0,0.0,0.0,0.0,-1.0,16:02,26.0,0.0,0.0,0.0,6,cze,cze-sui,2026,0.0,RD,1
2,TEJRALOVA Aneta,D,0.0,0.0,0.0,0.0,2.0,0.0,21:59,28.0,0.0,0.0,0.0,6,cze,cze-sui,2026,0.0,LD,2
8,PISTEKOVA Tereza,F,0.0,0.0,0.0,0.0,3.0,1.0,15:19,21.0,0.0,0.0,0.0,6,cze,cze-sui,2026,0.0,C,2
10,KRIZOVA Denisa,F,0.0,0.0,0.0,0.0,1.0,1.0,14:35,20.0,0.0,0.0,0.0,6,cze,cze-sui,2026,0.0,LW,2
15,TRNKOVA Andrea,D,0.0,0.0,0.0,2.0,2.0,0.0,12:39,16.0,0.0,0.0,0.0,6,cze,cze-sui,2026,0.0,RD,2
22,PLOSOVA Tereza,F,1.0,0.0,1.0,0.0,2.0,1.0,13:15,19.0,0.0,0.0,0.0,6,cze,cze-sui,2026,0.0,RW,2
3,SAPOVALIVOVA Adela,F,0.0,1.0,1.0,0.0,3.0,0.0,18:52,23.0,0.0,0.0,0.0,6,cze,cze-sui,2026,0.0,LW,3
12,HYMLAROVA Klara,F,0.0,1.0,1.0,0.0,1.0,0.0,17:52,25.0,0.0,0.0,0.0,6,cze,cze-sui,2026,0.0,RW,3
14,LASKOVA Dominika,D,0.0,0.0,0.0,0.0,2.0,2.0,18:06,21.0,0.0,0.0,0.0,6,cze,cze-sui,2026,0.0,RD,3
24,CAJANOVA Sara,D,0.0,0.0,0.0,2.0,1.0,1.0,20:39,28.0,0.0,0.0,0.0,6,cze,cze-sui,2026,0.0,LD,3
98,KALTOUNKOVA Kristyna,F,1.0,0.0,1.0,0.0,4.0,0.0,20:17,23.0,0.0,0.0,0.0,6,cze,cze-sui,2026,0.0,C,3
6,VOCETKOVA Linda,F,0.0,0.0,0.0,0.0,2.0,0.0,10:52,14.0,0.0,0.0,0.0,6,cze,cze-sui,2026,0.0,RW,4
7,SEROISZKOVA Klara,D,0.0,0.0,0.0,0.0,1.0,-1.0,13:41,26.0,0.0,0.0,0.0,6,cze,cze-sui,2026,0.0,LD,4
20,JURICKOVA Barbora,F,0.0,0.0,0.0,0.0,2.0,0.0,10:58,17.0,0.0,0.0,0.0,6,cze,cze-sui,2026,0.0,LW,4
26,PRIBYLOVA Vendula,F,0.0,0.0,0.0,0.0,0.0,0.0,9:53,15.0,0.0,0.0,0.0,6,cze,cze-sui,2026,0.0,C,4
1,HESOVA Michaela,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6,cze,cze-sui,2026,0.0,GK,1
29,PESLAROVA Klara,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6,cze,cze-sui,2026,0.0,GK,2
1,HESOVA Michaela,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,30.0,3.0,27.0,6,cze,cze-sui,2026,0.0,GK,1
29,PESLAROVA Klara,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6,cze,cze-sui,2026,0.0,GK,2
7,STALDER Lara,F,0.0,1.0,1.0,0.0,4.0,1.0,22:32,30.0,0.0,0.0,0.0,6,sui,cze-sui,2026,1.0,RW,1
17,CHRISTEN Lara,D,1.0,0.0,1.0,0.0,1.0,2.0,24:26,36.0,0.0,0.0,0.0,6,sui,cze-sui,2026,0.0,RD,1
21,ENZLER Rahel,F,0.0,1.0,1.0,0.0,3.0,1.0,17:52,24.0,0.0,0.0,0.0,6,sui,cze-sui,2026,0.0,LW,1
25,MULLER Alina,F,1.0,1.0,2.0,0.0,5.0,0.0,23:56,33.0,0.0,0.0,0.0,6,sui,cze-sui,2026,0.0,C,1
82,BAECHLER Alessia,D,0.0,0.0,0.0,0.0,0.0,2.0,24:26,33.0,0.0,0.0,0.0,6,sui,cze-sui,2026,0.0,LD,1
11,ZIMMERMANN Laura,F,1.0,0.0,1.0,0.0,3.0,1.0,14:14,24.0,0.0,0.0,0.0,6,sui,cze-sui,2026,0.0,RW,2
13,WEY Ivana,F,0.0,1.0,1.0,0.0,4.0,1.0,20:30,27.0,0.0,0.0,0.0,6,sui,cze-sui,2026,0.0,C,2
15,MERIGUET Laure,D,0.0,0.0,0.0,0.0,0.0,-1.0,9:34,14.0,0.0,0.0,0.0,6,sui,cze-sui,2026,0.0,RD,2
16,VALLARIO Nicole,D,0.0,0.0,0.0,0.0,1.0,-1.0,22:38,33.0,0.0,0.0,0.0,6,sui,cze-sui,2026,0.0,LD,2
28,MARTI Alina,F,0.0,0.0,0.0,0.0,1.0,1.0,17:57,26.0,0.0,0.0,0.0,6,sui,cze-sui,2026,0.0,LW,2
9,SIGRIST Shannon,D,0.0,0.0,0.0,0.0,0.0,-2.0,14:33,23.0,0.0,0.0,0.0,6,sui,cze-sui,2026,0.0,RD,3
18,WETLI Stefanie,D,0.0,0.0,0.0,0.0,0.0,-2.0,14:41,27.0,0.0,0.0,0.0,6,sui,cze-sui,2026,0.0,LD,3
22,LEEMANN Sinja,F,0.0,0.0,0.0,2.0,1.0,-2.0,14:13,27.0,0.0,0.0,0.0,6,sui,cze-sui,2026,0.0,C,3
53,SCHAEFER Vanessa,F,0.0,0.0,0.0,0.0,0.0,-1.0,11:10,18.0,0.0,0.0,0.0,6,sui,cze-sui,2026,0.0,LW,3
71,LUTZ Lena Marie,F,0.0,0.0,0.0,0.0,0.0,-2.0,13:32,22.0,0.0,0.0,0.0,6,sui,cze-sui,2026,0.0,RW,3
2,BUCHI Annic,D,0.0,0.0,0.0,0.0,3.0,0.0,8:41,16.0,0.0,0.0,0.0,6,sui,cze-sui,2026,0.0,LD,4
8,QUENNEC Kaleigh,F,0.0,0.0,0.0,0.0,1.0,-1.0,6:04,13.0,0.0,0.0,0.0,6,sui,cze-sui,2026,0.0,RW,4
26,HERZIG Naemi,F,0.0,0.0,0.0,0.0,2.0,-1.0,14:24,22.0,0.0,0.0,0.0,6,sui,cze-sui,2026,0.0,C,4
68,BALZER Leoni,F,0.0,0.0,0.0,0.0,1.0,-1.0,11:48,17.0,0.0,0.0,0.0,6,sui,cze-sui,2026,0.0,LW,4
12,RUEDI Lisa,F,0.0,0.0,0.0,0.0,0.0,0.0,3:25,6.0,0.0,0.0,0.0,6,sui,cze-sui,2026,0.0,LW,5
29,MAURER Saskia,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6,sui,cze-sui,2026,0.0,GK,1
70,WAGNER Monja,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6,sui,cze-sui,2026,0.0,GK,2
29,MAURER Saskia,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,36.0,3.0,33.0,6,sui,cze-sui,2026,0.0,GK,1
