j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
29,DRAISAITL Leon,F,1.0,1.0,2.0,0.0,3.0,0.0,21:46,29.0,0.0,0.0,0.0,6,ger,ger-den,2026,0.0,C,1
38,WAGNER Fabio,D,0.0,1.0,1.0,0.0,1.0,1.0,19:55,29.0,0.0,0.0,0.0,6,ger,ger-den,2026,0.0,LD,1
44,SAMANSKI Joshua,F,0.0,0.0,0.0,0.0,1.0,0.0,21:23,28.0,0.0,0.0,0.0,6,ger,ger-den,2026,0.0,LW,1
53,SEIDER Moritz,D,0.0,1.0,1.0,0.0,1.0,1.0,26:18,29.0,0.0,0.0,0.0,6,ger,ger-den,2026,0.0,RD,1
95,TIFFELS Frederik,F,0.0,1.0,1.0,0.0,5.0,1.0,18:09,26.0,0.0,0.0,0.0,6,ger,ger-den,2026,0.0,RW,1
6,WISSMANN Kai,D,0.0,0.0,0.0,0.0,2.0,0.0,21:35,29.0,0.0,0.0,0.0,6,ger,ger-den,2026,0.0,RD,2
18,STUTZLE Tim,F,2.0,0.0,2.0,0.0,3.0,1.0,16:49,20.0,0.0,0.0,0.0,6,ger,ger-den,2026,1.0,C,2
19,STACHOWIAK Wojciech,F,0.0,1.0,1.0,0.0,0.0,1.0,16:28,20.0,0.0,0.0,0.0,6,ger,ger-den,2026,0.0,RW,2
41,MULLER Jonas,D,0.0,0.0,0.0,0.0,0.0,0.0,18:19,27.0,0.0,0.0,0.0,6,ger,ger-den,2026,0.0,LD,2
77,PETERKA John,F,0.0,1.0,1.0,0.0,3.0,1.0,17:09,20.0,0.0,0.0,0.0,6,ger,ger-den,2026,0.0,LW,2
9,GAWANKE Leon,D,0.0,0.0,0.0,0.0,0.0,0.0,13:18,20.0,0.0,0.0,0.0,6,ger,ger-den,2026,0.0,RD,3
49,KALBLE Lukas,D,0.0,0.0,0.0,0.0,4.0,0.0,14:55,22.0,0.0,0.0,0.0,6,ger,ger-den,2026,0.0,LD,3
65,MICHAELIS Marc,F,0.0,0.0,0.0,0.0,0.0,0.0,11:46,16.0,0.0,0.0,0.0,6,ger,ger-den,2026,0.0,C,3
72,KAHUN Dominik,F,0.0,0.0,0.0,0.0,1.0,0.0,14:16,19.0,0.0,0.0,0.0,6,ger,ger-den,2026,0.0,RW,3
73,REICHEL Lukas,F,0.0,0.0,0.0,0.0,1.0,-1.0,14:38,19.0,0.0,0.0,0.0,6,ger,ger-den,2026,0.0,LW,3
8,RIEDER Tobias,F,0.0,0.0,0.0,0.0,0.0,0.0,8:11,15.0,0.0,0.0,0.0,6,ger,ger-den,2026,0.0,LW,4
40,EHL Alexander,F,0.0,0.0,0.0,0.0,1.0,0.0,9:51,14.0,0.0,0.0,0.0,6,ger,ger-den,2026,0.0,RW,4
78,STURM Nico,F,0.0,0.0,0.0,0.0,0.0,0.0,12:13,19.0,0.0,0.0,0.0,6,ger,ger-den,2026,0.0,C,4
91,MULLER Moritz,D,0.0,0.0,0.0,0.0,0.0,0.0,3:33,5.0,0.0,0.0,0.0,6,ger,ger-den,2026,0.0,LD,4
