j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
23,LINDELL Esa,D,0.0,1.0,1.0,0.0,4.0,1.0,28:38,29.0,0.0,0.0,0.0,7,fin,fin-swe,2026,0.0,RD,1
24,HINTZ Roope,F,0.0,1.0,1.0,2.0,1.0,1.0,15:45,22.0,0.0,0.0,0.0,7,fin,fin-swe,2026,0.0,C,1
41,HEISKANEN Miro,D,0.0,0.0,0.0,2.0,0.0,0.0,27:50,24.0,0.0,0.0,0.0,7,fin,fin-swe,2026,0.0,LD,1
64,GRANLUND Mikael,F,0.0,1.0,1.0,0.0,1.0,1.0,16:32,20.0,0.0,0.0,0.0,7,fin,fin-swe,2026,0.0,LW,1
96,RANTANEN Mikko,F,1.0,0.0,1.0,2.0,4.0,1.0,17:31,18.0,0.0,0.0,0.0,7,fin,fin-swe,2026,0.0,RW,1
20,AHO Sebastian,F,0.0,0.0,0.0,0.0,0.0,0.0,17:53,22.0,0.0,0.0,0.0,7,fin,fin-swe,2026,0.0,C,2
55,RISTOLAINEN Rasmus,D,0.0,0.0,0.0,2.0,1.0,3.0,19:58,25.0,0.0,0.0,0.0,7,fin,fin-swe,2026,0.0,RD,2
62,LEHKONEN Artturi,F,0.0,0.0,0.0,0.0,0.0,0.0,14:07,20.0,0.0,0.0,0.0,7,fin,fin-swe,2026,0.0,LW,2
77,MIKKOLA Niko,D,0.0,1.0,1.0,2.0,2.0,2.0,17:17,23.0,0.0,0.0,0.0,7,fin,fin-swe,2026,0.0,LD,2
86,TERAVAINEN Teuvo,F,0.0,0.0,0.0,0.0,1.0,0.0,13:53,20.0,0.0,0.0,0.0,7,fin,fin-swe,2026,0.0,RW,2
3,MAATTA Olli,D,0.0,1.0,1.0,0.0,1.0,1.0,11:37,19.0,0.0,0.0,0.0,7,fin,fin-swe,2026,0.0,LD,3
15,LUNDELL Anton,F,1.0,0.0,1.0,2.0,2.0,2.0,18:42,22.0,0.0,0.0,0.0,7,fin,fin-swe,2026,1.0,C,3
