j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
8,HARK Ronja,D,0.0,2.0,2.0,0.0,0.0,3.0,19:52,28.0,0.0,0.0,0.0,7,ger,ger-jpn,2026,0.0,RD,1
11,HADRASCHEK Nicola,F,2.0,1.0,3.0,0.0,4.0,3.0,20:14,26.0,0.0,0.0,0.0,7,ger,ger-jpn,2026,1.0,LW,1
17,NIX Emily,F,1.0,1.0,2.0,0.0,3.0,5.0,18:15,25.0,0.0,0.0,0.0,7,ger,ger-jpn,2026,0.0,RW,1
20,GLEISSNER Daria,D,1.0,1.0,2.0,2.0,1.0,4.0,19:43,28.0,0.0,0.0,0.0,7,ger,ger-jpn,2026,0.0,LD,1
25,KLUGE Laura,F,1.0,3.0,4.0,0.0,1.0,5.0,19:41,27.0,0.0,0.0,0.0,7,ger,ger-jpn,2026,0.0,C,1
9,VOIGT Svenja,F,0.0,0.0,0.0,0.0,0.0,0.0,18:48,26.0,0.0,0.0,0.0,7,ger,ger-jpn,2026,0.0,LW,2
13,WELCKE Luisa,F,0.0,1.0,1.0,0.0,4.0,0.0,20:49,27.0,0.0,0.0,0.0,7,ger,ger-jpn,2026,0.0,RW,2
14,STROBEL Carina,D,0.0,0.0,0.0,2.0,2.0,0.0,23:49,28.0,0.0,0.0,0.0,7,ger,ger-jpn,2026,0.0,LD,2
23,WELCKE Lilli,F,0.0,0.0,0.0,0.0,2.0,-1.0,22:18,25.0,0.0,0.0,0.0,7,ger,ger-jpn,2026,0.0,C,2
28,JOBST-SMITH Katarina,D,0.0,0.0,0.0,0.0,3.0,0.0,26:14,28.0,0.0,0.0,0.0,7,ger,ger-jpn,2026,0.0,RD,2
5,SCHAFFRATH Charlott,D,0.0,0.0,0.0,0.0,1.0,0.0,16:14,21.0,0.0,0.0,0.0,7,ger,ger-jpn,2026,0.0,LD,3
