j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
10,GAZLEY Dustin,F,1.0,1.0,2.0,0.0,4.0,0.0,18:56,25.0,0.0,0.0,0.0,8,ita,ita-svk,2026,0.0,RW,1
13,BRADLEY Matt,F,1.0,0.0,1.0,0.0,3.0,0.0,19:45,23.0,0.0,0.0,0.0,8,ita,ita-svk,2026,0.0,C,1
27,LARKIN Thomas,D,0.0,1.0,1.0,2.0,0.0,0.0,18:02,22.0,0.0,0.0,0.0,8,ita,ita-svk,2026,0.0,RD,1
36,DIGIACINTO Cristiano,F,0.0,0.0,0.0,2.0,1.0,0.0,20:14,23.0,0.0,0.0,0.0,8,ita,ita-svk,2026,0.0,LW,1
53,TRIVELLATO Alex,D,0.0,0.0,0.0,0.0,0.0,-1.0,17:00,20.0,0.0,0.0,0.0,8,ita,ita-svk,2026,0.0,LD,1
18,SARACINO Nicholas,F,0.0,0.0,0.0,0.0,1.0,0.0,14:19,21.0,0.0,0.0,0.0,8,ita,ita-svk,2026,0.0,LW,2
37,PIETRONIRO Phil,D,0.0,2.0,2.0,0.0,1.0,1.0,19:44,22.0,0.0,0.0,0.0,8,ita,ita-svk,2026,0.0,RD,2
55,ZANATTA Luca,D,0.0,0.0,0.0,0.0,1.0,0.0,16:23,19.0,0.0,0.0,0.0,8,ita,ita-svk,2026,0.0,LD,2
67,FRYCKLUND Mats,F,0.0,0.0,0.0,0.0,2.0,-1.0,17:45,27.0,0.0,0.0,0.0,8,ita,ita-svk,2026,0.0,C,2
88,de LUCA Tommaso,F,0.0,0.0,0.0,0.0,4.0,0.0,13:37,19.0,0.0,0.0,0.0,8,ita,ita-svk,2026,0.0,RW,2
9,MANTENUTO Daniel,F,0.0,0.0,0.0,0.0,0.0,-1.0,14:11,22.0,0.0,0.0,0.0,8,ita,ita-svk,2026,0.0,C,3
21,GLIRA Daniel,D,0.0,0.0,0.0,0.0,0.0,0.0,9:46,13.0,0.0,0.0,0.0,8,ita,ita-svk,2026,0.0,LD,3
34,PURDELLER Tommy,F,0.0,0.0,0.0,2.0,1.0,0.0,11:55,17.0,0.0,0.0,0.0,8,ita,ita-svk,2026,0.0,RW,3
