j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
5,GUEBEY Enzo,D,0.0,0.0,0.0,2.0,0.0,-2.0,18:32,25.0,0.0,0.0,0.0,9,fra,fra-cze,2026,0.0,RD,1
14,da COSTA Stephane,F,0.0,1.0,1.0,0.0,2.0,-2.0,17:14,23.0,0.0,0.0,0.0,9,fra,fra-cze,2026,0.0,LW,1
18,AUVITU Yohann,D,0.0,1.0,1.0,2.0,0.0,0.0,15:28,20.0,0.0,0.0,0.0,9,fra,fra-cze,2026,0.0,LD,1
41,BELLEMARE Pierre-Edouard,F,0.0,0.0,0.0,0.0,2.0,-2.0,18:52,25.0,0.0,0.0,0.0,9,fra,fra-cze,2026,0.0,C,1
78,FABRE Dylan,F,0.0,0.0,0.0,0.0,1.0,0.0,14:20,21.0,0.0,0.0,0.0,9,fra,fra-cze,2026,0.0,RW,1
8,GALLET Hugo,D,1.0,0.0,1.0,0.0,1.0,-2.0,21:57,31.0,0.0,0.0,0.0,9,fra,fra-cze,2026,0.0,RD,2
27,BOSCQ Jules,D,0.0,0.0,0.0,0.0,2.0,-4.0,19:06,26.0,0.0,0.0,0.0,9,fra,fra-cze,2026,0.0,LD,2
29,BOUDON Louis,F,2.0,1.0,3.0,0.0,2.0,0.0,17:56,23.0,0.0,0.0,0.0,9,fra,fra-cze,2026,0.0,C,2
85,TEXIER Alexandre,F,0.0,0.0,0.0,0.0,1.0,-2.0,20:45,26.0,0.0,0.0,0.0,9,fra,fra-cze,2026,0.0,LW,2
90,DAIR Aurelien,F,0.0,0.0,0.0,0.0,0.0,0.0,3:35,5.0,0.0,0.0,0.0,9,fra,fra-cze,2026,0.0,RW,2
3,BERTRAND Charles,F,0.0,2.0,2.0,0.0,1.0,-1.0,14:00,20.0,0.0,0.0,0.0,9,fra,fra-cze,2026,0.0,RW,3
19,CANTAGALLO Enzo,D,0.0,0.0,0.0,0.0,0.0,1.0,6:41,9.0,0.0,0.0,0.0,9,fra,fra-cze,2026,0.0,RD,3
25,RITZ Nicolas,F,0.0,0.0,0.0,0.0,0.0,-1.0,8:30,15.0,0.0,0.0,0.0,9,fra,fra-cze,2026,0.0,C,3
62,CHAKIACHVILI Florian,D,0.0,0.0,0.0,0.0,0.0,1.0,19:37,22.0,0.0,0.0,0.0,9,fra,fra-cze,2026,0.0,LD,3
81,RECH Anthony,F,0.0,0.0,0.0,0.0,0.0,-2.0,9:48,16.0,0.0,0.0,0.0,9,fra,fra-cze,2026,0.0,LW,3
7,CRINON Pierre,D,0.0,0.0,0.0,2.0,0.0,0.0,16:21,20.0,0.0,0.0,0.0,9,fra,fra-cze,2026,0.0,LD,4
24,ADDAMO Justin,F,0.0,0.0,0.0,0.0,0.0,0.0,14:27,20.0,0.0,0.0,0.0,9,fra,fra-cze,2026,0.0,C,4
77,TREILLE Sacha,F,0.0,0.0,0.0,0.0,0.0,1.0,15:08,17.0,0.0,0.0,0.0,9,fra,fra-cze,2026,0.0,RW,4
91,DOUAY Floran,F,0.0,0.0,0.0,0.0,0.0,0.0,15:06,18.0,0.0,0.0,0.0,9,fra,fra-cze,2026,0.0,LW,4
95,BOZON Kevin,F,0.0,0.0,0.0,0.0,0.0,0.0,7:07,11.0,0.0,0.0,0.0,9,fra,fra-cze,2026,0.0,LW,5
33,JUNCA Julian,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,fra,fra-cze,2026,0.0,GK,2
36,NECKAR Martin,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,fra,fra-cze,2026,0.0,GK,1
