j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
5,KELLER Megan,D,1.0,2.0,3.0,0.0,3.0,2.0,20:53,24.0,0.0,0.0,0.0,9,usa,usa-fin,2026,0.0,LD,1
10,EDWARDS Laila,D,0.0,2.0,2.0,0.0,1.0,1.0,20:45,23.0,0.0,0.0,0.0,9,usa,usa-fin,2026,0.0,RD,1
21,KNIGHT Hilary,F,1.0,0.0,1.0,0.0,3.0,0.0,14:53,15.0,0.0,0.0,0.0,9,usa,usa-fin,2026,0.0,RW,1
23,BILKA Hannah,F,0.0,0.0,0.0,0.0,4.0,0.0,15:12,17.0,0.0,0.0,0.0,9,usa,usa-fin,2026,0.0,LW,1
25,CARPENTER Alex,F,1.0,0.0,1.0,0.0,3.0,0.0,15:00,17.0,0.0,0.0,0.0,9,usa,usa-fin,2026,1.0,C,1
4,HARVEY Caroline,D,0.0,1.0,1.0,0.0,9.0,1.0,25:03,28.0,0.0,0.0,0.0,9,usa,usa-fin,2026,0.0,LD,2
8,WINN Haley,D,0.0,0.0,0.0,0.0,3.0,1.0,16:10,18.0,0.0,0.0,0.0,9,usa,usa-fin,2026,0.0,RD,2
17,CURL Britta,F,0.0,2.0,2.0,0.0,1.0,2.0,11:28,19.0,0.0,0.0,0.0,9,usa,usa-fin,2026,0.0,LW,2
27,HEISE Taylor,F,1.0,0.0,1.0,0.0,2.0,2.0,17:17,22.0,0.0,0.0,0.0,9,usa,usa-fin,2026,0.0,C,2
37,MURPHY Abbey,F,1.0,1.0,2.0,0.0,3.0,2.0,13:01,19.0,0.0,0.0,0.0,9,usa,usa-fin,2026,0.0,RW,2
2,STECKLEIN Lee,D,0.0,0.0,0.0,0.0,1.0,0.0,12:40,17.0,0.0,0.0,0.0,9,usa,usa-fin,2026,0.0,LD,3
3,BARNES Cayla,D,0.0,0.0,0.0,0.0,0.0,1.0,15:55,22.0,0.0,0.0,0.0,9,usa,usa-fin,2026,0.0,RD,3
9,SIMMS Kirsten,F,0.0,0.0,0.0,0.0,0.0,0.0,14:36,18.0,0.0,0.0,0.0,9,usa,usa-fin,2026,0.0,RW,3
12,PANNEK Kelly,F,0.0,0.0,0.0,0.0,2.0,1.0,14:31,19.0,0.0,0.0,0.0,9,usa,usa-fin,2026,0.0,C,3
26,COYNE Kendall,F,0.0,0.0,0.0,0.0,3.0,1.0,16:03,20.0,0.0,0.0,0.0,9,usa,usa-fin,2026,0.0,LW,3
6,GUILDAY Rory,D,0.0,0.0,0.0,0.0,0.0,0.0,5:00,7.0,0.0,0.0,0.0,9,usa,usa-fin,2026,0.0,LD,4
13,ZUMWINKLE Grace,F,0.0,0.0,0.0,0.0,4.0,0.0,12:06,15.0,0.0,0.0,0.0,9,usa,usa-fin,2026,0.0,RW,4
22,JANECKE Tessa,F,0.0,0.0,0.0,0.0,1.0,0.0,17:30,18.0,0.0,0.0,0.0,9,usa,usa-fin,2026,0.0,C,4
24,DUNNE Joy,F,0.0,0.0,0.0,0.0,5.0,0.0,11:43,15.0,0.0,0.0,0.0,9,usa,usa-fin,2026,0.0,LW,4
16,SCAMURRA Hayley,F,0.0,0.0,0.0,0.0,1.0,1.0,10:40,13.0,0.0,0.0,0.0,9,usa,usa-fin,2026,0.0,LW,5
31,FRANKEL Aerin,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,usa,usa-fin,2026,0.0,GK,1
33,PHILIPS Gwyneth,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,usa,usa-fin,2026,0.0,GK,2
31,FRANKEL Aerin,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.0,0.0,11.0,9,usa,usa-fin,2026,0.0,GK,1
33,PHILIPS Gwyneth,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,usa,usa-fin,2026,0.0,GK,2
9,LAITINEN Nelli,D,0.0,0.0,0.0,0.0,0.0,-1.0,24:00,31.0,0.0,0.0,0.0,9,fin,usa-fin,2026,0.0,RD,1
10,HOLOPAINEN Elisa,F,0.0,0.0,0.0,0.0,0.0,0.0,14:13,21.0,0.0,0.0,0.0,9,fin,usa-fin,2026,0.0,RW,1
33,KARVINEN Michelle,F,0.0,0.0,0.0,2.0,1.0,0.0,14:13,21.0,0.0,0.0,0.0,9,fin,usa-fin,2026,0.0,LW,1
77,TAPANI Susanna,F,0.0,0.0,0.0,2.0,0.0,0.0,15:31,23.0,0.0,0.0,0.0,9,fin,usa-fin,2026,0.0,C,1
88,SAVOLAINEN Ronja,D,0.0,0.0,0.0,2.0,2.0,-2.0,23:13,29.0,0.0,0.0,0.0,9,fin,usa-fin,2026,0.0,LD,1
6,HIIRIKOSKI Jenni,D,0.0,0.0,0.0,2.0,0.0,0.0,19:47,27.0,0.0,0.0,0.0,9,fin,usa-fin,2026,0.0,RD,2
8,SUORANTA Elli,D,0.0,0.0,0.0,0.0,0.0,0.0,13:14,19.0,0.0,0.0,0.0,9,fin,usa-fin,2026,0.0,LD,2
18,NYLUND Jenniina,F,0.0,0.0,0.0,0.0,0.0,-1.0,16:57,22.0,0.0,0.0,0.0,9,fin,usa-fin,2026,0.0,RW,2
24,VAINIKKA Viivi,F,0.0,0.0,0.0,0.0,1.0,-1.0,18:22,25.0,0.0,0.0,0.0,9,fin,usa-fin,2026,0.0,LW,2
40,TULUS Noora,F,0.0,0.0,0.0,2.0,0.0,-1.0,12:47,23.0,0.0,0.0,0.0,9,fin,usa-fin,2026,0.0,C,2
2,KARJALAINEN Sini,D,0.0,0.0,0.0,0.0,0.0,0.0,10:16,16.0,0.0,0.0,0.0,9,fin,usa-fin,2026,0.0,LD,3
7,RANTALA Sanni,D,0.0,0.0,0.0,0.0,0.0,-2.0,15:58,27.0,0.0,0.0,0.0,9,fin,usa-fin,2026,0.0,RD,3
16,NIEMINEN Petra,F,0.0,0.0,0.0,2.0,2.0,-1.0,12:39,24.0,0.0,0.0,0.0,9,fin,usa-fin,2026,0.0,C,3
19,KUOPPALA Ida,F,0.0,0.0,0.0,0.0,1.0,-2.0,13:35,18.0,0.0,0.0,0.0,9,fin,usa-fin,2026,0.0,LW,3
61,NUUTINEN Emma,F,0.0,0.0,0.0,0.0,2.0,-2.0,12:07,19.0,0.0,0.0,0.0,9,fin,usa-fin,2026,0.0,RW,3
5,YRJOLA Siiri,D,0.0,0.0,0.0,0.0,0.0,-1.0,13:38,20.0,0.0,0.0,0.0,9,fin,usa-fin,2026,0.0,LD,4
12,VANHANEN Sanni,F,0.0,0.0,0.0,0.0,1.0,-1.0,13:16,21.0,0.0,0.0,0.0,9,fin,usa-fin,2026,0.0,C,4
22,SCHALIN Julia,F,0.0,0.0,0.0,0.0,0.0,0.0,13:48,21.0,0.0,0.0,0.0,9,fin,usa-fin,2026,0.0,LW,4
91,LIIKALA Julia,F,0.0,0.0,0.0,0.0,1.0,0.0,7:44,13.0,0.0,0.0,0.0,9,fin,usa-fin,2026,0.0,RW,4
32,VESA Emilia,F,0.0,0.0,0.0,0.0,0.0,0.0,5:53,11.0,0.0,0.0,0.0,9,fin,usa-fin,2026,0.0,LW,5
1,AHOLA Sanni,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,fin,usa-fin,2026,0.0,GK,1
36,KEISALA Anni,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,fin,usa-fin,2026,0.0,GK,2
1,AHOLA Sanni,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,49.0,5.0,44.0,9,fin,usa-fin,2026,0.0,GK,1
36,KEISALA Anni,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,fin,usa-fin,2026,0.0,GK,2
